Frame,Movement
1,230400
2,0
3,0
4,100
5,13
6,34
7,5
8,27
9,33
10,79
11,5
12,47
13,5
14,5
15,129
16,15
17,30
18,52
19,15
20,36
21,134
22,16
23,0
24,50
25,20
26,10
27,142
28,0
29,16
30,86
31,75
32,59
33,16
34,0
35,16
36,38
37,29
38,23
39,19
40,68
41,0
42,31
43,32
44,11
45,34
46,118
47,16
48,46
49,1763
50,30990
51,50958
52,41953
53,30512
54,36952
55,39262
56,8356
57,20967
58,20328
59,19680
60,22231
61,4423
62,82736
63,99543
64,88615
65,66493
66,14368
67,18
68,18
69,27
70,32
71,78
72,26
73,15
74,40
75,0
76,27
77,0
78,0
79,3845
80,35179
81,56494
82,82473
83,95217
84,99553
85,87171
86,86534
87,87347
88,87914
89,85780
90,87408
91,90356
92,89267
93,81810
94,77147
95,68713
96,61434
97,55592
98,59815
99,56696
100,52366
101,48788
102,45861
103,42495
104,18613
105,25672
106,17222
107,16218
108,12099
109,13816
110,10022
111,13134
112,28367
113,44460
114,48576
115,47743
116,47334
117,46664
118,46206
119,43141
120,42027
121,40737
122,38466
123,36904
124,35233
125,33013
126,30466
127,27881
128,24423
129,21538
130,20402
131,20605
132,18053
133,15039
134,13072
135,11624
136,10563
137,10383
138,9828
139,9569
140,9666
141,10090
142,9659
143,10060
144,9208
145,8519
146,11026
147,10326
148,9708
149,11259
150,10806
151,10240
152,12783
153,12189
154,11818
155,11375
156,11167
157,11385
158,11793
159,11681
160,11683
161,11314
162,11134
163,10650
164,10250
165,9927
166,10615
167,11550
168,11140
169,10725
170,14190
171,13902
172,13594
173,17735
174,17405
175,17054
176,18088
177,16008
178,16747
179,15380
180,14587
181,16442
182,17022
183,15655
184,11896
185,10962
186,9100
187,9496
188,9370
189,9894
190,8676
191,9207
192,8947
193,8600
194,10398
195,9995
196,9669
197,10908
198,10419
199,10013
200,12026
201,11514
202,10943
203,10106
204,10753
205,10760
206,9942
207,9695
208,9391
209,8019
210,6667
211,5930
212,6343
213,6623
214,7396
215,8759
216,8264
217,8019
218,7989
219,8019
220,5867
221,3663
222,5062
223,4824
224,4660
225,6499
226,6477
227,6250
228,5957
229,5525
230,5520
231,5709
232,5335
233,5390
234,4765
235,4713
236,4285
237,4189
238,3643
239,4059
240,3955
241,3802
242,5262
243,5084
244,3873
245,7430
246,12950
247,12676
248,12342
249,12114
250,11710
251,12782
252,12569
253,12457
254,12535
255,12463
256,12710
257,12521
258,11532
259,11421
260,11700
261,11548
262,11153
263,11671
264,11367
265,11030
266,11660
267,11278
268,10824
269,11325
270,10818
271,10477
272,10445
273,10143
274,9873
275,10784
276,11162
277,12305
278,13602
279,13923
280,14614
281,15332
282,16245
283,17848
284,18976
285,19617
286,19211
287,19463
288,18979
289,18594
290,18527
291,18079
292,17653
293,17078
294,16647
295,16125
296,16809
297,16384
298,15956
299,14997
300,13722
301,13029
302,13015
303,12959
304,12823
305,13364
306,13469
307,13439
308,13044
309,12687
310,11986
311,11240
312,10713
313,10221
314,9862
315,9420
316,9031
317,9943
318,9580
319,9159
320,9347
321,8894
322,8595
323,8965
324,8889
325,8759
326,9060
327,8464
328,8434
329,8274
330,8799
331,8598
332,8115
333,8308
334,7665
335,7847
336,7567
337,7278
338,7998
339,7706
340,7562
341,7617
342,7385
343,7220
344,7605
345,7316
346,7122
347,7214
348,7129
349,6914
350,6864
351,6868
352,6702
353,6637
354,61553
355,40860
356,36966
357,36760
358,36863
359,37356
360,35582
361,34683
362,33729
363,30863
364,30891
365,32170
366,31591
367,32901
368,33698
369,34235
370,35090
371,35350
372,36140
373,35605
374,33504
375,34346
376,35147
377,35438
378,37663
379,38631
380,38656
381,36118
382,35332
383,37403
384,37291
385,37910
386,37752
387,35678
388,35974
389,34020
