start,end,mid,start_t,end_t
0,102,51,0.0,4.250182641282656
103,219,161,4.291851098550133,9.125392141577466
220,243,231,9.167060598844945,10.125435115996915
244,820,532,10.167103573264392,34.168134959331155
821,1372,1096,34.20980341659863,57.16912337097847
1379,2539,1959,57.460802571850806,105.79621300212415
2540,2697,2618,105.83788145939162,112.37982925038551
2698,3069,2883,112.42149770765299,127.88049535388697
3071,3791,3431,127.96383226842192,157.96512150100537
3792,4087,3939,158.00678995827286,170.29898485217856
4088,4299,4193,170.34065330944605,179.1326977928837
4300,4594,4447,179.17436625015117,191.4248926867894
4595,4688,4641,191.4665611440569,195.34172766993225
4689,4971,4830,195.38339612719975,207.13390107662826
4982,4983,4982,207.5922541065705,207.63392256383798
4991,5002,4996,207.9672702219778,208.42562325192003
5018,5649,5333,209.09231856819966,235.38511510397768
5650,6137,5893,235.42678356124514,255.71932225050645
6138,6171,6154,255.76099070777394,257.13604979760066
6172,7159,6665,257.1777182548681,298.304485577868
7177,7194,7185,299.05451780868253,299.7628815822297
7195,7293,7244,299.80455003949714,303.8880588517099
7296,7306,7301,304.01306422351234,304.4297487961871
7307,7327,7317,304.47141725345455,305.3047863988041
7330,7336,7333,305.4297917706065,305.6798025142114
7339,7363,7351,305.8048078860138,306.80485086043325
7366,7367,7366,306.9298562322357,306.9715246895032
7378,7396,7387,307.4298777194454,308.17990995026
7397,7426,7411,308.2215784075275,309.4299636682843
7427,7477,7452,309.4716321255518,311.55505498892563
7481,7605,7543,311.72172881799554,316.8886175191627
7606,7827,7716,316.9302859764302,326.1390150325426
7828,8013,7920,326.18068348981006,333.8893480842933
8014,8100,8057,333.93101654156084,337.5145038665638
8101,8471,8286,337.55617232383133,352.97350151279784
8472,8857,8664,353.0151699700653,369.0575260180439
8858,9145,9001,369.09919447531144,381.0580417110773
9146,9748,9447,381.0997101683448,406.18412144336594
9749,9838,9793,406.22578990063346,409.9342825974389
9839,10145,9992,409.97595105470634,422.72649897855433
10146,10288,10217,422.7681674358218,428.68508836780353
10289,10526,10407,428.72675682507105,438.6021811974631
10527,10686,10606,438.64384965473056,445.2691343602594
10687,11003,10845,445.3108028175269,458.47803531404963
11004,11488,11246,458.5197037713171,478.687237088776
11489,11635,11562,478.72890554604345,484.8125003070951
11636,11748,11692,484.85416876436256,489.52103597832
11749,11843,11796,489.5627044355875,493.4795394187303
11844,12553,12198,493.5212078759978,523.064144078639
12554,13586,13070,523.1058125359065,566.1076604359428
13587,13625,13606,566.1493288932103,567.7327302693743
13626,13673,13649,567.7743987266418,569.7328162182132
13675,13875,13775,569.8161531327482,578.1498445862436
13876,13891,13883,578.1915130435111,578.8165399025232
13892,13930,13911,578.8582083597908,580.4416097359549
13931,14281,14106,580.4832781932223,595.0672382368393
14282,14678,14480,595.1089066941067,611.6096157720276
14680,14858,14769,611.6929526865626,619.1099380801735
14859,15845,15352,619.151606537441,660.2367054031733
15846,15928,15887,660.2783738604409,663.6951873563739
15930,16577,16253,663.7785242709089,690.7380161229665
16578,16735,16656,690.779684580234,697.3216323712279
16736,17130,16933,697.3633008284953,713.7806729918813
17131,17224,17177,713.8223414491488,717.6975079750241
