shot,shot_type
shot_0034.jpg,mediumShot
shot_0029.jpg,mediumShot
shot_0001.jpg,ambiguous
shot_0056.jpg,longShot
shot_0003.jpg,mediumCloseUp
shot_0014.jpg,ambiguous
shot_0057.jpg,detail
shot_0050.jpg,mediumShot
shot_0051.jpg,mediumShot
shot_0043.jpg,mediumShot
shot_0025.jpg,mediumShot
shot_0054.jpg,longShot
shot_0000.jpg,ambiguous
shot_0040.jpg,longShot
shot_0011.jpg,longShot
shot_0060.jpg,mediumShot
shot_0004.jpg,mediumCloseUp
shot_0031.jpg,mediumShot
shot_0018.jpg,ambiguous
shot_0039.jpg,longShot
shot_0041.jpg,mediumCloseUp
shot_0019.jpg,mediumCloseUp
shot_0030.jpg,mediumShot
shot_0015.jpg,ambiguous
shot_0061.jpg,mediumShot
shot_0002.jpg,mediumCloseUp
shot_0059.jpg,mediumCloseUp
shot_0021.jpg,ambiguous
shot_0062.jpg,detail
shot_0032.jpg,mediumShot
shot_0013.jpg,ambiguous
shot_0026.jpg,ambiguous
shot_0052.jpg,extremeLongShot
shot_0022.jpg,longShot
shot_0044.jpg,mediumShot
shot_0038.jpg,fullShot
shot_0009.jpg,mediumCloseUp
shot_0028.jpg,longShot
shot_0006.jpg,mediumCloseUp
shot_0049.jpg,mediumShot
shot_0005.jpg,closeUp
shot_0020.jpg,longShot
shot_0036.jpg,mediumCloseUp
shot_0055.jpg,longShot
shot_0058.jpg,mediumShot
shot_0042.jpg,mediumShot
shot_0037.jpg,longShot
shot_0007.jpg,mediumShot
shot_0035.jpg,mediumShot
shot_0012.jpg,longShot
shot_0024.jpg,ambiguous
shot_0008.jpg,mediumShot
shot_0045.jpg,longShot
shot_0033.jpg,ambiguous
shot_0027.jpg,longShot
shot_0023.jpg,ambiguous
shot_0047.jpg,closeUp
shot_0010.jpg,ambiguous
shot_0048.jpg,mediumShot
shot_0017.jpg,longShot
shot_0046.jpg,closeUp
shot_0016.jpg,longShot
shot_0053.jpg,longShot
