frame,movement
1,230400
2,8184
3,4888
4,4508
5,3083
6,1138
7,1150
8,0
9,0
10,7193
11,5784
12,3782
13,2044
14,2064
15,2454
16,3067
17,3866
18,4089
19,3709
20,3408
21,4094
22,3750
23,3702
24,3298
25,3664
26,4198
27,4481
28,4529
29,5265
30,5633
31,5704
32,5311
33,4668
34,5052
35,4855
36,4773
37,4913
38,4936
39,5044
40,5104
41,4958
42,4760
43,4994
44,5064
45,5327
46,5296
47,5304
48,5655
49,5624
50,5540
51,5408
52,5507
53,5830
54,6031
55,5850
56,5718
57,5537
58,5877
59,5710
60,5852
61,5759
62,5739
63,5865
64,5622
65,6111
66,6040
67,6230
68,6401
69,6517
70,6901
71,6549
72,6525
73,6788
74,7054
75,7296
76,7470
77,7282
78,7069
79,6894
80,6793
81,6672
82,6959
83,6823
84,6546
85,6019
86,6081
87,6152
88,5985
89,6077
90,5883
91,5787
92,6707
93,6865
94,7306
95,7458
96,6819
97,6609
98,6899
99,6900
100,6251
101,6342
102,6320
103,5591
104,5456
105,5327
106,6008
107,5898
108,5365
109,5063
110,5005
111,5173
112,5434
113,5655
114,5583
115,5931
116,6198
117,5986
118,5568
119,5387
120,5762
121,5933
122,5704
123,5690
124,5288
125,5574
126,5186
127,5241
128,5162
129,5132
130,4743
131,4677
132,4492
133,4289
134,4324
135,4644
136,4668
137,4524
138,4488
139,5349
140,1107
141,653
142,408
143,847
144,841
145,806
146,896
147,989
148,933
149,958
150,1053
151,1171
152,944
153,599
154,926
155,1026
156,1246
157,1651
158,2215
159,1422
160,946
161,1075
162,1203
163,1223
164,839
165,670
166,680
167,649
168,590
169,707
170,983
171,1063
172,1193
173,1147
174,1377
175,1313
176,1129
177,722
178,696
179,687
180,614
181,738
182,841
183,872
184,823
185,939
186,746
187,643
188,581
189,359
190,156
191,6429
192,88
193,0
194,10
195,52
196,78
197,79
198,110
199,180
200,378
201,236
202,239
203,300
204,386
205,469
206,552
207,641
208,815
209,956
210,1030
211,1241
212,2292
213,3015
214,3108
215,2365
216,1849
217,1880
218,2266
219,3030
220,3457
221,3675
222,3685
223,3565
224,3172
225,2849
226,3636
227,17125
228,6427
229,5305
230,4247
231,4200
232,4055
233,4392
234,4446
235,4051
236,3911
237,3514
238,3597
239,3274
240,3156
241,2575
242,2556
243,2403
244,2495
245,2628
246,2134
247,1753
248,1802
249,1870
250,1593
251,1502
252,1581
253,1602
254,1608
255,1402
256,1528
257,2036
258,2360
259,2044
260,2111
261,1950
262,1865
263,2193
264,2013
265,1800
266,1883
267,1736
268,1706
269,1900
270,1908
271,2107
272,2325
273,12790
274,2303
275,2195
276,2144
277,2365
278,2723
279,2560
280,2840
281,3499
282,3296
283,2964
284,2562
285,2345
286,2091
287,2201
288,2113
289,2403
290,2572
291,2268
292,2549
293,11219
294,2673
295,2674
296,2671
297,2584
298,2639
299,2695
300,3278
301,3698
302,3493
303,3317
304,3583
305,3778
306,4135
307,4277
308,4413
309,4019
310,4287
311,4209
312,3775
313,3470
314,3358
315,3805
316,4413
317,4715
318,4586
319,4591
320,4981
321,4734
322,4795
323,6491
324,7455
325,8267
326,9052
327,8434
328,8522
329,8687
330,9052
331,10002
332,10638
333,11115
334,12724
335,22205
336,11786
337,11134
338,10109
339,8748
340,9454
341,9306
342,9193
343,9249
344,9401
345,10117
346,10538
347,10759
348,10739
349,10093
350,10781
351,10510
352,10418
353,10156
354,10270
355,10208
356,10357
357,10468
358,10414
359,10291
360,10450
361,10634
362,10497
363,10132
364,9790
365,9620
366,8896
367,8856
368,9459
369,9264
370,9331
371,10534
372,10827
373,10744
374,10768
375,9057
376,8508
377,6698
378,6637
379,6328
380,7154
381,6863
382,5913
383,5116
384,3845
385,3545
386,3802
387,3715
388,3636
389,3376
390,3230
391,3156
392,2914
393,2960
394,3109
395,3133
396,3369
397,3562
398,3875
399,3846
400,3807
401,3701
402,3543
403,3574
404,3203
405,3213
406,2880
407,2703
408,2743
409,2595
410,2533
411,2197
412,1918
413,2246
414,2646
415,3454
416,3740
417,3573
418,3243
419,2971
420,2663
421,2493
422,2319
423,2199
424,1831
425,2072
426,2130
427,2060
428,2154
429,2427
430,2728
431,2741
432,2910
433,12103
434,3599
435,3488
436,3138
437,3036
438,2935
439,2884
440,3268
441,3264
442,3316
443,2962
444,3018
445,3422
446,3372
447,3724
448,4286
449,4655
450,5144
451,5583
452,5320
453,5869
454,6286
455,6542
456,6566
457,6555
458,6770
459,6847
460,7373
461,7870
462,7488
463,7481
464,7222
465,7170
466,7502
467,8110
468,15821
469,8179
470,8105
471,8031
472,8124
473,8402
474,9057
475,8969
476,8739
477,8517
478,8687
479,8944
480,8628
481,8141
482,8734
483,8344
484,9164
485,9185
486,9237
487,8469
488,8428
489,8399
490,8948
491,9399
492,8420
493,8321
494,8212
495,8065
496,7541
497,7981
498,8476
499,8417
500,8171
501,7804
502,7523
503,7637
504,7386
505,7211
506,7701
507,6984
508,6502
509,7142
510,7255
511,6804
512,7126
513,7020
514,7047
515,7575
516,7621
517,7602
518,7418
519,6259
520,5795
521,6023
522,5990
523,6338
524,6639
525,6548
526,7317
527,7443
528,7176
529,7077
530,6686
531,6378
532,6610
533,6322
534,6574
535,7212
536,7064
537,6960
538,6703
539,6731
540,6798
541,6941
542,7000
543,7320
544,7457
545,7008
546,6495
547,6105
548,6123
549,6717
550,7551
551,8232
552,8592
553,8390
554,8237
555,8519
556,7929
557,10600
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,8822
567,90639
568,76152
569,74729
570,71291
571,72279
572,71256
573,71366
574,69961
575,69904
576,69532
577,68085
578,69042
579,72227
580,73471
581,75882
582,78265
583,79878
584,81767
585,81454
586,78459
587,77295
588,76777
589,77382
590,75514
591,67225
592,53821
593,44915
594,35666
595,28907
596,26649
597,27849
598,24388
599,25922
600,24816
601,25172
602,25626
603,27483
604,28194
605,26014
606,18248
607,13266
608,12387
609,10037
610,11135
611,11706
612,13163
613,14209
614,14968
615,17730
616,21243
617,26541
618,25165
619,23814
620,26422
621,23557
622,15523
623,16260
624,15134
625,12417
626,8012
627,4562
628,1959
629,1524
630,1342
631,967
632,1201
633,1737
634,2590
635,3348
636,6704
637,8930
638,13592
639,15677
640,19298
641,24146
642,28053
643,26904
644,27350
645,30804
646,30551
647,23825
648,27744
649,32462
650,36996
651,38925
652,43414
653,47090
654,55344
655,61039
656,61835
657,61151
658,54501
659,54362
660,54267
661,52362
662,51477
663,51858
664,48387
665,44030
666,42029
667,40867
668,40292
669,42280
670,49462
671,48738
672,43678
673,38979
674,46132
675,56186
676,52912
677,44306
678,37757
679,25976
680,5278
681,2709
682,1252
683,11297
684,1178
685,225
686,323
687,38304
688,72881
689,76887
690,73601
691,71310
692,71202
693,82521
694,86390
695,89515
696,84753
697,75790
698,73758
699,77934
700,75389
701,25793
702,2927
703,2141
704,1094
705,1559
706,1043
707,573
708,503
709,450
710,475
711,175
712,90
713,767
714,7200
715,10894
716,9030
717,897
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,8
727,15
728,0
729,0
730,0
731,131
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,5128
746,0
747,0
748,0
749,0
750,0
751,0
752,18799
753,13272
754,10801
755,10400
756,9864
757,9914
758,9649
759,10157
760,10004
761,9976
762,10012
763,10360
764,10813
765,11184
766,11112
767,11294
768,58273
769,12461
770,12810
771,12706
772,12749
773,13149
774,13205
775,13555
776,13495
777,13437
778,15061
779,15318
780,15276
781,15627
782,16099
783,16722
784,17128
785,17151
786,16920
787,17171
788,16872
789,16832
790,16674
791,16529
792,16404
793,16368
794,16047
795,16318
796,15905
797,15363
798,15096
799,14373
800,13563
801,12673
802,11774
803,11750
804,11007
805,9981
806,9755
807,9803
808,9180
809,8825
810,8583
811,8935
812,9072
813,9172
814,9330
815,9318
816,8887
817,8659
818,9693
819,10655
820,12073
821,13328
822,13724
823,14457
824,14262
825,14067
826,14231
827,13974
828,14065
829,14560
830,14132
831,14278
832,14278
833,14525
834,14927
835,14723
836,14207
837,14422
838,15034
839,14929
840,13788
841,12906
842,11844
843,10905
844,10911
845,11038
846,11641
847,12158
848,12052
849,11973
850,10644
851,11051
852,11217
853,11260
854,11030
855,10297
856,10336
857,109928
858,11484
859,12273
860,12900
861,13402
862,12457
863,12420
864,12680
865,13462
866,13657
867,13381
868,23088
869,15840
870,16352
871,16384
872,15297
873,14150
874,13649
875,13913
876,13310
877,12253
878,11416
879,10418
880,10107
881,8956
882,7956
883,7301
884,6896
885,6401
886,6313
887,6170
888,6088
889,5662
890,5087
891,4329
892,4407
893,13787
894,3511
895,3282
896,3472
897,3709
898,3947
899,4017
900,4358
901,4324
902,4631
903,5203
904,5392
905,5350
906,35775
907,4682
908,4922
909,5300
910,4982
911,4952
912,4554
913,4505
914,4356
915,4602
916,4495
917,4809
918,4824
919,5047
920,5359
921,5420
922,5582
923,6004
924,6787
925,7095
926,7002
927,6687
928,6728
929,6729
930,6430
931,6096
932,6000
933,6356
934,6923
935,7170
936,7341
937,7829
938,8026
939,8199
940,8127
941,8517
942,8559
943,8835
944,9036
945,9079
946,9228
947,9160
948,9028
949,8646
950,8752
951,9124
952,9679
953,10331
954,10511
955,10359
956,10117
957,9859
958,10162
959,10550
960,10887
961,10759
962,10721
963,10850
964,11097
965,10702
966,10023
967,9576
968,9720
969,10026
970,10741
971,11112
972,10872
973,11069
974,10988
975,11191
976,11547
977,11599
978,11896
979,11525
980,12082
981,22169
982,12014
983,11511
984,11575
985,19314
986,11955
987,12108
988,11850
989,11673
990,11499
991,11336
992,10622
993,10324
994,9985
995,9783
996,9989
997,9449
998,9892
999,9655
1000,9681
1001,17806
1002,20846
1003,24774
1004,28266
1005,29646
1006,27177
1007,27523
1008,30479
1009,31924
1010,32809
1011,31215
1012,26212
1013,17700
1014,11761
1015,25623
1016,8032
1017,6754
1018,4379
1019,7407
1020,8084
1021,4337
1022,3392
1023,3299
1024,4170
1025,3404
1026,2786
1027,18923
1028,3238
1029,4162
1030,4357
1031,2139
1032,1257
1033,1992
1034,9554
1035,10205
1036,17114
1037,4979
1038,1283
1039,2030
1040,2388
1041,1752
1042,9054
1043,18658
1044,22722
1045,22245
1046,17636
1047,13785
1048,8843
1049,7865
1050,7533
1051,6952
1052,5973
1053,5665
1054,5167
1055,4066
1056,4343
1057,4494
1058,1325
1059,840
1060,842
1061,489
1062,0
1063,107
1064,275
1065,14319
1066,7697
