frame,movement
1,230400
2,30442
3,14378
4,12303
5,6270
6,9092
7,10758
8,11408
9,11201
10,14296
11,19650
12,22283
13,19969
14,11445
15,6658
16,9096
17,14757
18,17081
19,15886
20,13994
21,13085
22,9386
23,9150
24,10190
25,13887
26,14015
27,13838
28,13654
29,13595
30,12292
31,12049
32,14391
33,16077
34,17531
35,19727
36,22735
37,23708
38,21971
39,21595
40,20912
41,19570
42,19335
43,19061
44,18994
45,18471
46,18285
47,17786
48,17148
49,15610
50,14383
51,12840
52,11545
53,10588
54,10801
55,11713
56,13723
57,16746
58,20808
59,23841
60,26310
61,27890
62,30351
63,32258
64,35151
65,38431
66,41012
67,42532
68,40786
69,38781
70,39653
71,41621
72,42770
73,202667
74,180217
75,180819
76,174389
77,172493
78,169628
79,165946
80,162458
81,154768
82,145740
83,140226
84,133134
85,134990
86,140040
87,134901
88,126604
89,118171
90,119136
91,119505
92,115045
93,111417
94,110436
95,112172
96,111985
97,113516
98,111333
99,107011
100,99909
101,95179
102,90612
103,86144
104,80204
105,75912
106,75315
107,76512
108,78124
109,81826
110,81814
111,79418
112,77354
113,76611
114,75673
115,74879
116,72400
117,66508
118,64784
119,64997
120,63016
121,64210
122,65737
123,68883
124,69533
125,69686
126,70774
127,72561
128,72462
129,71620
130,71284
131,72038
132,71720
133,73645
134,75308
135,79274
136,81671
137,81083
138,80062
139,77473
140,74575
141,71489
142,68731
143,67937
144,69322
145,74318
146,79611
147,85677
148,96624
149,100286
150,102345
151,102914
152,105974
153,107956
154,108140
155,113330
156,110624
157,114406
158,120525
159,125786
160,131942
161,126347
162,118298
163,113806
164,112213
165,103502
166,99044
167,95154
168,99854
169,98959
170,92169
171,93605
172,95875
173,92913
174,93218
175,90979
176,92636
177,95804
178,95429
179,99975
180,98903
181,100492
182,101041
183,102369
184,105466
185,110152
186,111786
187,112686
188,111966
189,112072
190,115345
191,120126
192,123675
193,124538
194,123788
195,119778
196,117736
197,116019
198,116040
199,116735
200,115941
201,116302
202,114161
203,113988
204,113560
205,109040
206,103860
207,102298
208,96569
209,88184
210,79899
211,74282
212,75589
213,77535
214,79001
215,79957
216,78068
217,75181
218,75010
219,72673
220,72185
221,70819
222,68244
223,68199
224,67945
225,69017
226,69389
227,69619
228,70083
229,69997
230,70727
231,69902
232,68227
233,67270
234,61130
235,58268
236,66036
237,71949
238,73387
239,72455
240,70145
241,67534
242,65851
243,64134
244,63826
245,64518
246,64551
247,64885
248,67086
249,68295
250,71869
251,74993
252,75819
253,81395
254,82878
255,81438
256,80749
257,82934
258,82369
259,81431
260,81104
261,77252
262,74255
263,71423
264,71509
265,72351
266,72017
267,72342
268,71467
269,69771
270,69417
271,71099
272,68804
273,68209
274,67391
275,65815
276,68469
277,71230
278,74156
279,75649
280,77315
281,77546
282,78786
283,80249
284,79592
285,79030
286,79007
287,78924
288,80497
289,81906
290,78690
291,74544
292,69909
293,66562
294,61981
295,60233
296,59275
297,58721
298,56417
299,54108
300,53497
301,54654
302,55626
303,57199
304,59328
305,62262
306,64390
307,65164
308,66417
309,68033
310,66996
311,64761
312,62210
313,61454
314,61372
315,62813
316,61666
317,62073
318,58690
319,53471
320,51014
321,50121
322,52866
323,54392
324,57112
325,105009
326,106054
327,107249
328,114306
329,118075
330,119091
331,120113
332,122002
333,121986
334,121830
335,122732
336,122056
337,121192
338,120532
339,118583
340,117997
341,117591
342,116225
343,115717
344,115738
345,114736
346,114563
347,114163
348,113125
349,111793
350,111284
351,112537
352,112959
353,114014
354,112626
355,113606
356,113614
357,112501
358,112753
359,113491
360,117696
361,117889
362,114750
363,115685
364,116344
365,116528
366,120845
367,122191
368,123012
369,124283
370,122727
371,115217
372,109595
373,105261
374,102888
375,97918
376,96602
377,95272
378,91163
379,88604
380,85574
381,83591
382,82538
383,82773
384,81488
385,80052
386,81310
387,86076
388,87207
389,84873
390,83414
391,82375
392,81272
393,80346
394,79173
395,80068
396,79070
397,81042
398,86326
399,88821
400,92594
401,96008
402,97251
403,95491
404,92820
405,92110
406,94370
407,92627
408,93220
409,99344
410,104266
411,102553
412,96356
413,88803
414,77422
415,71560
416,71077
417,75391
418,82067
419,89658
420,93186
421,92180
422,88884
423,83210
424,85944
425,95101
426,94262
427,86038
428,79517
429,79375
430,77740
431,75784
432,74239
433,71333
434,63642
435,61098
436,61631
437,71175
438,79323
439,86529
440,93857
441,95647
442,96254
443,99812
444,103071
445,105168
446,104537
447,106123
448,109421
449,111585
450,111818
451,112406
452,111611
453,111803
454,120664
455,120894
456,120394
457,118073
458,116756
459,116682
460,114331
461,110867
462,110801
463,108992
464,109410
465,110438
466,111838
467,111800
468,110096
469,109517
470,110172
471,109456
472,108291
473,104532
474,104959
475,104376
476,102302
477,104099
478,104317
479,104854
480,104455
481,107399
482,109722
483,111441
484,110366
485,111740
486,112597
487,112459
488,112869
489,112416
490,111808
491,110620
492,109915
493,108886
494,106431
495,104008
496,102924
497,102053
498,102131
499,101061
500,100133
501,99057
502,99097
503,99524
504,99653
505,100028
506,99739
507,99545
508,98722
509,97124
510,96672
511,95823
512,95685
513,96142
514,95347
515,95825
516,96250
517,97839
518,99916
519,100106
520,100864
521,100699
522,102242
523,101330
524,101590
525,102309
526,104812
527,105919
528,108320
529,108576
530,108250
531,107362
532,83218
533,85372
534,85086
535,83113
536,82256
537,79574
538,82128
