start,end,mid,start_t,end_t
0,71,35,0.0,2.961418443792444
72,323,197,3.003128562719098,13.472368413309285
324,580,452,13.51407853223594,24.1918689774594
581,865,723,24.233579096386052,36.07925287155582
866,1100,983,36.12096299048248,45.88113081931955
1101,1379,1240,45.9228409382462,57.51825399985605
1380,1829,1604,57.55996411878271,76.2878075168504
1830,2209,2019,76.32951763577707,92.13765270897899
2210,2306,2258,92.17936282790563,96.18353424486443
2307,2463,2385,96.22524436379109,102.73202291634914
2464,2622,2543,102.77373303527578,109.36393182568715
2623,2916,2769,109.40564194461379,121.62670679012346
2917,3125,3021,121.66841690905011,130.34412164579416
3126,3851,3488,130.38583176472082,160.62566798654507
3852,3897,3874,160.66737810547173,162.54433345717118
3898,3948,3923,162.5860435760978,164.67154952243052
3949,3978,3963,164.71325964135718,165.92285309023015
3979,4068,4023,165.9645632091568,169.67676379362902
4069,4147,4108,169.71847391255568,172.9718631888347
4148,4361,4254,173.01357330776136,181.89782863913868
4362,4661,4511,181.93953875806534,194.41086431713492
4662,4739,4700,194.45257443606158,197.66425359341395
4740,4806,4773,197.7059637123406,200.45883156149978
4807,5197,5002,200.50054168042644,216.76748806182155
5198,5730,5464,216.80919818074818,238.9989814497282
5731,5971,5851,239.04069156865484,249.05112011105183
5972,6385,6178,249.0928302299785,266.3191093466867
6386,6449,6417,266.3608194656133,268.9885569579925
6450,6957,6703,269.0302670769192,290.1772973727328
6958,7095,7026,290.21900749165945,295.93329378461107
7096,7533,7314,295.97500390353775,314.2023258744856
7534,7694,7614,314.24403599341224,320.9176550216769
7697,9463,8580,321.04278537845687,394.7028554029281
9464,10069,9766,394.7445655218547,419.9791874724805
10072,10073,10072,420.1043178292604,420.1460279481871
10086,10194,10140,420.6882594942336,425.19295233831224
10195,10458,10326,425.2346624572389,436.20442373494893
10459,10785,10622,436.2461338538756,449.8436326239648
10786,11296,11041,449.8853427428915,471.1575033954851
11297,11503,11400,471.1992135144118,479.79149801330254
11504,11758,11631,479.8332081322292,490.42757833959934
11759,12219,11989,490.46928845852597,509.6559431647869
12220,12573,12396,509.6976532837135,524.4213252648225
12574,12651,12612,524.4630353837491,527.6747145411015
12652,12679,12665,527.7164246600281,528.8425978710478
12680,12758,12719,528.8843079899744,532.1376972662534
12759,12786,12772,532.1794073851801,533.3055805961998
12787,12792,12789,533.3472907151264,533.5558413097597
12793,13319,13056,533.5975514286863,555.5370739841064
13321,13324,13322,555.6204942219597,555.7456245787397
13325,13330,13327,555.7873346976663,555.9958852922996
13331,13416,13373,556.0375954112262,559.5829555199919
13417,13503,13460,559.6246656389185,563.2117358666108
13504,13552,13528,563.2534459855375,565.2555316940169
13554,13634,13594,565.3389519318702,568.6757614460025
13635,14393,14014,568.7174715649292,600.333741711333
14395,14761,14578,600.4171619491863,615.6830654763417
14766,14767,14766,615.8916160709749,615.9333261899017
14774,14778,14776,616.2252970223882,616.3921374980948
14779,14981,14880,616.4338476170215,624.8592916402056
14988,15065,15026,625.1512624726922,628.3629416300446
15066,15076,15071,628.4046517489712,628.8217529382378
15083,15086,15084,629.1137237707243,629.2388541275043
15087,15089,15088,629.2805642464309,629.3639844842843
15095,15174,15134,629.6142451978442,632.9093445930498
15175,15277,15226,632.9510547119766,637.2054868424952
15278,15567,15422,637.2471969614219,649.3014213312249
15579,15638,15608,649.8019427583448,652.2628397750174
15639,16300,15969,652.304549893944,679.8749385044624
16301,16387,16344,679.916648623389,683.5037188510813
16388,16457,16422,683.545428970008,686.4234271759472
16458,16519,16488,686.4651372948738,689.0094545493996
16520,16740,16630,689.0511646683264,698.2273908321902
16741,16929,16835,698.2691009511169,706.1106033093279
16930,17266,17098,706.1523134282545,720.1669133876103
17267,17362,17314,720.2086235065369,724.1710848045691
17363,17441,17402,724.2127949234957,727.4661841997747
17442,17801,17621,727.5078943187015,742.4818270133702
17802,18131,17966,742.523537132297,756.2461662591661
18132,18349,18240,756.2878763780927,765.3389721851768
18350,18443,18396,765.3806823041034,769.2597233642822
18445,18502,18473,769.3431436021356,771.7206203809548
18503,18572,18537,771.7623304998815,774.6403287058206
18575,18662,18618,774.7654590626006,778.3942394092195
18663,18678,18670,778.4359495281461,779.0616013120459
18683,18768,18725,779.2701519066792,782.8155120154448
18772,18820,18796,782.9823524911515,784.9844381996309
18822,18927,18874,785.0678584374841,789.4474209247828
18928,18956,18942,789.4891310437094,790.6570143736558
18957,19034,18995,790.6987244925824,793.9104036499348
19035,19064,19049,793.9521137688614,795.1617072177345
19065,19141,19103,795.2034173366611,798.3733863750869
19142,19232,19187,798.4150964940135,802.1690071974123
19233,19261,19247,802.210717316339,803.3786006462853
19262,19369,19315,803.420310765212,807.8832934903639
19370,19464,19417,807.9250036092906,811.8457547883961
19466,19880,19673,811.9291750262494,829.1971642618842
19881,20054,19967,829.2388743808109,836.4547249551221
20055,20223,20139,836.4964350740487,843.5037350537266
20224,20259,20241,843.5454451726532,845.0052993350861
20260,20329,20294,845.0470094540128,847.9250076599519
20330,20490,20410,847.9667177788785,854.6403368071433
20491,20755,20623,854.6820469260699,865.6935183227066
20756,20843,20799,865.7352284416332,869.3640087882521
20844,21052,20948,869.4057189071788,878.0814236439229
21053,21112,21082,878.1231337628495,880.5840307795221
21113,21234,21173,880.6257408984487,885.6726652885739
21236,21265,21250,885.7560855264272,886.9656789753002
21266,21344,21305,887.0073890942268,890.2607783705058
21346,21679,21512,890.3441986083592,904.233668210935
21680,21726,21703,904.2753783298616,906.1940438004877
21727,21821,21774,906.2357539194144,910.1565050985199
21822,21897,21859,910.1982152174465,913.3264741369456
21898,22155,22026,913.3681842558723,924.0876848200223
22156,22519,22337,924.129394938949,939.2701681093245
22520,22567,22543,939.3118782282511,941.2722538178039
22568,22766,22667,941.3139639367305,949.5725674842081
22767,22873,22820,949.6142776031347,954.03555020936
22874,22967,22920,954.0772603282867,957.9563013884655
22968,23017,22992,957.9980115073922,960.0418073347982
23018,23635,23326,960.0835174537249,985.8186608314705
23636,23682,23659,985.8603709503972,987.7790364210232
23683,23952,23817,987.8207465399499,999.0407685312199
23953,23990,23971,999.0824786501465,1000.6257530504326
23991,24076,24033,1000.6674631693594,1004.2128232781249
24079,24264,24171,1004.3379536349049,1012.054325636336
24265,24297,24281,1012.0960357552626,1013.4307595609155
24298,24443,24370,1013.4724696798422,1019.520436924207
24445,24448,24446,1019.6038571620603,1019.7289875188403
24449,24451,24450,1019.770697637767,1019.8541178756202
24455,24588,24521,1020.0209583513268,1025.568404168572
24589,24712,24650,1025.6101142874986,1030.740458915477
24713,24854,24783,1030.7821690344038,1036.6632958030618
24855,26196,25525,1036.7050059219885,1092.6382754026317
26197,26424,26310,1092.6799855215584,1102.148182517909
26425,26479,26452,1102.1898926368356,1104.4422390588747
26480,26786,26633,1104.4839491778016,1117.2472455693576
26787,27118,26952,1117.2889556882842,1131.0950050530068
27120,27289,27204,1131.17842529086,1138.2274353894647
27290,27391,27340,1138.2691455083914,1142.4818675199833
27392,27578,27485,1142.52357763891,1150.2816597592678
27579,27731,27655,1150.3233698781944,1156.6633079550459
27734,27736,27735,1156.7884383118258,1156.871858549679
27738,27794,27766,1156.9552787875325,1159.291045447425
27795,27808,27801,1159.3327555663516,1159.8749871123982
27813,27849,27831,1160.0835377070314,1161.585101988391
27850,27922,27886,1161.6268121073176,1164.6299406700368
27923,28095,28009,1164.6716507889635,1171.845791244348
28096,28269,28182,1171.8875013632746,1179.1033519375858
28270,29088,28679,1179.1450620565124,1213.2639393385155
29089,29175,29132,1213.305649457442,1216.8927196851344
29176,29359,29267,1216.934429804061,1224.5673815676387
29360,29390,29375,1224.6090916865653,1225.8603952543651
29391,29763,29577,1225.9021053732918,1241.418269614007
29764,29846,29805,1241.4599797329338,1244.8802094849193
29847,30130,29988,1244.921919603846,1256.7258832600892
30131,30260,30195,1256.7675933790158,1262.148198720554
30261,30299,30280,1262.1899088394807,1263.7748933586936
30300,30357,30328,1263.8166034776202,1266.1940802564395
30358,30413,30385,1266.2357903753662,1268.5298469163322
30414,30518,30466,1268.5715570352588,1272.909409403631
30519,30707,30613,1272.9511195225575,1280.7926218807686
30708,30769,30738,1280.8343319996952,1283.378649254221
30770,30959,30864,1283.4203593731477,1291.3035718502854
30960,31107,31033,1291.345281969212,1297.47666945143
31108,31317,31212,1297.5183795703567,1306.2357944260275
31318,31488,31403,1306.2775045449541,1313.3682247624854
31489,31875,31682,1313.409934881412,1329.5100407871005
31878,32130,32004,1329.6351711438806,1340.1461211133974
32131,32270,32200,1340.187831232324,1345.9855377631288
32271,32361,32316,1346.0272478820557,1349.7811585854545
32362,32534,32448,1349.822868704381,1356.9970091597656
32535,32608,32571,1357.0387192786923,1360.083557960338
32609,32687,32648,1360.1252680792647,1363.3786573555437
32688,32732,32710,1363.4203674744704,1365.2556127072432
32733,32777,32755,1365.2973228261699,1367.1325680589425
32778,33125,32951,1367.1742781778692,1381.6476894454183
33126,33264,33195,1381.689399564345,1387.4453959762232
33265,33361,33313,1387.4871060951498,1391.4912775121086
33362,33497,33429,1391.5329876310352,1397.1638536861335
33499,33627,33563,1397.2472739239868,1402.5861691465986
33628,33739,33683,1402.6278792655253,1407.2577024663838
33740,33873,33806,1407.2994125853106,1412.8468584025554
33874,34337,34105,1412.8885685214823,1432.200353584523
34338,34484,34411,1432.2420637034497,1438.3317410667412
34485,34555,34520,1438.3734511856678,1441.2931595105335
34556,34635,34595,1441.3348696294604,1444.629969024666
34636,34714,34675,1444.6716791435927,1447.9250684198716
34715,34799,34757,1447.9667785387983,1451.4704285286373
34800,34859,34829,1451.512138647564,1453.9730356642365
34860,34956,34908,1454.014745783163,1458.018917200122
34957,35043,35000,1458.0606273190485,1461.6476975467408
35044,35106,35075,1461.6894076656674,1464.27543503912
35107,35200,35153,1464.3171451580467,1468.1961862182256
35201,35357,35279,1468.2378963371523,1474.7446748897103
35358,35455,35406,1474.786385008637,1478.8322665445223
35456,35591,35523,1478.873976663449,1484.5048427185473
35592,35874,35733,1484.5465528374739,1496.3088063747905
35875,36077,35976,1496.3505164937171,1504.7759605169013
36078,36152,36115,1504.8176706358279,1507.9042194364004
36153,36344,36248,1507.945929555327,1515.912562270318
36345,36648,36496,1515.9542723892446,1528.5924384240207
36649,36765,36707,1528.6341485429473,1533.4725223384394
36767,36853,36810,1533.5559425762926,1537.143012803985
36854,36991,36922,1537.1847229229115,1542.899009215863
36992,37128,37060,1542.9407193347897,1548.6132955088146
37129,37368,37248,1548.6550056277413,1558.6237240512116
37369,37494,37431,1558.6654341701383,1563.87919903597
37495,37655,37575,1563.920909154897,1570.5945281831614
37656,37761,37708,1570.636238302088,1575.0158007893867
37762,37898,37830,1575.0575109083134,1580.7300870823385
37899,37983,37941,1580.7717972012651,1584.275447191104
37984,38123,38053,1584.3171573100308,1590.1148638408356
38124,38203,38163,1590.1565739597622,1593.4516733549679
38204,38330,38267,1593.4933834738945,1598.748858458653
38331,38388,38359,1598.7905685775797,1601.168045356399
38389,38442,38415,1601.2097554753257,1603.4203917784382
38443,38467,38455,1603.4621018973648,1604.4631447516047
38468,38505,38486,1604.5048548705313,1606.0481292708175
38506,38560,38533,1606.0898393897442,1608.3421858117833
38561,38735,38648,1608.3838959307102,1615.641456623948
38736,38781,38758,1615.6831667428746,1617.5601220945741
38782,39230,39006,1617.6018322135008,1636.2879654926417
39231,39344,39287,1636.3296756115683,1641.0429190502803
39345,39365,39355,1641.084629169207,1641.91883154774
