shot,shot_type
shot_0188.jpg,mediumShot
shot_0162.jpg,mediumShot
shot_0034.jpg,longShot
shot_0029.jpg,mediumShot
shot_0184.jpg,ambiguous
shot_0001.jpg,ambiguous
shot_0158.jpg,mediumCloseUp
shot_0102.jpg,mediumCloseUp
shot_0098.jpg,longShot
shot_0056.jpg,longShot
shot_0003.jpg,mediumShot
shot_0197.jpg,mediumShot
shot_0106.jpg,fullShot
shot_0014.jpg,closeUp
shot_0077.jpg,mediumShot
shot_0136.jpg,closeUp
shot_0057.jpg,ambiguous
shot_0222.jpg,extremeLongShot
shot_0050.jpg,ambiguous
shot_0214.jpg,ambiguous
shot_0213.jpg,ambiguous
shot_0051.jpg,longShot
shot_0133.jpg,extremeLongShot
shot_0043.jpg,extremeLongShot
shot_0025.jpg,ambiguous
shot_0054.jpg,ambiguous
shot_0177.jpg,longShot
shot_0129.jpg,fullShot
shot_0113.jpg,mediumCloseUp
shot_0120.jpg,longShot
shot_0146.jpg,ambiguous
shot_0000.jpg,mediumShot
shot_0040.jpg,ambiguous
shot_0011.jpg,mediumCloseUp
shot_0060.jpg,longShot
shot_0181.jpg,mediumCloseUp
shot_0216.jpg,detail
shot_0200.jpg,extremeLongShot
shot_0004.jpg,fullShot
shot_0170.jpg,mediumCloseUp
shot_0201.jpg,mediumShot
shot_0223.jpg,mediumShot
shot_0031.jpg,longShot
shot_0018.jpg,mediumCloseUp
shot_0187.jpg,closeUp
shot_0080.jpg,mediumShot
shot_0159.jpg,longShot
shot_0039.jpg,extremeLongShot
shot_0041.jpg,longShot
shot_0112.jpg,fullShot
shot_0019.jpg,longShot
shot_0168.jpg,mediumShot
shot_0127.jpg,fullShot
shot_0219.jpg,mediumShot
shot_0030.jpg,mediumShot
shot_0076.jpg,extremeLongShot
shot_0192.jpg,longShot
shot_0160.jpg,mediumShot
shot_0211.jpg,mediumCloseUp
shot_0015.jpg,mediumShot
shot_0193.jpg,extremeLongShot
shot_0175.jpg,fullShot
shot_0104.jpg,ambiguous
shot_0130.jpg,mediumShot
shot_0194.jpg,mediumShot
shot_0081.jpg,mediumShot
shot_0203.jpg,mediumCloseUp
shot_0061.jpg,extremeLongShot
shot_0074.jpg,mediumShot
shot_0069.jpg,mediumShot
shot_0176.jpg,longShot
shot_0002.jpg,closeUp
shot_0059.jpg,longShot
shot_0021.jpg,closeUp
shot_0062.jpg,longShot
shot_0138.jpg,extremeLongShot
shot_0164.jpg,fullShot
shot_0066.jpg,ambiguous
shot_0032.jpg,ambiguous
shot_0078.jpg,mediumShot
shot_0169.jpg,ambiguous
shot_0126.jpg,longShot
shot_0013.jpg,mediumCloseUp
shot_0199.jpg,ambiguous
shot_0107.jpg,fullShot
shot_0101.jpg,mediumCloseUp
shot_0070.jpg,fullShot
shot_0137.jpg,longShot
shot_0026.jpg,mediumCloseUp
shot_0135.jpg,closeUp
shot_0052.jpg,ambiguous
shot_0022.jpg,mediumCloseUp
shot_0044.jpg,extremeLongShot
shot_0110.jpg,closeUp
shot_0118.jpg,mediumShot
shot_0067.jpg,closeUp
shot_0207.jpg,mediumShot
shot_0173.jpg,longShot
shot_0096.jpg,longShot
shot_0153.jpg,mediumShot
shot_0075.jpg,fullShot
shot_0220.jpg,mediumShot
shot_0123.jpg,mediumCloseUp
shot_0215.jpg,mediumShot
shot_0108.jpg,extremeLongShot
shot_0105.jpg,closeUp
shot_0116.jpg,mediumCloseUp
shot_0218.jpg,detail
shot_0190.jpg,mediumCloseUp
shot_0085.jpg,mediumShot
shot_0122.jpg,mediumShot
shot_0038.jpg,ambiguous
shot_0134.jpg,mediumShot
shot_0182.jpg,longShot
shot_0009.jpg,closeUp
shot_0028.jpg,mediumShot
shot_0006.jpg,mediumShot
shot_0095.jpg,fullShot
shot_0063.jpg,longShot
shot_0186.jpg,mediumCloseUp
shot_0094.jpg,fullShot
shot_0171.jpg,mediumShot
shot_0082.jpg,extremeLongShot
shot_0157.jpg,fullShot
shot_0161.jpg,mediumShot
shot_0142.jpg,ambiguous
shot_0087.jpg,ambiguous
shot_0166.jpg,longShot
shot_0156.jpg,mediumShot
shot_0049.jpg,ambiguous
shot_0005.jpg,longShot
shot_0020.jpg,longShot
shot_0209.jpg,mediumCloseUp
shot_0036.jpg,ambiguous
shot_0152.jpg,fullShot
shot_0055.jpg,fullShot
shot_0149.jpg,mediumCloseUp
shot_0058.jpg,ambiguous
shot_0114.jpg,longShot
shot_0042.jpg,extremeLongShot
shot_0037.jpg,extremeLongShot
shot_0073.jpg,longShot
shot_0205.jpg,ambiguous
shot_0167.jpg,mediumCloseUp
shot_0143.jpg,longShot
shot_0221.jpg,closeUp
shot_0185.jpg,mediumShot
shot_0204.jpg,longShot
shot_0198.jpg,mediumCloseUp
shot_0079.jpg,mediumShot
shot_0183.jpg,ambiguous
shot_0117.jpg,mediumShot
shot_0007.jpg,mediumShot
shot_0100.jpg,mediumShot
shot_0035.jpg,ambiguous
shot_0012.jpg,detail
shot_0140.jpg,ambiguous
shot_0071.jpg,longShot
shot_0131.jpg,longShot
shot_0124.jpg,fullShot
shot_0064.jpg,detail
shot_0147.jpg,mediumCloseUp
shot_0172.jpg,closeUp
shot_0099.jpg,mediumShot
shot_0065.jpg,detail
shot_0121.jpg,mediumShot
shot_0178.jpg,detail
shot_0024.jpg,extremeLongShot
shot_0008.jpg,mediumCloseUp
shot_0045.jpg,extremeLongShot
shot_0119.jpg,mediumShot
shot_0093.jpg,ambiguous
shot_0144.jpg,ambiguous
shot_0033.jpg,mediumShot
shot_0109.jpg,extremeLongShot
shot_0115.jpg,closeUp
shot_0068.jpg,fullShot
