frame,movement
1,230400
2,36
3,5
4,18
5,5
6,100
7,5
8,195
9,983
10,4580
11,5124
12,164666
13,162466
14,64188
15,20992
16,17460
17,14825
18,15446
19,13687
20,12798
21,14938
22,17291
23,18927
24,23902
25,22152
26,22595
27,22322
28,20172
29,19922
30,21781
31,21422
32,19070
33,23625
34,24617
35,26410
36,26411
37,30430
38,25950
39,26633
40,28487
41,33148
42,36817
43,30254
44,30349
45,26736
46,30958
47,36447
48,47795
49,50084
50,48142
51,54796
52,57321
53,50832
54,42219
55,42560
56,33986
57,31489
58,38491
59,42108
60,40752
61,35850
62,33341
63,30807
64,27311
65,20159
66,17255
67,15973
68,15436
69,13462
70,12381
71,7253
72,6083
73,7390
74,8775
75,11200
76,11089
77,8923
78,10055
79,10761
80,11975
81,10864
82,10209
83,12886
84,17881
85,19406
86,16787
87,19507
88,21523
89,25405
90,25937
91,25063
92,23702
93,29684
94,28671
95,27030
96,22745
97,17927
98,14757
99,10465
100,10159
101,6284
102,5802
103,5937
104,5425
105,3798
106,4057
107,3886
108,6870
109,10649
110,12614
111,13456
112,15603
113,18177
114,20898
115,23616
116,24700
117,25549
118,25685
119,25519
120,26401
121,27925
122,26463
123,25081
124,24635
125,23670
126,22147
127,23151
128,21971
129,21811
130,24883
131,28013
132,30023
133,36310
134,43533
135,45026
136,47523
137,52307
138,57549
139,62939
140,68115
141,73620
142,74275
143,73685
144,70106
145,68419
146,63369
147,63202
148,60969
149,59231
150,55359
151,50954
152,49473
153,46195
154,44503
155,45866
156,48094
157,47658
158,49575
159,54701
160,61279
161,60633
162,60596
163,58152
164,57773
165,57145
166,61035
167,60080
168,58304
169,57588
170,59560
171,59277
172,51965
173,48312
174,47596
175,48287
176,50212
177,51713
178,52463
179,54149
180,55541
181,53677
182,52190
183,53037
184,51634
185,48445
186,47223
187,44096
188,38990
189,34683
190,31882
191,29845
192,27718
193,24990
194,22420
195,22793
196,23562
197,24651
198,25279
199,27100
200,27421
201,25710
202,23974
203,25237
204,29014
205,33370
206,35127
207,35216
208,36162
209,36075
210,35217
211,34508
212,35744
213,32685
214,32222
215,30084
216,30389
217,31376
218,26894
219,26240
220,25191
221,19894
222,16954
223,16833
224,19485
225,19971
226,21928
227,23223
228,22885
229,23005
230,24721
231,25999
232,29103
233,30046
234,30841
235,27372
236,27183
237,30258
238,34488
239,38263
240,37503
241,38716
242,42468
243,47103
244,45051
245,44130
246,43606
247,41597
248,37553
249,38642
250,38444
251,39841
252,42750
253,47140
254,45127
255,47915
256,51221
257,47488
258,47283
259,48357
260,50444
261,45083
262,44156
263,45193
264,46901
265,51545
266,49094
267,50307
268,49248
269,47414
270,46987
271,47204
272,46646
273,47264
274,46451
275,46005
276,46784
277,46242
278,44331
279,46049
280,45292
281,47952
282,48173
283,48000
284,49304
285,49794
286,51022
287,49079
288,46000
289,37521
290,32865
291,31470
292,33531
293,47992
294,90873
295,130193
296,129224
297,129692
298,117996
299,103765
300,96126
301,88626
302,79640
303,67711
304,60412
305,61086
306,49697
307,47448
308,46638
309,45398
310,44191
311,44595
312,43472
313,43948
314,43437
315,42868
316,39622
317,38826
318,37351
319,37930
320,34986
321,34128
322,31289
323,30086
324,29766
325,29679
326,29136
327,28059
328,28676
329,28997
330,31012
331,29653
332,32918
333,35793
334,36912
335,38665
336,38674
337,40173
338,38927
339,40836
340,39974
341,38246
342,36196
343,36754
344,34951
345,40271
346,40018
347,41444
348,41549
349,42479
350,44414
351,50617
352,53961
353,55146
354,54771
355,56346
356,54983
357,55032
358,64189
359,66311
