start,end,mid,start_t,end_t
0,10,5,0.0,0.5559089324249192
11,725,368,0.6114998256674111,40.30339760080664
726,1833,1279,40.358988494049136,101.89810731348769
1834,1957,1895,101.95369820673018,108.7913780755567
1958,2024,1991,108.84696896879917,112.51596792280365
2025,2050,2037,112.57155881604614,113.96133114710844
2051,2055,2053,114.01692204035093,114.2392856133209
2056,2727,2391,114.29487650656338,151.59636587227547
2728,2881,2804,151.65195676551795,160.15736343161922
2882,3468,3175,160.21295432486173,192.789217764962
3469,3470,3469,192.84480865820447,192.90039955144695
3472,3775,3623,193.01158133793194,209.855621990407
3776,3846,3811,209.91121288364948,213.80257541062392
3847,4135,3991,213.85816630386643,229.8683435577041
4137,4138,4137,229.97952534418908,230.03511623743157
4139,4253,4196,230.09070713067405,236.42806896031814
4255,4741,4498,236.53925074680313,263.5564248626542
4742,5018,4880,263.61201575589666,278.95510229082447
5019,5912,5465,279.01069318406695,328.6533608496122
5913,7474,6693,328.7089517428547,415.4863360943846
7475,7539,7507,415.5419269876271,419.0997441551466
7540,8051,7795,419.1553350483891,447.56228149530244
8052,9132,8592,447.6178723885449,507.6560370904362
9136,9872,9504,507.8784006634062,548.7932980898803
9873,10182,10027,548.8488889831227,566.0264749950527
10183,10234,10208,566.0820658882952,568.9172014436623
10235,10382,10308,568.9727923369048,577.1446536435511
10383,10411,10397,577.2002445367937,578.7567895475834
10412,10672,10542,578.8123804408259,593.2660126838738
10673,10879,10776,593.3216035771163,604.7733275850696
10880,12341,11610,604.8289184783121,686.0472135055928
12342,12428,12385,686.1028043988352,690.8836212176896
12429,14439,13434,690.9392121109321,802.6769075283408
14440,14768,14604,802.7324984215834,820.9663114051207
14769,15378,15073,821.0219022983632,854.8767562830408
15379,15458,15418,854.9323471762832,859.3240277424401
15460,15759,15609,859.435209528925,876.0568866084302
15761,15969,15865,876.1680683949152,887.7309741893534
15971,16053,16012,887.8421559758385,892.4006092217228
16054,17136,16595,892.4562001149653,952.6055466033415
17138,19598,18368,952.7167283898266,1089.4703257663566
19599,20022,19810,1089.5259166595993,1113.0408645011732
20023,20222,20122,1113.0964553944157,1124.1590431496716
20223,21894,21058,1124.2146340429142,1217.107016651118
21895,22286,22090,1217.1626075443605,1238.8986468021749
22288,23518,22903,1239.00982858866,1307.386627276925
23519,23557,23538,1307.4422181701675,1309.5546721133821
23558,23581,23569,1309.6102630066246,1310.888853551202
