shot,shot_type
shot_0015.jpg,longShot
shot_0001.jpg,mediumShot
shot_0009.jpg,longShot
shot_0006.jpg,mediumCloseUp
shot_0023.jpg,ambiguous
shot_0007.jpg,mediumCloseUp
shot_0025.jpg,mediumShot
shot_0003.jpg,closeUp
shot_0040.jpg,mediumShot
shot_0038.jpg,longShot
shot_0037.jpg,closeUp
shot_0012.jpg,longShot
shot_0046.jpg,mediumShot
shot_0010.jpg,longShot
shot_0039.jpg,longShot
shot_0024.jpg,mediumShot
shot_0019.jpg,longShot
shot_0020.jpg,mediumShot
shot_0002.jpg,mediumShot
shot_0030.jpg,closeUp
shot_0004.jpg,mediumShot
shot_0008.jpg,closeUp
shot_0033.jpg,mediumShot
shot_0034.jpg,ambiguous
shot_0032.jpg,mediumShot
shot_0028.jpg,longShot
shot_0036.jpg,longShot
shot_0022.jpg,mediumCloseUp
shot_0021.jpg,mediumCloseUp
shot_0035.jpg,longShot
shot_0026.jpg,mediumCloseUp
shot_0017.jpg,ambiguous
shot_0029.jpg,ambiguous
shot_0013.jpg,longShot
shot_0014.jpg,ambiguous
shot_0031.jpg,mediumShot
shot_0016.jpg,longShot
shot_0041.jpg,mediumShot
shot_0045.jpg,mediumShot
shot_0011.jpg,mediumShot
shot_0005.jpg,longShot
shot_0018.jpg,ambiguous
shot_0000.jpg,detail
shot_0043.jpg,mediumShot
shot_0042.jpg,mediumShot
shot_0044.jpg,ambiguous
shot_0027.jpg,mediumShot
