frame,movement
1,230400
2,142
3,99
4,57
5,100
6,5
7,5
8,49
9,137
10,880
11,1778
12,408
13,193
14,62
15,51
16,15
17,146
18,62
19,143
20,128
21,79
22,37
23,157
24,98
25,473
26,57
27,262
28,83
29,668
30,98
31,62
32,94
33,23
34,54
35,203
36,371
37,83
38,416
39,452
40,265
41,167
42,313
43,212
44,115
45,65
46,192
47,124
48,130
49,102
50,118
51,128
52,247
53,340
54,272
55,302
56,702
57,218
58,84
59,56
60,246
61,144
62,139
63,353
64,431
65,414
66,2339
67,1794
68,636
69,606
70,1897
71,4088
72,1414
73,5074
74,24471
75,65448
76,91957
77,98440
78,104299
79,109812
80,115760
81,112231
82,99981
83,68858
84,47526
85,50408
86,62678
87,33292
88,12885
89,3744
90,7126
91,12576
92,22728
93,24948
94,25574
95,38706
96,134082
97,167563
98,170271
99,170471
100,170408
101,169577
102,169965
103,170051
104,167771
105,169165
106,169758
107,170108
108,170257
109,170305
110,170431
111,170496
112,170577
113,170605
114,170554
115,170621
116,170644
117,170576
118,170519
119,170313
120,169970
121,169583
122,168855
123,167920
124,166989
125,165425
126,165073
127,164891
128,164608
129,163999
130,162470
131,159785
132,157330
133,154414
134,151544
135,147906
136,143706
137,141388
138,136790
139,132041
140,126357
141,125618
142,120532
143,115173
144,109789
145,103154
146,98055
147,92981
148,89353
149,86680
150,84544
151,83112
152,81128
153,77117
154,74265
155,72349
156,74173
157,74490
158,71309
159,69555
160,63920
161,60928
162,62774
163,67330
164,74805
165,79387
166,78885
167,73244
168,69524
169,70489
170,76478
171,80695
172,85439
173,91214
174,96248
175,105706
176,107812
177,118858
178,119133
179,114608
180,109325
181,113076
182,114793
183,114360
184,111844
185,113365
186,112135
187,114047
188,120031
189,122684
190,127711
191,131306
192,133277
193,135639
194,135326
195,136908
196,138305
197,137841
198,134106
199,135938
200,135400
201,134193
202,130897
203,129504
204,126792
205,126341
206,121934
207,121126
208,119349
209,118977
210,125568
211,126048
212,123420
213,119842
214,117243
215,117285
216,117731
217,118484
218,119297
219,119583
220,117701
221,117965
222,116125
223,116898
224,116564
225,113491
226,112696
227,113038
228,115257
229,117019
230,117260
231,116537
232,115685
233,117823
234,117110
235,116331
236,117909
237,118639
238,119664
239,118842
240,117165
241,116977
242,118023
243,116196
244,116871
245,115929
246,117183
247,117783
248,117832
249,119346
250,120954
251,118582
252,117408
253,118218
254,118356
255,119028
256,117209
257,115270
258,115072
259,114475
260,112824
261,112804
262,112028
263,112547
264,111530
265,112295
266,111251
267,110712
268,112179
269,112644
270,113161
271,111511
272,110706
273,109484
274,109537
275,109476
276,110871
277,109558
278,107725
279,107101
280,107698
281,105396
282,104808
283,100629
284,100000
285,99407
286,98852
287,96728
288,96276
289,97329
290,98374
291,94366
292,90577
293,96817
294,95605
295,101905
296,102491
297,100108
298,93910
299,94466
300,97341
301,96937
302,91186
303,87782
304,90430
305,88485
306,88991
307,89244
308,87979
309,93290
310,102276
311,112252
312,113498
313,114512
314,113731
315,114346
316,116987
317,116386
318,113588
319,115865
320,119874
321,123372
322,123688
323,124443
324,122079
325,123843
326,123676
327,123831
328,125129
329,128157
330,126578
331,125615
332,125740
333,125204
334,124477
335,125473
336,124602
337,124019
338,124555
339,122344
340,120776
341,118947
342,119425
343,117472
344,115914
345,114805
346,114477
347,114996
348,115515
349,113917
350,115268
351,112125
352,112857
353,111376
354,109838
355,109924
356,109466
357,108491
358,106591
359,105230
360,104954
361,102888
362,102129
363,102564
364,102122
365,103567
366,104654
367,105085
368,104061
369,103955
370,105578
371,104046
372,102264
373,98636
374,97350
375,97490
376,99048
377,101587
378,99301
379,99382
380,98647
381,99607
382,100630
383,97439
384,96567
385,95413
386,95419
387,95336
388,95413
389,93795
390,91549
391,91891
392,93208
393,91350
394,90101
395,85311
396,83348
397,80904
398,78774
399,77634
400,76808
401,77356
402,77705
403,77098
404,75590
405,78583
406,79554
407,77545
408,75832
409,74476
410,74798
411,74799
412,76180
413,76378
414,76531
415,78572
416,78406
417,77406
418,80817
419,81136
420,79893
421,81738
422,81072
423,82893
424,84373
425,89112
426,87777
427,87207
428,91121
429,90078
430,86038
431,87579
432,86832
433,86242
434,85830
435,85360
436,84329
437,83802
438,81951
439,84352
440,84852
441,84612
442,82984
443,82683
444,83320
445,83994
446,84053
447,83247
448,83817
449,82139
450,83160
451,82462
452,84941
453,86621
454,86628
455,87202
456,87007
457,89861
458,92048
459,93897
460,94721
461,90007
462,88270
463,93473
464,94724
465,92682
466,93793
467,93620
468,92169
469,91593
470,92891
471,92458
472,91304
473,90876
474,94076
475,96336
476,98646
477,100933
478,100107
479,99970
480,103374
481,103926
482,110777
483,111490
484,106752
485,108441
486,108274
487,105155
488,107270
489,106007
490,105169
491,105600
492,106470
493,107822
494,107796
495,107177
496,107393
497,107669
498,104929
499,101723
500,101504
501,102384
502,101797
503,102121
504,101496
505,104882
506,106361
507,108252
508,109236
509,114779
510,117529
511,118303
512,118748
513,120866
514,123463
515,123718
516,123866
517,122312
518,121574
519,119592
520,119588
521,120068
522,118449
523,118909
524,117047
525,115914
526,115130
527,116047
528,114315
529,117448
530,117622
531,116245
532,114353
533,113536
534,114145
535,114405
536,113423
537,113364
538,113768
539,113266
540,109426
541,109169
542,109859
543,108934
544,109509
545,110932
546,110940
547,112863
548,111625
549,110042
550,107408
551,106778
552,104445
553,100464
554,98800
555,99949
556,100525
557,99138
558,99566
559,100919
560,100721
561,101622
562,100242
563,96213
564,90185
565,85396
566,86065
567,82992
568,84555
569,83201
570,82014
571,81797
572,80730
573,81219
574,80380
575,79573
576,80467
577,80272
578,80775
579,78861
580,78047
581,78453
582,81073
583,81747
584,83278
585,82982
586,85659
587,84696
588,84644
589,85947
590,84335
591,85194
592,83911
593,87681
594,88108
595,89525
596,90096
597,89904
598,88903
599,89345
600,86614
601,86222
602,84907
603,83844
604,82119
605,81899
606,82047
607,85404
608,82276
609,81142
610,80535
611,79018
612,82268
613,80630
614,81026
615,80198
616,82008
617,80480
618,82172
619,82654
620,82540
621,80348
622,81951
623,80048
624,82515
625,81007
626,78297
627,79118
628,79936
629,80325
630,80523
631,80743
632,80128
633,80212
634,79996
635,80043
636,78872
637,80333
638,76711
639,75948
640,78122
641,77007
642,77215
643,76086
644,76341
645,78622
646,79399
647,83457
648,82168
649,80547
650,82618
651,84434
652,83079
653,83138
654,83627
655,89316
656,87796
657,94777
658,100118
659,99511
660,100105
661,102540
662,102622
663,101760
664,103725
665,100431
666,101191
667,97118
668,88657
669,82850
670,82750
671,80468
672,73476
673,73725
674,70286
675,67209
676,66110
677,64913
678,61428
679,56862
680,53396
681,53351
682,51941
683,54305
684,55993
685,59581
686,65408
687,66828
688,71554
689,67621
690,75682
691,80306
692,83423
693,93027
694,97497
695,99637
696,99551
697,101339
698,100924
699,101440
700,102609
701,104318
702,103871
703,103291
704,107926
705,102066
706,100873
707,101538
708,103547
709,102380
710,104169
711,101858
712,102864
713,104612
714,101008
715,99114
716,96557
717,95238
718,95924
719,93139
720,94947
721,96798
722,96001
723,99273
724,99041
725,99202
726,95535
727,95931
728,94303
729,93964
730,94642
731,97816
732,96398
733,95168
734,95306
735,94579
736,96242
737,98172
738,100495
739,101637
740,98076
741,100764
742,99529
743,98404
744,94937
745,95010
746,96315
747,98068
748,98876
749,101052
750,104392
751,103362
752,95262
753,91299
754,91698
755,94217
756,96434
757,98734
758,101650
759,102996
760,100818
761,97777
762,98491
763,100454
764,95784
765,100473
766,99550
767,98617
768,99303
769,97162
770,101607
771,101246
772,102303
773,101770
774,100399
775,99097
776,101566
777,102968
778,101596
779,92124
780,86140
781,81481
782,81920
783,80780
784,78590
785,77160
786,74936
787,72159
788,69242
789,66507
790,66960
791,65786
792,67223
793,64670
794,62044
795,64045
796,64670
797,64625
798,63914
799,64043
800,66496
801,66267
802,71740
803,73616
804,79585
805,87580
806,89742
807,88377
808,91298
809,90293
810,89975
811,88435
812,89776
813,90570
814,91502
815,91657
816,90981
817,93313
818,92198
819,91334
820,90442
821,90534
822,93849
823,94563
824,91822
825,86696
826,84391
827,84855
828,84947
829,87686
830,85753
831,90058
832,89490
833,91873
834,97551
835,101739
836,102386
837,102093
838,102023
839,103361
840,103626
841,102950
842,102659
843,99612
844,100083
845,81067
846,60997
847,60744
848,56845
849,58290
850,59859
851,59986
852,59472
853,58710
854,58812
855,58403
856,61511
857,59923
858,60567
859,60156
860,58675
861,58682
862,57883
863,57948
864,58558
865,58328
866,59431
867,61213
868,62359
869,64720
870,66792
871,65914
872,66601
873,66113
874,66470
875,66647
876,67420
877,65948
878,64556
879,63166
880,63733
881,62683
882,62791
883,60710
884,60461
885,59465
886,60228
887,61210
888,57954
889,56471
890,52498
891,48329
892,46323
893,45891
894,45996
895,45717
896,46182
897,46072
898,44327
899,44764
900,44640
901,45633
902,43601
903,41318
904,42289
905,39655
906,41624
907,42266
908,41976
909,44599
910,42091
911,38069
912,38444
913,37503
914,38608
915,39693
916,41711
917,37913
918,36111
919,39302
920,42391
921,43723
922,47477
923,50035
924,55813
925,62759
926,64257
927,63667
928,62942
929,64654
930,67736
931,65219
932,65976
933,63386
934,60924
935,61401
936,61203
937,61843
938,59251
939,56093
940,55691
941,57957
942,60181
943,60118
944,53427
945,48364
946,39564
947,37031
948,38405
949,41665
950,43061
951,42361
952,47198
953,55579
954,52356
955,51191
956,52993
957,53306
958,53215
959,51583
960,52367
961,50137
962,50459
963,55969
964,55874
965,54153
966,55413
967,55840
968,55466
969,58560
970,61479
971,61223
972,59296
973,56108
974,57128
975,61863
976,66473
977,71583
978,78127
979,78528
980,79913
981,82431
982,88785
983,96480
984,100972
985,100893
986,103622
987,106677
988,106834
989,106306
990,106208
991,105814
992,105492
993,107276
994,104070
995,105736
996,108242
997,109477
998,114492
999,115302
1000,113058
1001,110282
1002,107218
1003,100922
1004,97807
1005,92803
1006,90354
1007,91686
1008,88372
1009,85394
1010,84943
1011,85237
1012,82151
1013,85926
1014,77762
1015,75408
1016,70096
1017,71335
1018,68804
1019,68016
1020,66230
1021,66249
1022,62896
1023,61613
1024,61458
1025,57122
1026,55254
1027,47975
1028,45326
1029,40816
1030,41276
1031,42325
1032,42364
1033,45026
1034,46151
1035,45614
1036,46241
1037,51575
1038,53828
1039,55495
1040,57076
1041,58215
1042,61573
1043,61747
1044,64371
1045,62943
1046,55728
1047,49317
1048,43607
1049,44800
1050,44463
1051,43590
1052,44692
1053,44750
1054,46178
1055,46876
1056,48149
1057,49913
1058,51321
1059,51531
1060,54548
1061,59560
1062,59477
1063,59572
1064,61067
1065,63633
1066,64828
1067,60119
1068,56436
1069,52116
1070,54449
1071,54774
1072,54208
1073,55425
1074,53759
1075,51776
1076,49412
1077,47839
1078,47706
1079,46673
1080,45023
1081,47509
1082,50149
1083,47894
1084,49508
1085,54972
1086,55537
1087,53914
1088,53921
1089,54829
1090,58358
1091,59945
1092,58811
1093,59793
1094,56818
1095,64515
1096,67888
1097,68501
1098,69824
1099,76720
1100,78807
1101,78637
1102,80784
1103,80322
1104,80001
1105,82683
1106,84774
1107,87200
1108,91088
1109,95832
1110,100249
1111,105829
1112,109726
1113,111615
1114,113195
1115,113367
1116,110624
1117,110670
1118,108722
1119,105902
1120,104989
1121,102856
1122,103067
1123,97341
1124,88888
1125,79002
1126,71604
1127,62716
1128,59296
1129,59426
1130,54768
1131,51619
1132,49489
1133,50175
1134,54537
1135,57592
1136,57817
1137,62734
1138,62615
1139,59442
1140,57828
1141,54496
1142,45936
1143,39301
1144,35941
1145,34935
1146,40286
1147,45145
1148,45361
1149,47274
1150,46369
1151,44838
1152,44076
1153,43368
1154,39877
1155,36617
1156,37976
1157,43175
1158,44741
1159,45044
1160,44067
1161,41659
1162,39516
1163,37113
1164,35683
1165,33004
1166,32029
1167,31833
1168,33539
1169,35409
1170,35895
1171,36816
1172,40387
1173,43654
1174,48766
1175,50223
1176,53581
1177,53649
1178,56622
1179,58282
1180,60890
1181,62171
1182,64718
1183,67044
1184,66117
1185,66696
1186,64467
1187,56252
1188,51119
1189,56922
1190,61079
1191,62804
1192,60794
1193,68350
1194,65702
1195,68099
1196,62317
1197,58866
1198,59885
1199,60039
1200,62014
1201,61978
1202,62764
1203,59716
1204,56541
1205,56533
1206,54783
1207,54126
1208,50868
1209,50587
1210,49760
1211,50824
1212,47809
1213,48831
1214,49837
1215,49776
1216,49764
1217,52648
1218,51940
1219,52760
1220,53775
1221,55250
1222,56738
1223,56001
1224,54896
1225,55518
1226,55907
1227,56207
1228,55235
1229,54521
1230,51495
1231,51202
1232,50020
1233,46638
1234,43205
1235,41660
1236,37850
1237,35373
1238,32685
1239,30859
1240,30132
1241,29947
1242,30954
1243,31372
1244,29910
1245,30290
1246,31883
1247,33030
1248,34887
1249,33084
1250,32642
1251,32724
1252,30732
1253,30720
1254,29688
1255,29376
1256,29706
1257,32692
1258,31565
1259,31577
1260,33020
1261,28482
1262,20436
1263,17613
1264,16751
1265,17100
1266,14890
1267,12740
1268,11465
1269,13928
1270,17524
1271,22707
1272,25457
1273,26186
1274,28176
1275,29007
1276,31212
1277,35792
1278,33573
1279,28782
1280,28631
1281,26399
1282,24564
1283,24800
1284,25019
1285,27345
1286,27065
1287,26610
1288,26583
1289,31687
1290,33727
1291,31712
1292,40446
1293,42547
1294,48508
1295,53957
1296,55588
1297,56735
1298,60807
1299,62438
1300,62082
1301,65363
1302,66193
1303,62047
1304,60006
1305,59080
1306,56274
1307,54255
1308,54559
1309,55543
1310,55527
1311,54548
1312,53966
1313,53051
1314,53166
