start,end,mid,start_t,end_t
0,843,421,0.0,35.14949347228141
844,1354,1099,35.191189194075335,56.456007308978684
1355,2026,1690,56.49770303077261,84.47553235449838
2031,2743,2387,84.68401096346803,114.37136488074485
2744,2779,2761,114.41306060253878,115.87241086532626
2780,2885,2832,115.91410658712019,120.29215737548265
2886,3643,3264,120.33385309727657,151.89751449528015
3644,4018,3831,151.93921021707408,167.5334101680032
4020,4044,4032,167.61680161159106,168.61749893464534
4045,4118,4081,168.65919465643927,171.70298234739602
4119,4417,4268,171.74467806918994,184.17000316378054
4423,4903,4663,184.4201774945441,204.4341239556296
4904,5249,5076,204.47581967742352,218.86084369632874
5250,5464,5357,218.90253941812267,227.82542388202327
5465,5606,5535,227.8671196038172,233.74621637676108
5607,5893,5750,233.787912098555,245.71288853161843
5894,6098,5996,245.75458425341236,254.2605114993737
6099,6276,6187,254.30220722116763,261.6823499786929
6277,6289,6283,261.72404570048684,262.224394362014
6293,6297,6295,262.3911772491897,262.5579601363654
6298,6302,6300,262.59965585815934,262.76643874533505
6303,6572,6437,262.808134467129,274.0242836296956
6573,6709,6641,274.06597935148955,279.7365975154638
6710,6808,6759,279.77829323725774,283.8644739730627
6811,6812,6811,283.98956113844446,284.0312568602384
6820,6867,6843,284.3648226345898,286.32452155890445
6868,7027,6947,286.3662172806984,292.99583704593294
7032,8208,7620,293.2043156549026,342.23848448456204
8209,8263,8236,342.28018020635596,344.5317491832281
8264,8331,8297,344.57344490502203,347.36705826521523
8335,8337,8336,347.53384115239095,347.6172325959788
8342,8673,8507,347.82571120494845,361.62699511873865
8674,9003,8838,361.6686908405326,375.3865833107349
9004,9964,9484,375.42827903252885,415.45617195469987
9965,10017,9991,415.4978676764938,417.666045209778
10020,10402,10211,417.7911323751598,433.71889810044036
10403,11307,10855,433.7605938222343,471.4535263239453
11308,11455,11381,471.49522204573924,477.62449314944666
11456,11683,11569,477.6661888712406,487.1311177184623
11684,11859,11771,487.1728134402562,494.46956475419364
11860,12052,11956,494.51126047598757,502.5168390604218
12053,12373,12213,502.5585347822157,515.9011657562727
12374,12475,12424,515.9428614780667,520.1541293792534
12476,13217,12846,520.1958251010473,551.0923549503481
13218,13459,13338,551.1340506721419,561.1827196244786
13460,13930,13695,561.2244153462726,580.8214045894188
13931,14252,14091,580.8631003112127,594.2474270070636
14253,14468,14360,594.2891227288576,603.2537029145522
14469,14770,14619,603.295398636346,615.8458108963184
14771,15301,15036,615.8875066181123,637.9862391688943
15302,15331,15316,638.0279348906881,639.2371108227121
15332,15406,15369,639.278806544506,642.3642899572567
15407,15780,15593,642.4059856790507,657.9584899081858
15781,15834,15807,658.0001856299798,660.210058885058
15838,16457,16147,660.3768417722337,686.1864935626752
16458,16562,16510,686.2281892844691,690.5645443510376
16563,16591,16577,690.6062400728315,691.7737202830615
16596,16639,16617,691.9821988920312,693.7751149291701
16640,16735,16687,693.816810650964,697.7779042213872
16736,16766,16751,697.8195999431811,699.0704715969989
16767,16847,16807,699.1121673187929,702.4478250623072
16848,16922,16885,702.489520784101,705.5750041968518
16923,16951,16937,705.6166999186456,706.7841801288756
16952,17032,16992,706.8258758506696,710.1615335941839
17033,17255,17144,710.2032293159778,719.4596795542299
17256,17743,17499,719.5013752760237,739.8071917896667
17744,18381,18062,739.8488875114607,766.4090622941928
18382,19210,18796,766.4507580159868,800.9748156613593
19211,19551,19381,801.0165113831532,815.1930567930888
19552,19858,19705,815.2347525148828,827.9936433838247
19859,20180,20019,828.0353391056186,841.4196658014696
20181,20429,20305,841.4613615232635,851.8019005281577
20430,20528,20479,851.8435962499516,855.9297769857566
20529,20558,20543,855.9714727075504,857.1806486395744
20559,20796,20677,857.2223443613683,867.1042304265293
20797,21095,20946,867.1459261483233,879.5712512429138
21096,21170,21133,879.6129469647077,882.6984303774584
21171,21613,21392,882.7401260992524,901.1696351321685
21614,21840,21727,901.2113308539625,910.6345639793902
21841,22182,22011,910.6762597011842,924.8945008329136
22183,22298,22240,924.9361965547076,929.7312045610093
22299,22505,22402,929.7729002828032,938.3622189723525
22506,23640,23073,938.4039146941464,985.6868632084609
23641,23846,23743,985.7285589302548,994.2761818980101
23847,23910,23878,994.317877619804,996.9447080928215
23911,23940,23925,996.9864038146154,998.1955797466393
23942,24128,24035,998.2789711902271,1006.0343754438978
24129,24235,24182,1006.0760711656917,1010.4958176758481
24236,24420,24328,1010.5375133976421,1018.2095262077248
24421,24476,24448,1018.2512219295188,1020.5444866281848
24478,24550,24514,1020.6278780717727,1023.6299700409355
24551,24658,24604,1023.6716657627294,1028.1331079946797
24659,24882,24770,1028.1748037164737,1037.4729496765196
24883,25285,25084,1037.5146453983136,1054.2763255594728
25286,25372,25329,1054.3180212812665,1057.9038533555445
25373,25792,25582,1057.9455490773382,1075.4160565089942
25793,25812,25802,1075.4577522307882,1076.2499709448728
