shot,shot_type
shot_0093.jpg,mediumShot
shot_0089.jpg,ambiguous
shot_0021.jpg,ambiguous
shot_0034.jpg,ambiguous
shot_0027.jpg,mediumCloseUp
shot_0010.jpg,ambiguous
shot_0079.jpg,extremeLongShot
shot_0051.jpg,ambiguous
shot_0058.jpg,ambiguous
shot_0055.jpg,extremeLongShot
shot_0078.jpg,ambiguous
shot_0043.jpg,ambiguous
shot_0066.jpg,fullShot
shot_0023.jpg,longShot
shot_0092.jpg,longShot
shot_0074.jpg,mediumShot
shot_0030.jpg,closeUp
shot_0042.jpg,longShot
shot_0022.jpg,fullShot
shot_0031.jpg,ambiguous
shot_0005.jpg,closeUp
shot_0002.jpg,longShot
shot_0000.jpg,ambiguous
shot_0013.jpg,ambiguous
shot_0033.jpg,longShot
shot_0050.jpg,ambiguous
shot_0025.jpg,longShot
shot_0011.jpg,fullShot
shot_0004.jpg,ambiguous
shot_0072.jpg,mediumShot
shot_0024.jpg,ambiguous
shot_0056.jpg,ambiguous
shot_0006.jpg,mediumCloseUp
shot_0036.jpg,extremeLongShot
shot_0052.jpg,mediumCloseUp
shot_0062.jpg,extremeLongShot
shot_0084.jpg,longShot
shot_0073.jpg,mediumShot
shot_0049.jpg,ambiguous
shot_0044.jpg,longShot
shot_0059.jpg,extremeLongShot
shot_0016.jpg,longShot
shot_0041.jpg,fullShot
shot_0083.jpg,ambiguous
shot_0071.jpg,mediumCloseUp
shot_0017.jpg,ambiguous
shot_0026.jpg,closeUp
shot_0028.jpg,ambiguous
shot_0019.jpg,closeUp
shot_0047.jpg,ambiguous
shot_0064.jpg,longShot
shot_0003.jpg,mediumShot
shot_0001.jpg,ambiguous
shot_0039.jpg,ambiguous
shot_0009.jpg,longShot
shot_0008.jpg,longShot
shot_0032.jpg,ambiguous
shot_0018.jpg,mediumCloseUp
shot_0045.jpg,mediumShot
shot_0085.jpg,longShot
shot_0087.jpg,ambiguous
shot_0088.jpg,ambiguous
shot_0082.jpg,fullShot
shot_0068.jpg,mediumShot
shot_0048.jpg,extremeLongShot
shot_0067.jpg,ambiguous
shot_0007.jpg,longShot
shot_0035.jpg,ambiguous
shot_0086.jpg,longShot
shot_0012.jpg,mediumShot
shot_0069.jpg,detail
shot_0081.jpg,extremeLongShot
shot_0020.jpg,closeUp
shot_0014.jpg,ambiguous
shot_0057.jpg,longShot
shot_0063.jpg,closeUp
shot_0094.jpg,mediumShot
shot_0065.jpg,mediumShot
shot_0029.jpg,ambiguous
shot_0076.jpg,mediumCloseUp
shot_0091.jpg,ambiguous
shot_0061.jpg,closeUp
shot_0038.jpg,ambiguous
shot_0054.jpg,ambiguous
shot_0015.jpg,extremeLongShot
shot_0040.jpg,longShot
shot_0090.jpg,ambiguous
shot_0080.jpg,longShot
shot_0095.jpg,longShot
shot_0037.jpg,ambiguous
shot_0046.jpg,ambiguous
shot_0077.jpg,ambiguous
shot_0070.jpg,mediumCloseUp
shot_0060.jpg,extremeLongShot
shot_0075.jpg,mediumShot
shot_0053.jpg,ambiguous
