frame,movement
1,230400
2,0
3,0
4,442
5,605
6,0
7,0
8,170917
9,0
10,0
11,406
12,406
13,213
14,213
15,286
16,419
17,150
18,553
19,238
20,268
21,738
22,192
23,380
24,380
25,362
26,443
27,443
28,443
29,252
30,252
31,256
32,272
33,115845
34,145766
35,154781
36,164926
37,164940
38,165060
39,166067
40,164798
41,166342
42,164556
43,160823
44,156358
45,152089
46,147842
47,144184
48,143483
49,140494
50,140285
51,142082
52,141574
53,140226
54,138642
55,158
56,158
57,158
58,302
59,297
60,301
61,397
62,345
63,443
64,854
65,323
66,207
67,118
68,367
69,361
70,230
71,276
72,282
73,274
74,387
75,382
76,374
77,248
78,248
79,248
80,380
81,380
82,380
83,258
84,263
85,233
86,522
87,229
88,349
89,376
90,664
91,345
92,384
93,162
94,289
95,728
96,723
97,709
98,383
99,388
100,376
101,132
102,133
103,133
104,335
105,335
106,334
107,287
108,170640
109,170640
110,170627
111,169745
112,168224
113,170046
114,170433
115,170477
116,170580
117,170488
118,170477
119,170450
120,170523
121,170485
122,170562
123,170586
124,170472
125,170317
126,170068
127,169790
128,169663
129,169469
130,169366
131,169595
132,169579
133,169317
134,169233
135,169196
136,169037
137,169391
138,169754
139,169885
140,170082
141,170045
142,170040
143,170253
144,170439
145,169843
146,169587
147,169535
148,169385
149,168513
150,168401
151,167883
152,167690
153,168134
154,168118
155,168144
156,168907
157,169010
158,168560
159,167842
160,167591
161,167000
162,165624
163,164600
164,163151
165,161913
166,160426
167,159474
168,158515
169,157085
170,156125
171,156365
172,156330
173,156061
174,156720
175,156243
176,155833
177,155720
178,155707
179,154032
180,151802
181,152046
182,151992
183,154182
184,156349
185,157327
186,155008
187,154334
188,157899
189,155187
190,154307
191,154478
192,152779
193,153562
194,153846
195,157549
196,159336
197,160700
198,162046
199,163543
200,164500
201,165137
202,164786
203,163424
204,161088
205,160802
206,160846
207,161145
208,161954
209,161927
210,163394
211,163245
212,163347
213,162346
214,161863
215,161491
216,160908
217,161317
218,161912
219,161887
220,161761
221,160943
222,161549
223,160920
224,159831
225,160794
226,160604
227,160478
228,161699
229,160879
230,159860
231,159473
232,159236
233,158799
234,158156
235,158305
236,158463
237,158016
238,157527
239,156233
240,152883
241,150545
242,147957
243,147098
244,147124
245,145656
246,160857
247,164928
248,165836
249,164808
250,166127
251,164151
252,157451
253,155913
254,150158
255,147048
256,145881
257,145085
258,149634
259,155677
260,154180
261,159965
262,162703
263,162362
264,164811
265,164829
266,165865
267,165571
268,164301
269,165493
270,165186
271,165165
272,165750
273,165268
274,163411
275,164733
276,164679
277,163352
278,165910
279,166828
280,167895
281,166865
282,168064
283,167557
284,167596
285,167333
286,166649
287,166494
288,167341
289,167002
290,166993
291,166441
292,166196
293,166438
294,165481
295,166509
296,167239
297,167211
298,167260
299,166783
300,165304
301,165880
302,166529
303,167175
304,168332
305,167796
306,166603
307,165607
308,165419
309,164972
310,164384
311,164685
312,167195
313,169477
314,170212
315,170001
316,167292
317,162347
318,163710
319,163095
320,162695
321,161747
322,162589
323,163179
324,162303
325,163068
326,163289
327,162988
328,163885
329,166047
330,166498
331,165123
332,163694
333,164003
334,165056
335,163993
336,164166
337,165448
338,166047
339,167637
340,166832
341,166664
342,166769
343,166248
344,167301
345,168051
346,168159
347,167639
348,165496
349,165001
350,164212
351,164786
352,164356
353,164725
354,165248
355,162860
356,163308
357,164371
358,163983
359,162870
360,162713
361,162028
362,164470
363,165668
364,166380
365,162373
366,155550
367,157682
368,161402
369,162679
370,163298
371,162976
372,161835
373,164706
374,166349
375,164808
376,164571
377,164706
378,163286
379,163816
380,164259
381,164074
382,166104
383,166258
384,166433
385,166290
386,166085
387,166085
388,166762
389,167357
390,166725
391,166106
392,165794
393,165461
394,166572
395,167113
