start,end,mid,start_t,end_t
0,6,3,0.0,0.3334074238719716
7,53,30,0.3889753278506335,2.945098910869082
54,105,79,3.0006668148477442,5.834629917759503
107,186,146,5.945765725716827,10.33563014003112
187,244,215,10.39119804400978,13.558568570793511
245,1397,821,13.614136474772172,77.62836185819071
1398,1554,1476,77.68392976216937,86.35252278284064
1555,1632,1593,86.40809068681929,90.68681929317627
1633,1669,1651,90.74238719715493,92.74283174038676
1670,2595,2132,92.79839964436542,144.1987108246277
2596,2832,2714,144.25427872860638,157.3683040675706
2833,3073,2953,157.42387197154923,170.76016892642812
3074,3464,3269,170.81573683040676,192.48721938208493
3465,4022,3743,192.54278728606357,223.4941098021783
4023,4214,4118,223.54967770615693,234.16314736608138
4215,4642,4428,234.21871527006002,257.9462102689487
4643,5057,4850,258.00177817292735,281.0068904200934
5058,5139,5098,281.06245832407205,285.56345854634367
5140,5153,5146,285.61902645032234,286.34140920204493
5154,5270,5212,286.3969771060236,292.84285396754836
5284,5297,5290,293.6208046232496,294.3431873749722
5298,5810,5554,294.3987552789509,322.8495221160258
5811,5972,5891,322.9050900200045,331.85152256056904
5973,7019,6496,331.9070904645477,390.03111802622806
7020,7083,7051,390.0866859302067,393.58746388086246
7084,7297,7190,393.6430317848411,405.4789953322961
7298,7315,7306,405.5345632362748,406.479217603912
7316,7357,7336,406.53478550789066,408.81306957101583
7358,7378,7368,408.8686374749945,409.9799955545677
7379,7437,7408,410.0355634585464,413.2585018893088
7438,7554,7496,413.31406979328744,419.7599466548122
7555,7893,7724,419.8155145587909,438.5974661035786
7894,8208,8051,438.65303400755727,456.10135585685714
8209,8689,8449,456.15692376083575,482.8295176705935
8690,8710,8700,482.88508557457214,483.9964436541454
8711,8932,8821,484.05201155812404,496.3325183374084
8933,8977,8955,496.388086241387,498.8330740164481
8979,9007,8993,498.94420982440545,500.50011113580797
9008,9011,9009,500.55567903978664,500.72238275172265
