shot,shot_type
shot_0021.jpg,ambiguous
shot_0034.jpg,ambiguous
shot_0027.jpg,ambiguous
shot_0010.jpg,ambiguous
shot_0023.jpg,longShot
shot_0030.jpg,ambiguous
shot_0022.jpg,longShot
shot_0031.jpg,ambiguous
shot_0005.jpg,longShot
shot_0002.jpg,closeUp
shot_0000.jpg,ambiguous
shot_0013.jpg,longShot
shot_0033.jpg,ambiguous
shot_0025.jpg,ambiguous
shot_0011.jpg,mediumShot
shot_0004.jpg,mediumShot
shot_0024.jpg,mediumCloseUp
shot_0006.jpg,mediumShot
shot_0036.jpg,longShot
shot_0016.jpg,ambiguous
shot_0017.jpg,ambiguous
shot_0026.jpg,ambiguous
shot_0028.jpg,ambiguous
shot_0019.jpg,detail
shot_0003.jpg,mediumCloseUp
shot_0001.jpg,closeUp
shot_0009.jpg,ambiguous
shot_0008.jpg,ambiguous
shot_0032.jpg,ambiguous
shot_0018.jpg,ambiguous
shot_0007.jpg,ambiguous
shot_0035.jpg,mediumShot
shot_0012.jpg,longShot
shot_0020.jpg,ambiguous
shot_0014.jpg,mediumShot
shot_0029.jpg,ambiguous
shot_0038.jpg,closeUp
shot_0015.jpg,mediumCloseUp
shot_0037.jpg,longShot
