frame,movement
1,230400
2,181
3,58
4,404
5,62055
6,144857
7,70086
8,3479
9,27
10,5
11,5
12,267
13,70
14,18
15,17
16,27646
17,113464
18,111050
19,72425
20,49750
21,60965
22,126555
23,138704
24,132101
25,120939
26,105972
27,97995
28,85625
29,65198
30,65000
31,59970
32,20321
33,5314
34,64666
35,91542
36,45004
37,28950
38,24867
39,15678
40,3221
41,2518
42,172915
43,168450
44,172823
45,172802
46,172780
47,172669
48,172655
49,172457
50,170950
51,168214
52,165382
53,119571
54,99284
55,62809
56,56681
57,94858
58,133368
59,142655
60,136547
61,129373
62,118820
63,116297
64,117589
65,112950
66,117110
67,125954
68,123571
69,112571
70,136560
71,148977
72,162457
73,164408
74,163767
75,163628
76,162923
77,160869
78,154533
79,107598
80,76322
81,64598
82,68288
83,71776
84,72401
85,65776
86,79630
87,80318
88,89334
89,96625
90,105570
91,104058
92,115388
93,136248
94,142541
95,143010
96,143045
97,141615
98,139976
99,135832
100,133449
101,129689
102,124164
103,119749
104,115613
105,114658
106,114707
107,110390
108,101855
109,90246
110,86428
111,91040
112,99454
113,107898
114,114694
115,121849
116,127469
117,126448
118,125064
119,125274
120,126731
121,128720
122,128600
123,127621
124,126688
125,129449
126,133514
127,137361
128,141264
129,139864
130,139584
131,139676
132,139444
133,139069
134,138945
135,138470
136,138639
137,138499
138,137974
139,137278
140,135913
141,136333
142,136975
143,136348
144,137010
145,137212
146,136207
147,134749
148,134001
149,135314
150,134952
151,136980
152,137485
153,137731
154,137380
155,136952
156,137576
157,137395
158,137230
159,136593
160,135812
161,133620
162,134653
163,136233
164,136280
165,136424
166,135902
167,135689
168,136185
169,136552
170,136488
171,136820
172,137796
173,138625
174,139351
175,139539
176,138966
177,137656
178,136211
179,135312
180,135608
181,136695
182,136029
183,135906
184,135351
185,135149
186,134862
187,132977
188,133162
189,133641
190,133196
191,134050
192,135602
193,136137
194,137032
195,137370
196,138277
197,138067
198,138898
199,138235
200,137515
201,135745
202,135182
203,135649
204,137241
205,137321
206,137983
207,138360
208,137750
209,134594
210,132841
211,131813
212,130682
213,132267
214,131415
215,131595
216,131352
217,131859
218,129814
219,129456
220,129432
221,128921
222,128619
223,128468
224,127698
225,126496
226,126207
227,127294
228,131261
229,130685
230,130772
231,128528
232,129791
233,131251
234,131815
235,131991
236,128853
237,126859
238,127971
239,128690
240,128543
241,127630
242,125931
243,123685
244,124368
245,124336
246,122477
247,120966
248,118906
249,119092
250,122754
251,123077
252,119069
253,116009
254,113407
255,111971
256,112745
257,114067
258,113201
259,112012
260,110500
261,109411
262,109080
263,109384
264,106005
265,103731
266,101261
267,100064
268,98498
269,98095
270,98754
271,99633
272,100435
273,100849
274,101160
275,100583
276,102768
277,103027
278,102040
279,100970
280,102161
281,98489
282,98470
283,99767
284,103500
285,88309
286,109099
287,112872
288,113171
289,112817
290,111488
291,110609
292,110402
293,110858
294,112319
295,110949
296,114738
297,119610
298,118087
299,122789
300,124915
301,123060
302,121890
303,121385
304,122009
305,126830
306,125716
307,125100
308,124762
309,126326
310,127464
311,126893
312,127393
313,128987
314,129732
315,129474
316,129559
317,129717
318,130881
319,129621
320,129456
321,128518
322,128126
323,126005
324,122191
325,121291
326,121595
327,120122
328,119499
329,115598
330,108069
331,102838
332,103191
333,104726
334,103929
335,110355
336,115575
337,115847
338,115857
339,122061
340,123126
341,121381
342,122403
343,123230
344,123498
345,121709
346,116921
347,117251
348,117120
349,116406
350,114751
351,113569
352,113704
353,113766
354,112548
355,112153
356,112889
357,114820
358,114265
359,115545
360,113892
361,111571
362,108915
363,106681
364,104350
365,105094
366,106103
367,103317
368,102546
369,106801
370,105979
371,105348
372,101957
373,96107
374,89874
375,85562
376,81940
377,81318
378,79633
379,78239
380,75178
381,73962
382,73546
383,74683
384,75838
385,76930
386,76713
387,74598
388,71998
389,70169
390,73272
391,74486
392,74157
393,76054
394,76042
395,73313
396,69539
397,63390
398,57867
399,55750
400,54683
401,52769
402,49999
403,49948
404,46864
405,46926
406,53107
407,57221
408,57037
409,56784
410,63161
411,64842
412,70559
413,69923
414,71474
415,74565
416,79808
417,77063
418,75856
419,71641
420,67170
421,65037
422,67279
423,73911
424,83356
425,89694
426,92780
427,97245
428,98603
429,97213
430,97236
431,95383
432,94676
433,93054
434,93316
435,91341
436,92892
437,95173
438,99219
439,98820
440,98499
441,97695
442,98859
443,96899
444,99152
445,97649
446,96224
447,96702
448,99423
449,103453
450,105429
451,103545
452,99724
453,98840
454,98842
455,97248
456,96907
457,96580
458,94771
459,94486
460,94877
461,94590
462,94895
463,95599
464,97321
465,99462
466,101494
467,104510
468,106398
469,107453
470,105908
471,104196
472,104415
473,105477
474,105722
475,104650
476,105628
477,105799
478,104357
479,102395
480,102319
481,102089
482,98930
483,95961
484,96237
485,94192
486,91617
487,90901
488,89116
489,87893
490,89420
491,86248
492,86085
493,88120
494,88914
495,89561
496,89742
497,92173
498,98454
499,103290
500,105757
501,106055
502,103510
503,101738
504,101464
505,101099
506,95163
507,95878
508,96322
509,96707
510,98663
511,101164
512,99993
513,98516
514,97284
515,96048
516,96171
517,96877
518,96680
519,97109
520,98086
521,99353
522,100435
523,101286
524,101745
525,102795
526,101749
527,102043
528,101793
529,101596
530,104458
531,106733
532,104820
533,104899
534,104278
535,104245
536,103010
537,102370
538,101356
539,101079
540,101214
541,102211
542,101644
543,100306
544,100261
545,98933
546,98326
547,99399
548,102542
549,105756
550,104735
551,104525
552,104685
553,108235
554,108876
555,110730
556,110191
557,105963
558,103164
559,101677
560,98772
561,99949
562,99675
563,99057
564,98911
565,98415
566,98248
567,96825
568,98808
569,99348
570,99008
571,98696
572,97326
573,96717
574,96573
575,97102
576,96872
577,96737
578,98712
579,97420
580,97102
581,97040
582,97365
583,97189
584,97682
585,97036
586,96455
587,96301
588,96320
589,97117
590,96679
591,99149
592,100148
593,98895
594,97096
595,95914
596,95830
597,94644
598,93806
599,93968
600,93776
601,93403
602,93543
603,93611
604,93142
605,92916
606,92563
607,93217
608,90237
609,89668
610,90581
611,91021
612,92311
613,90195
614,88331
615,88575
616,88495
617,88265
618,88196
619,87135
620,84590
621,87280
622,89445
623,90257
624,90337
625,91515
626,92052
627,93624
628,93157
629,93292
630,94021
631,91791
632,90294
633,86987
634,81815
635,77870
636,77435
637,76929
638,77679
639,79276
640,81020
641,81377
642,81673
643,81599
644,81373
645,82371
646,79749
647,83397
648,83109
649,84189
650,83164
651,82121
652,82506
653,81419
654,77650
655,75547
656,77874
657,78317
658,77942
659,78671
660,77515
661,75071
662,76553
663,78287
664,81895
665,87916
666,91846
667,92883
668,93284
669,93606
670,93059
671,91484
672,89272
673,88784
674,86358
675,84848
676,84968
677,84673
678,84541
679,85323
680,86052
681,86441
682,87602
683,89969
684,93602
685,97450
686,100154
687,100712
688,101292
689,97076
690,92418
691,88499
692,83033
693,78262
694,72252
695,70026
696,69956
697,69842
698,60038
699,59633
700,59206
701,59828
702,60276
703,59315
704,60751
705,64334
706,64399
707,65941
708,67978
709,72162
710,72874
711,74898
712,77424
713,78936
714,78490
715,78513
716,80209
717,81998
718,85784
719,87754
720,89931
721,91722
722,94703
723,96466
724,97316
725,97635
726,97920
727,97382
728,97012
729,95836
730,95884
731,95452
732,97112
733,98144
734,99259
735,99509
736,98644
737,97473
738,98218
739,96304
740,93870
741,94662
742,94126
743,94048
744,95582
745,94428
746,87867
747,81711
748,81137
749,81646
750,81273
751,80391
752,77774
753,79154
754,81553
755,79200
756,76724
757,73854
758,70684
759,72750
760,72196
761,72367
762,71201
763,68679
764,67412
765,68806
766,69570
767,70536
768,73467
769,80862
770,83321
771,82526
772,83630
773,87872
774,85135
775,81443
776,84618
777,84097
778,86479
779,89378
780,92534
781,91407
782,91523
783,89915
784,87737
785,82835
786,76971
787,70683
788,66345
789,62140
790,58830
791,57090
792,56947
793,56781
794,67667
795,70889
796,73829
797,79772
798,86379
799,92203
800,95684
801,98347
802,100150
803,98605
804,101449
805,100449
806,100920
807,99829
808,94273
809,91002
810,87799
811,86403
812,86109
813,86645
814,81952
815,78637
816,82562
817,81952
818,82144
819,79540
820,74411
821,71179
822,71356
823,72231
824,72750
825,71208
826,71349
827,71135
828,67060
829,63309
830,62430
831,58843
832,57886
833,58015
834,59111
835,61572
836,62145
837,64348
838,59686
839,58939
840,58739
841,61118
842,66038
843,67793
844,68875
845,67865
846,67563
847,66909
848,66660
849,68498
850,66689
851,70344
852,69058
853,66013
854,64003
855,62551
856,63904
857,72847
858,77451
859,82805
860,84936
861,81934
862,70965
863,73309
864,80153
865,80030
866,87721
867,87471
868,86943
869,87592
870,88653
871,87577
872,87498
873,89618
874,85318
875,86431
876,97849
877,104918
878,99239
879,97202
880,92501
881,87666
882,82848
883,82216
884,84710
885,87144
886,86825
887,88205
888,84662
889,85332
890,83864
891,84274
892,91746
893,93337
894,87169
895,81032
896,81252
897,84217
898,86404
899,85875
900,82317
901,80760
902,77801
903,75885
904,71235
905,71347
906,74290
907,72566
908,70984
909,72957
910,81748
911,87947
912,88241
913,85716
914,79990
915,78507
916,78232
917,77977
918,74651
919,77366
920,76956
921,75935
922,78234
923,85337
924,85516
925,82381
926,82474
927,82162
928,82140
929,79841
930,75677
931,71963
932,74223
933,76446
934,74261
935,74838
936,76498
937,78492
938,81079
939,81644
940,79540
941,77814
942,75530
943,75001
944,77266
945,80164
946,80334
947,79935
948,79236
949,79761
950,80989
951,83736
952,84579
953,87182
954,88243
955,87987
956,90296
957,91828
958,86846
959,85067
960,86133
961,88855
962,89026
963,86286
964,85010
965,86805
966,87009
967,86318
968,90152
969,104257
970,105291
971,105391
972,108028
973,105736
974,92536
975,86829
976,86227
977,84669
978,83568
979,81490
980,79191
981,78390
982,74223
983,75409
984,77792
985,76702
986,78251
987,80188
988,81802
989,84501
990,82915
991,82867
992,83815
993,81825
994,80473
995,79518
996,80085
997,78275
998,79338
999,79856
1000,79697
1001,77376
1002,75902
1003,72993
1004,70441
1005,68604
1006,67952
1007,67192
1008,66058
1009,65509
1010,66232
1011,65889
1012,66566
1013,65853
1014,65769
1015,65898
1016,66268
1017,66902
1018,68667
1019,69053
1020,68173
1021,68966
1022,67892
1023,69412
1024,67627
1025,69593
1026,70671
1027,72325
1028,75211
1029,76422
1030,74844
1031,74454
1032,74934
1033,76020
1034,77748
1035,79129
1036,79723
1037,80805
1038,81799
1039,82709
1040,80822
1041,77560
1042,74565
1043,72991
1044,69428
1045,65735
1046,63562
1047,63797
1048,62007
1049,63397
1050,64944
1051,64136
1052,62608
1053,63654
1054,61799
1055,59395
1056,59047
1057,58822
1058,59133
1059,59280
1060,62851
1061,52083
1062,35444
1063,46921
1064,92026
1065,146202
1066,165990
1067,167908
1068,166367
1069,166520
1070,172454
1071,172770
1072,172767
1073,172766
1074,172763
1075,172761
1076,172759
1077,172755
1078,172754
1079,172751
1080,172748
1081,172745
1082,172738
1083,172734
1084,172724
1085,172722
1086,172720
1087,172709
1088,125350
1089,84658
1090,56482
1091,55089
1092,56808
1093,70380
1094,133244
1095,137237
1096,172518
1097,172729
1098,172721
1099,172720
1100,172716
1101,172718
1102,172716
1103,172714
1104,172709
1105,172707
1106,172696
1107,172694
1108,172685
1109,172676
1110,172668
1111,172662
1112,172655
1113,172646
1114,172634
1115,172600
1116,172594
1117,172588
1118,172568
1119,172554
1120,172539
1121,172548
1122,172539
1123,172518
1124,171604
1125,168406
1126,163029
1127,161002
1128,162841
1129,153545
1130,136835
1131,125248
1132,123606
1133,123508
1134,124333
1135,124140
1136,122720
1137,119371
1138,118862
1139,118657
1140,117350
1141,115695
1142,115336
1143,115610
1144,120540
1145,117733
1146,117837
1147,139048
1148,157886
1149,162056
1150,162154
1151,164254
1152,167642
1153,169673
1154,172001
1155,172632
1156,172627
1157,172635
1158,172625
1159,172617
1160,172612
1161,172597
1162,172588
1163,172545
1164,170647
1165,162742
1166,162485
1167,160476
1168,147198
1169,133272
1170,128493
1171,121500
1172,117304
1173,115725
1174,116110
1175,111906
1176,111658
1177,111417
1178,78211
1179,77691
1180,78524
1181,79206
1182,79118
1183,79674
1184,80908
1185,80981
1186,81302
1187,81600
1188,81579
1189,81478
1190,81371
1191,81254
1192,81713
1193,82221
1194,82270
1195,81999
1196,81940
1197,82082
1198,87459
1199,101383
1200,101588
1201,101816
1202,119244
1203,118707
1204,126541
1205,127053
1206,127084
