start,end,mid,start_t,end_t
0,21,10,0.0,0.8766959484806802
22,29,25,0.9184433745988079,1.2106753574257012
32,40,36,1.3359176357800842,1.6698970447251051
41,55,48,1.7116444708432328,2.2961084364970197
58,1060,559,2.4213507148514024,44.252271685215284
1066,1068,1067,44.502756241924054,44.58625109416031
1070,1087,1078,44.66974594639656,45.379452190404734
1088,1094,1091,45.42119961652286,45.671684173231625
1095,1129,1112,45.713431599349754,47.132844087366095
1130,1144,1137,47.17459151348422,47.759055479138006
1147,1148,1147,47.88429775749239,47.92604518361052
1153,1164,1158,48.13478231420115,48.59400400150056
1169,1176,1172,48.8027411320912,49.09497311491809
1177,1512,1344,49.13672054103622,63.12210829060898
1513,1836,1674,63.1638557167271,76.64827435288232
1837,1863,1850,76.69002177900046,77.77545485807177
1864,2513,2188,77.8172022841899,104.91128183485473
2514,3802,3158,104.95302926097285,158.72371410112123
3824,3967,3895,159.64215747572004,165.6120394106123
3968,4314,4141,165.65378683673043,180.0983962736026
4315,4318,4316,180.1401436997207,180.2653859780751
4319,4320,4319,180.30713340419322,180.34888083031134
4322,4325,4323,180.43237568254762,180.55761796090198
4328,4644,4486,180.68286023925637,193.87504689258472
4645,5135,4890,193.91679431870284,214.37303311658536
5136,5642,5389,214.4147805427035,235.53897815847608
5646,6390,6018,235.7059678629486,266.7660528948355
6391,6579,6485,266.8078003209537,274.65631643116166
6580,6616,6598,274.6980638572798,276.2009711975324
6617,6781,6699,276.2427186236505,283.08929650702345
6782,7128,6955,283.1310439331416,297.57565337001375
7129,7381,7255,297.61740079613185,308.13775217790004
7388,7389,7388,308.4299841607269,308.47173158684507
7390,7768,7579,308.51347901296316,324.2940060856154
7769,8192,7980,324.33575351173357,341.99491475970154
8193,8524,8358,342.03666218581964,355.8550602309199
8525,8798,8661,355.89680765703804,367.29385498728686
8799,9496,9147,367.335602413405,396.43355841773996
9497,10037,9767,396.4753058438581,419.01891594764703
10038,10687,10362,419.0606633737651,446.15474292442997
10688,10718,10703,446.1964903505481,447.4489131340919
10719,10747,10733,447.4906605602101,448.65958849151764
10748,10994,10871,448.70133591763573,458.97120274269514
10995,11020,11007,459.0129501688133,460.05663582176646
11022,12225,11623,460.1401306740027,510.3622842941103
12232,12346,12289,510.65451627693716,515.4137228544037
12364,12400,12382,516.16517652453,517.6680838647826
12405,12406,12405,517.8768209953732,517.9185684214914
12410,12548,12479,518.0855581259639,523.8467029302655
12549,12713,12631,523.8884503563836,530.7350282397565
12714,12724,12719,530.7767756658747,531.1942499270559
12729,12730,12729,531.4029870576466,531.4447344837647
12735,12742,12738,531.6534716143553,531.9457035971823
12743,12780,12761,531.9874510233004,533.532105789671
12783,12873,12828,533.6573480680255,537.4146164186569
12874,12903,12888,537.4563638447751,538.6670392022008
12906,12909,12907,538.7922814805552,538.9175237589095
12912,13085,12998,539.042766037264,546.2650707557
13087,13156,13121,546.3485656079363,549.2291380100871
13159,13177,13168,549.3543802884415,550.1058339585678
13183,13187,13185,550.3563185152765,550.5233082197491
13191,13198,13194,550.6902979242216,550.9825299070484
13199,13201,13200,551.0242773331665,551.1077721854028
13202,13339,13270,551.149519611521,556.8689169897044
13340,13374,13357,556.9106644158226,558.3300769038389
13376,13625,13500,558.4135717560752,568.808680859489
13626,13714,13670,568.8504282856071,572.5242017840023
13715,15256,14485,572.5659492101204,636.8987328581551
15257,15959,15608,636.9404802842732,666.2471734191988
15960,15993,15976,666.288920845317,667.6665859072151
