shot,shot_type
shot_0015.jpg,detail
shot_0001.jpg,ambiguous
shot_0009.jpg,longShot
shot_0006.jpg,ambiguous
shot_0023.jpg,ambiguous
shot_0059.jpg,mediumShot
shot_0007.jpg,ambiguous
shot_0057.jpg,ambiguous
shot_0056.jpg,ambiguous
shot_0065.jpg,mediumShot
shot_0025.jpg,closeUp
shot_0003.jpg,ambiguous
shot_0040.jpg,extremeLongShot
shot_0038.jpg,mediumCloseUp
shot_0037.jpg,longShot
shot_0047.jpg,detail
shot_0067.jpg,mediumShot
shot_0060.jpg,ambiguous
shot_0062.jpg,ambiguous
shot_0012.jpg,mediumShot
shot_0046.jpg,ambiguous
shot_0010.jpg,mediumShot
shot_0039.jpg,longShot
shot_0049.jpg,mediumShot
shot_0050.jpg,longShot
shot_0061.jpg,mediumCloseUp
shot_0066.jpg,closeUp
shot_0024.jpg,longShot
shot_0019.jpg,mediumCloseUp
shot_0020.jpg,ambiguous
shot_0002.jpg,ambiguous
shot_0030.jpg,longShot
shot_0004.jpg,mediumShot
shot_0008.jpg,ambiguous
shot_0033.jpg,mediumCloseUp
shot_0034.jpg,longShot
shot_0032.jpg,mediumCloseUp
shot_0028.jpg,mediumShot
shot_0036.jpg,longShot
shot_0051.jpg,longShot
shot_0022.jpg,ambiguous
shot_0021.jpg,mediumShot
shot_0035.jpg,mediumCloseUp
shot_0055.jpg,longShot
shot_0026.jpg,mediumShot
shot_0064.jpg,mediumShot
shot_0017.jpg,ambiguous
shot_0029.jpg,mediumShot
shot_0013.jpg,mediumShot
shot_0014.jpg,mediumShot
shot_0031.jpg,closeUp
shot_0048.jpg,mediumCloseUp
shot_0016.jpg,mediumShot
shot_0068.jpg,longShot
shot_0041.jpg,longShot
shot_0045.jpg,extremeLongShot
shot_0011.jpg,ambiguous
shot_0052.jpg,ambiguous
shot_0054.jpg,mediumShot
shot_0005.jpg,ambiguous
shot_0018.jpg,mediumShot
shot_0058.jpg,mediumShot
shot_0000.jpg,detail
shot_0063.jpg,mediumShot
shot_0043.jpg,extremeLongShot
shot_0042.jpg,extremeLongShot
shot_0044.jpg,mediumShot
shot_0053.jpg,mediumShot
shot_0027.jpg,detail
