frame,movement
1,230400
2,10102
3,2401
4,580
5,92
6,11
7,11416
8,57537
9,34885
10,27249
11,36782
12,29005
13,21159
14,18656
15,2243
16,5210
17,23669
18,15710
19,14466
20,11461
21,13524
22,11731
23,15783
24,14637
25,19152
26,10747
27,15562
28,16534
29,21255
30,541
31,14302
32,11618
33,20928
34,21526
35,18129
36,19285
37,16714
38,10090
39,0
40,230
41,20
42,23
43,8
44,0
45,0
46,16
47,26
48,82
49,110
50,0
51,0
52,230400
53,230400
54,230400
55,230400
56,230148
57,221024
58,188893
59,180970
60,169304
61,165358
62,163967
63,159668
64,158292
65,154039
66,145744
67,140609
68,132178
69,117710
70,97499
71,83024
72,69139
73,56937
74,48528
75,37834
76,30755
77,27956
78,27199
79,27299
80,33840
81,34753
82,35347
83,35262
84,45673
85,64521
86,70302
87,75523
88,79608
89,75760
90,73091
91,64467
92,66905
93,62735
94,50812
95,48175
96,30247
97,14494
98,14763
99,15502
100,22677
101,18598
102,21619
103,27753
104,19254
105,13993
106,20840
107,17096
108,18808
109,28462
110,39429
111,39340
112,39944
113,45568
114,30831
115,33227
116,37494
117,35794
118,41314
119,35675
120,33713
121,32487
122,46847
123,45224
124,40287
125,33057
126,33054
127,34704
128,34603
129,36250
130,35699
131,44711
132,40349
133,38600
134,32407
135,31762
136,20098
137,17907
138,20058
139,18669
140,16525
141,18265
142,13252
143,8285
144,11495
145,4518
146,5442
147,7623
148,10413
149,10201
150,18036
151,17637
152,17216
153,9623
154,8888
155,12785
156,19102
157,11743
158,9363
159,9236
160,5870
161,6664
162,9027
163,13007
164,11867
165,12805
166,17414
167,15115
168,3206
169,8098
170,9601
171,5356
172,3568
173,3816
174,4595
175,3571
176,2558
177,2807
178,2228
179,2734
180,1887
181,2723
182,2366
183,2079
184,1284
185,1225
186,1727
187,1509
188,1606
189,1360
190,460
191,285
192,328
193,430
194,1765
195,1121
196,2949
197,311
198,347
199,137
200,251
201,591
202,1116
203,595
204,824
205,745
206,649
207,1161
208,6710
209,13103
210,14677
211,11952
212,10250
213,3570
214,4714
215,5395
216,3280
217,4886
218,30499
219,31242
220,14188
221,11607
222,6241
223,9201
224,9508
225,5251
226,7054
227,18043
228,13513
229,20280
230,8250
231,10490
232,16755
233,29220
234,33777
235,41522
236,45426
237,47789
238,50299
239,50760
240,55644
241,57698
242,58969
243,57013
244,48982
245,43611
246,54475
247,66665
248,66975
249,59629
250,53878
251,42430
252,48292
253,45252
254,50840
255,46039
256,43429
257,28731
258,19976
259,11756
260,10688
261,14430
262,27127
263,29903
264,23575
265,19595
266,11578
267,7822
268,8685
269,4991
270,2955
271,1521
272,3233
273,767
274,1956
275,1698
276,2535
277,1578
278,2141
279,2689
280,2534
281,3257
282,4089
283,3823
284,3234
285,2913
286,4271
287,3971
288,2623
289,2810
290,2167
291,2010
292,3724
293,5959
294,4356
295,3360
296,6204
297,6531
298,5520
299,2439
300,1332
301,1123
302,954
303,890
304,628
305,586
306,848
307,728
308,497
309,667
310,821
311,549
312,474
313,153
314,173
315,123
316,23
317,39
318,91
319,16
320,63
321,32
322,166
323,128
324,68
325,85
326,52
327,136
328,361
329,2348
330,3244
331,4466
332,6540
333,8422
334,8830
335,9913
336,13673
337,15367
338,18359
339,19741
340,16956
341,15077
342,29470
343,38659
344,20198
345,23872
346,26560
347,18323
348,22148
349,17158
350,20377
351,26043
352,16753
353,16681
354,14759
355,13478
356,8538
357,1709
358,2787
359,7176
360,13709
361,26295
362,31196
363,34571
364,41546
365,49708
366,50157
367,51846
368,53361
369,50021
370,54699
371,51667
372,44886
373,42513
374,53061
375,56695
376,59122
377,52441
378,45795
379,43972
380,38877
381,52292
382,49990
383,49615
384,42792
385,45441
386,32517
387,28266
388,19407
389,18717
390,15082
391,14773
392,11139
393,9562
394,10239
395,11299
396,13112
397,16715
398,15978
399,13120
400,8093
401,2624
402,389
403,1141
404,2373
405,1794
406,1369
407,1379
408,773
409,652
410,1139
411,609
412,401
413,300
414,140
415,98
416,772
417,312
418,157
419,75
420,22
421,79
422,183
423,109
424,44
425,72
426,86
427,40
428,5
429,0
430,5
431,12
432,38
433,45
434,50
435,19
436,20
437,25
438,28
439,5
440,67
441,224
442,75
443,32
444,5
445,0
446,0
447,0
448,13
449,0
450,0
451,5
452,0
453,0
454,42
455,0
456,74
457,201
458,37
459,50
460,0
461,43
462,5
463,0
464,20
465,185
466,148
467,3079
468,456
469,535
470,630
471,1336
472,2459
473,8397
474,10427
475,2308
476,7278
477,14744
478,17421
479,11307
480,5381
481,12626
482,22896
483,7318
484,1567
485,1531
486,995
487,15
488,83
489,25
490,0
491,2874
492,10713
493,13389
494,18981
495,25462
496,36810
497,30579
498,18131
499,16833
500,20827
501,24152
502,24290
503,20741
504,19208
505,23491
506,30235
507,32369
508,32583
509,29741
510,36891
511,30574
512,29068
513,28832
514,30941
515,25573
516,29095
517,15216
518,10161
519,5547
520,3894
521,3664
522,9949
523,11378
524,6987
525,4524
526,10483
527,10559
528,8902
529,9448
530,10226
531,8350
532,5004
533,2899
534,2183
535,2089
536,1454
537,2960
538,2292
539,2239
540,2856
541,3008
542,2705
543,336
544,20
545,66
546,0
547,14
548,178
549,8
550,8
551,0
552,63
553,8
554,0
555,16
556,67
557,30
558,28
559,28
560,12
561,30
562,10
563,0
564,11
565,30
566,8
567,5
568,0
569,0
570,0
571,10
572,0
573,5
574,89
575,11
576,13
577,0
578,125
579,0
580,0
581,8
582,71
583,33
584,526
585,558
586,29
587,21
588,1063
589,2231
590,23337
591,27981
592,30636
593,30129
594,27937
595,29723
596,27566
597,27269
598,25583
599,26963
600,26738
601,32979
602,38212
603,38942
604,37653
605,36553
606,38985
607,41902
608,39116
609,37485
610,34095
611,30391
612,31568
613,32224
614,30223
615,32551
616,31960
617,29681
618,26822
619,26425
620,27956
621,26306
622,25891
623,27696
624,28878
625,27433
626,26871
627,26307
628,23546
629,23130
630,23196
631,22564
632,21676
633,20238
634,21121
635,22760
636,22791
637,25949
638,25429
639,28266
640,29280
641,28976
642,29685
643,30130
644,30437
645,29452
646,26659
647,25646
648,24073
649,24662
650,23091
651,22283
652,20536
653,20466
654,20985
655,21678
656,20455
657,21710
658,20596
659,19724
660,20995
661,20810
662,22403
663,22034
664,21812
665,19866
666,19669
667,19142
668,16322
669,18688
670,16959
671,19595
672,19727
673,19554
674,21363
675,22200
676,20840
677,20477
678,19877
679,20066
680,19542
681,19701
682,21599
683,20867
684,20970
685,20419
686,20545
687,21139
688,21674
689,22788
690,21324
691,21351
692,22259
693,20730
694,22850
695,22561
696,23343
697,21294
698,21015
699,20224
700,18447
701,18819
702,20257
703,21550
704,19057
705,18202
706,18336
707,18157
708,16501
