start,end,mid,start_t,end_t
0,57,28,0.0,3.166892636102159
58,1600,829,3.222452156033776,88.89523189058693
1604,1711,1657,89.1174699703134,95.06233860299639
1713,1842,1777,95.17345764285963,102.3406357140382
1843,2450,2146,102.39619523396982,136.12082383246124
2451,2457,2454,136.17638335239283,136.50974047198255
2460,2506,2483,136.67641903177739,139.23215694863177
2509,3415,2962,139.39883550842663,189.73576056647147
3416,3577,3496,189.7913200864031,198.7364027953934
3579,3700,3639,198.84752183525663,205.57022374698226
3702,3957,3829,205.6813427868455,219.84902036940778
3960,4663,4311,220.01569892920264,259.0740414411293
4671,4979,4825,259.5185176005822,276.6308497395202
4980,5459,5219,276.6864092594518,303.2994193066963
5460,5627,5543,303.35497882662787,312.6334186552079
5628,6400,6014,312.6889781751395,355.5809275623477
6401,6793,6597,355.6364870822793,377.41581889547314
6796,7214,7005,377.58249745526797,400.8063767866838
7215,7422,7318,400.8619363066154,412.3627569324601
7423,7953,7688,412.4183164523917,441.8648620161486
7954,8481,8217,441.92042153608026,471.2002885400423
8482,8503,8492,471.2558480599739,472.4225979785379
8504,8694,8599,472.4781574984695,483.0344662854767
8695,8803,8749,483.09002580540835,489.0904539580229
8804,8923,8863,489.14601347795457,495.75759634981694
8925,9322,9123,495.8687153896802,517.9258448025321
9323,9568,9445,517.9814043224637,531.5934867057098
9569,9618,9593,531.6490462256414,534.3714627022906
