shot,shot_type
shot_0016.jpg,mediumShot
shot_0019.jpg,ambiguous
shot_0013.jpg,mediumShot
shot_0011.jpg,mediumShot
shot_0002.jpg,mediumShot
shot_0022.jpg,mediumCloseUp
shot_0014.jpg,mediumShot
shot_0008.jpg,longShot
shot_0025.jpg,mediumShot
shot_0006.jpg,ambiguous
shot_0001.jpg,mediumShot
shot_0024.jpg,detail
shot_0018.jpg,mediumShot
shot_0012.jpg,mediumShot
shot_0020.jpg,mediumCloseUp
shot_0015.jpg,ambiguous
shot_0009.jpg,mediumShot
shot_0010.jpg,mediumShot
shot_0004.jpg,extremeLongShot
shot_0005.jpg,ambiguous
shot_0026.jpg,mediumShot
shot_0017.jpg,mediumShot
shot_0007.jpg,longShot
shot_0023.jpg,mediumShot
shot_0021.jpg,closeUp
shot_0000.jpg,detail
shot_0003.jpg,mediumShot
