frame,movement
1,230400
2,15071
3,23266
4,6742
5,1448
6,1740
7,1375
8,1856
9,4232
10,4659
11,5367
12,2541
13,2164
14,497
15,3677
16,6976
17,12050
18,12270
19,9887
20,8803
21,8823
22,6075
23,4029
24,6962
25,5601
26,4486
27,6268
28,6967
29,5750
30,5728
31,5544
32,3958
33,3674
34,3387
35,3720
36,4552
37,6556
38,6790
39,7838
40,5488
41,4259
42,3373
43,3460
44,4774
45,8165
46,8150
47,6069
48,4365
49,4700
50,5437
51,5961
52,5568
53,3228
54,1962
55,2509
56,2414
57,3030
58,3653
59,3006
60,2997
61,2849
62,2695
63,2699
64,2329
65,2867
66,3517
67,4571
68,4537
69,4245
70,4050
71,3511
72,3384
73,2104
74,1780
75,1522
76,1842
77,3434
78,4021
79,4470
80,5306
81,6640
82,6661
83,6885
84,7214
85,6870
86,5302
87,4193
88,3184
89,3795
90,3023
91,3457
92,2837
93,2954
94,3084
95,3780
96,4230
97,4753
98,5986
99,6567
100,8547
101,7857
102,6605
103,5542
104,8314
105,7754
106,6554
107,4211
108,4263
109,6067
110,7042
111,7609
112,5850
113,5539
114,4553
115,6753
116,5319
117,5741
118,8331
119,9892
120,10431
121,10088
122,6635
123,6577
124,8455
125,8250
126,7327
127,5242
128,3928
129,3834
130,2759
131,2956
132,3012
133,3884
134,4607
135,6086
136,7813
137,8843
138,9585
139,10596
140,10987
141,11534
142,11997
143,12473
144,14052
145,15481
146,16084
147,16992
148,18122
149,18929
150,19742
151,20324
152,20989
153,21001
154,21119
155,21446
156,21636
157,20764
158,20313
159,18949
160,16455
161,15085
162,13827
163,12566
164,11836
165,11491
166,10966
167,9873
168,8638
169,7357
170,7979
171,8013
172,8594
173,7223
174,7428
175,7352
176,6895
177,6537
178,6235
179,6061
180,6113
181,6264
182,6243
183,6098
184,5485
185,4962
186,4845
187,4573
188,4486
189,4365
190,4078
191,3926
192,4299
193,4580
194,6011
195,7185
196,5495
197,4748
198,4195
199,4776
200,5301
201,7468
202,9949
203,13678
204,15747
205,15169
206,14288
207,13300
208,13764
209,13834
210,13534
211,12284
212,12107
213,10896
214,12075
215,13821
216,16078
217,16460
218,17165
219,16322
220,17279
221,17166
222,17893
223,17926
224,16647
225,14022
226,18415
227,16991
228,17671
229,17998
230,19772
231,19775
232,20693
