start,end,mid,start_t,end_t
0,424,212,0.0,23.558173130347814
425,673,549,23.613734859428824,37.39304367151905
674,1069,871,37.448605400600066,59.39548838759862
1070,1233,1151,59.451050116679625,68.50761195688409
1234,1480,1357,68.5631736859651,82.23135903989332
1481,1607,1544,82.28692076897433,89.28769863318146
1608,1772,1690,89.34326036226247,98.45538393154794
1775,2038,1906,98.62206911879098,113.23480386709633
2039,2107,2073,113.29036559617735,117.06856317368596
2108,2129,2118,117.12412490276697,118.29092121346815
2130,2386,2258,118.34648294254916,132.57028558728746
2387,2435,2411,132.62584731636846,135.2928103122569
2436,2739,2587,135.3483720413379,152.18357595288364
2740,2891,2815,152.23913768196465,160.628958773197
2892,3081,2986,160.68452050227802,171.18568729858873
3082,3709,3395,171.24124902766974,206.07845316146236
3717,4206,3961,206.52294699411044,233.69263251472384
4207,4363,4285,233.74819424380485,242.41582398044227
4364,4835,4599,242.47138570952328,268.6409601066785
4836,4906,4871,268.69652183575954,272.58584287143015
4907,6045,5476,272.6414046005111,335.87065229469937
6046,7688,6867,335.9262140237804,427.1585731747972
7689,8471,8080,427.2141349038782,470.66340704522725
8472,8533,8502,470.7189687743082,474.1082342482498
8536,8597,8566,474.2749194354928,477.66418490943437
8601,8659,8630,477.8864318257584,481.1090121124569
8660,8664,8662,481.1645738415379,481.386820757862
8665,8793,8729,481.44238248694296,488.5542838093121
8808,8870,8839,489.3877097455273,492.83253694854983
8871,8872,8871,492.8880986776308,492.94366040671184
8873,8874,8873,492.9992221357928,493.05478386487385
8875,8878,8876,493.11034559395483,493.2770307811979
8882,8936,8909,493.4992776975219,496.4996110678964
8940,8959,8949,496.72185798422043,497.7775308367596
8963,9018,8990,497.99977775308366,501.05567285253915
9022,9043,9032,501.27791976886317,502.4447160795644
9046,9065,9055,502.6114012668074,503.6670741193466
9066,9128,9097,503.72263584842756,507.1674630514501
9135,9150,9142,507.5563951550172,508.3898210912323
9153,9194,9173,508.55650627847535,510.83453717079675
9197,9218,9207,511.00122235803974,512.168018668741
9225,9244,9234,512.556950772308,513.6126236248472
9246,9290,9268,513.7237470830092,516.1684631625736
9291,9314,9302,516.2240248916546,517.5019446605178
9321,9337,9329,517.8908767640849,518.7798644293811
9341,9385,9363,519.0021113457051,521.4468274252695
9388,9416,9402,521.6135126125125,523.1692410267807
9422,9489,9455,523.5026114012668,527.2252472496943
9490,9518,9504,527.2808089787754,528.8365373930436
9525,9623,9574,529.2254694966107,534.6705189465496
9631,9725,9678,535.1150127791976,540.3378153128125
9742,9760,9751,541.2823647071897,542.2824758306479
9761,9795,9778,542.3380375597288,544.2271363484831
9796,9850,9823,544.2826980775642,547.2830314479386
9856,9869,9862,547.6164018224247,548.3387043004778
9874,9956,9915,548.6165129458828,553.1725747305255
9957,9962,9959,553.2281364596066,553.5059451050116
9974,10080,10027,554.1726858539837,560.0622291365707
10093,10123,10108,560.7845316146238,562.451383487054
10124,10209,10166,562.5069452161351,567.2296921880209
10212,10216,10214,567.3963773752639,567.6186242915879
10217,10242,10229,567.6741860206689,569.0632292476942
10243,10345,10294,569.1187909767751,574.786087343038
