shot,shot_type
shot_0123.jpg,longShot
shot_0074.jpg,longShot
shot_0028.jpg,longShot
shot_0136.jpg,ambiguous
shot_0036.jpg,ambiguous
shot_0095.jpg,ambiguous
shot_0060.jpg,closeUp
shot_0140.jpg,longShot
shot_0114.jpg,mediumShot
shot_0031.jpg,mediumShot
shot_0110.jpg,mediumCloseUp
shot_0041.jpg,ambiguous
shot_0057.jpg,fullShot
shot_0016.jpg,mediumCloseUp
shot_0029.jpg,longShot
shot_0101.jpg,detail
shot_0098.jpg,ambiguous
shot_0088.jpg,mediumCloseUp
shot_0084.jpg,ambiguous
shot_0077.jpg,mediumShot
shot_0049.jpg,fullShot
shot_0045.jpg,mediumShot
shot_0042.jpg,mediumShot
shot_0106.jpg,mediumShot
shot_0051.jpg,ambiguous
shot_0067.jpg,ambiguous
shot_0047.jpg,fullShot
shot_0019.jpg,detail
shot_0046.jpg,mediumShot
shot_0134.jpg,longShot
shot_0052.jpg,longShot
shot_0043.jpg,mediumShot
shot_0129.jpg,longShot
shot_0063.jpg,ambiguous
shot_0126.jpg,mediumShot
shot_0072.jpg,mediumShot
shot_0096.jpg,mediumShot
shot_0013.jpg,mediumShot
shot_0011.jpg,mediumCloseUp
shot_0087.jpg,ambiguous
shot_0097.jpg,mediumCloseUp
shot_0002.jpg,longShot
shot_0050.jpg,longShot
shot_0103.jpg,mediumShot
shot_0062.jpg,mediumShot
shot_0059.jpg,mediumShot
shot_0083.jpg,ambiguous
shot_0022.jpg,longShot
shot_0093.jpg,mediumShot
shot_0132.jpg,ambiguous
shot_0116.jpg,mediumShot
shot_0027.jpg,longShot
shot_0014.jpg,ambiguous
shot_0068.jpg,ambiguous
shot_0075.jpg,ambiguous
shot_0008.jpg,closeUp
shot_0125.jpg,mediumShot
shot_0025.jpg,mediumShot
shot_0006.jpg,mediumShot
shot_0119.jpg,mediumShot
shot_0001.jpg,longShot
shot_0024.jpg,longShot
shot_0127.jpg,mediumShot
shot_0018.jpg,mediumCloseUp
shot_0069.jpg,ambiguous
shot_0012.jpg,mediumShot
shot_0033.jpg,mediumShot
shot_0058.jpg,ambiguous
shot_0086.jpg,ambiguous
shot_0035.jpg,mediumShot
shot_0073.jpg,closeUp
shot_0113.jpg,mediumCloseUp
shot_0137.jpg,ambiguous
shot_0034.jpg,mediumShot
shot_0032.jpg,mediumShot
shot_0020.jpg,closeUp
shot_0121.jpg,mediumCloseUp
shot_0065.jpg,longShot
shot_0122.jpg,mediumShot
shot_0139.jpg,ambiguous
shot_0015.jpg,detail
shot_0009.jpg,detail
shot_0100.jpg,ambiguous
shot_0080.jpg,mediumShot
shot_0111.jpg,mediumShot
shot_0056.jpg,mediumShot
shot_0037.jpg,ambiguous
shot_0092.jpg,ambiguous
shot_0076.jpg,mediumShot
shot_0038.jpg,ambiguous
shot_0054.jpg,ambiguous
shot_0010.jpg,mediumCloseUp
shot_0112.jpg,mediumShot
shot_0064.jpg,longShot
shot_0081.jpg,longShot
shot_0094.jpg,closeUp
shot_0102.jpg,closeUp
shot_0131.jpg,ambiguous
shot_0138.jpg,ambiguous
shot_0004.jpg,longShot
shot_0109.jpg,ambiguous
shot_0005.jpg,mediumShot
shot_0053.jpg,mediumShot
shot_0026.jpg,extremeLongShot
shot_0117.jpg,ambiguous
shot_0071.jpg,mediumShot
shot_0017.jpg,mediumShot
shot_0048.jpg,fullShot
shot_0085.jpg,ambiguous
shot_0040.jpg,mediumShot
shot_0030.jpg,longShot
shot_0039.jpg,mediumShot
shot_0104.jpg,ambiguous
shot_0091.jpg,ambiguous
shot_0133.jpg,ambiguous
shot_0079.jpg,ambiguous
shot_0115.jpg,mediumShot
shot_0007.jpg,ambiguous
shot_0124.jpg,mediumShot
shot_0120.jpg,mediumShot
shot_0023.jpg,closeUp
shot_0107.jpg,mediumShot
shot_0066.jpg,longShot
shot_0078.jpg,ambiguous
shot_0089.jpg,mediumShot
shot_0044.jpg,ambiguous
shot_0118.jpg,mediumShot
shot_0099.jpg,closeUp
shot_0130.jpg,ambiguous
shot_0070.jpg,mediumCloseUp
shot_0061.jpg,ambiguous
shot_0021.jpg,mediumCloseUp
shot_0128.jpg,closeUp
shot_0108.jpg,longShot
shot_0000.jpg,longShot
shot_0135.jpg,ambiguous
shot_0090.jpg,ambiguous
shot_0055.jpg,mediumShot
shot_0082.jpg,ambiguous
shot_0105.jpg,closeUp
shot_0003.jpg,longShot
