frame,movement
1,230400
2,108681
3,55551
4,24674
5,10200
6,8205
7,11965
8,6510
9,3672
10,8896
11,12682
12,13250
13,18532
14,13995
15,7851
16,6496
17,13718
18,20113
19,19822
20,23285
21,30527
22,42359
23,54382
24,62292
25,67392
26,73037
27,78296
28,82366
29,83307
30,81168
31,77977
32,79303
33,79787
34,76100
35,74489
36,72768
37,72924
38,78096
39,76838
40,78831
41,77849
42,72820
43,73119
44,73073
45,76337
46,81609
47,86014
48,83817
49,80819
50,79671
51,76742
52,75733
53,80716
54,80345
55,80277
56,79980
57,79514
58,80187
59,79183
60,76672
61,73919
62,71713
63,60929
64,52232
65,49465
66,44071
67,42701
68,40526
69,42520
70,41741
71,42881
72,44835
73,48222
74,50574
75,50224
76,50733
77,50296
78,52890
79,55357
80,60918
81,66213
82,65675
83,68659
84,70285
85,74229
86,74525
87,73366
88,71851
89,68666
90,70279
91,71455
92,69038
93,65789
94,62902
95,63265
96,63897
97,57563
98,53121
99,50002
100,44940
101,40409
102,38644
103,35631
104,35173
105,33835
106,33253
107,31018
108,31100
109,30040
110,30665
111,30251
112,30891
113,30817
114,33515
115,33513
116,29840
117,27749
118,29803
119,28542
120,29064
121,30256
122,30497
123,30956
124,33855
125,36345
126,38133
127,38256
128,39096
129,39792
130,40237
131,37857
132,35372
133,31321
134,28862
135,28068
136,30028
137,30679
138,31463
139,35288
140,38522
141,38481
142,37715
143,39355
144,44466
145,46321
146,44637
147,48615
148,51627
149,59949
150,63791
151,65158
152,71155
153,73560
154,66689
155,67324
156,71939
157,78667
158,92414
159,98064
160,98370
161,95950
162,95638
163,93903
164,93491
165,95229
166,91268
167,94190
168,92198
169,91859
170,90614
171,91167
172,87578
173,82787
174,85921
175,84240
176,75409
177,65293
178,57804
179,61389
180,63533
181,73727
182,82097
183,81294
184,76581
185,79858
186,84480
187,83120
188,81235
189,79857
190,76250
191,79283
192,83730
193,89379
194,93417
195,97211
196,106537
197,121466
198,129790
199,124478
200,113864
201,96100
202,84039
203,76741
204,68643
205,67261
206,65573
207,67433
208,68506
209,67321
210,64944
211,60493
212,59201
213,59109
214,58948
215,56268
216,54371
217,50121
218,45627
219,43612
220,39183
221,36883
222,40311
223,35515
224,33788
225,34343
226,33205
227,33182
228,34441
229,34556
230,35256
231,35321
232,32750
233,34545
234,37179
235,39062
236,40666
237,43756
238,47600
239,51688
240,57922
241,64755
242,72995
243,77710
244,84247
245,86799
246,91717
247,94490
248,94806
249,95320
250,97057
251,99258
252,98453
253,97167
254,98205
255,102166
256,103323
257,103155
258,104453
259,102967
260,103199
261,106228
262,108218
263,107877
264,108791
265,106822
266,106292
267,102667
268,96402
269,91178
270,87097
271,87992
272,91506
273,93228
274,90315
275,86838
276,84416
277,83135
278,81752
279,80626
280,76645
281,77007
282,80652
283,81260
284,81312
285,82983
286,82292
287,83085
288,82910
289,85696
290,85339
291,86823
292,86964
293,83223
294,81630
295,80786
296,79530
297,80168
298,80795
299,80409
300,80433
301,81869
302,81976
303,84045
304,86563
305,89160
306,92492
307,94560
308,95871
309,101889
310,104226
311,105859
312,106354
313,106330
314,104233
315,102731
316,100659
317,99674
318,95757
319,92143
320,88082
321,85640
322,81285
323,79660
324,77969
325,78763
326,76422
327,75916
328,75244
329,74447
330,72844
331,73352
332,70858
333,69927
334,68211
335,65832
336,65122
337,63720
338,63986
339,61801
340,61584
341,64080
342,63296
343,63234
344,63770
345,61713
346,59723
347,60729
348,57525
349,56495
350,56999
351,55785
352,54079
353,55272
354,56309
355,57930
356,58921
357,60200
358,60789
359,61327
360,62890
361,65111
362,64413
363,62884
364,61824
365,62249
366,62280
367,63739
368,64359
369,64491
370,65608
371,66373
372,65689
373,65921
374,65086
375,65913
376,64683
377,63155
378,61719
379,62789
380,64181
381,65311
382,66391
383,68412
384,70753
385,71659
386,69595
387,66195
388,63805
389,65234
390,67695
391,70048
392,71095
393,72375
394,73037
395,74124
396,76076
397,72339
398,69632
399,70662
400,68924
401,68670
402,68646
403,69496
404,69906
405,70115
406,70218
407,72551
408,70672
409,71795
410,73797
411,74264
412,73698
413,72808
414,72940
415,69789
416,72884
417,73789
418,74032
419,74490
420,75208
421,73831
422,74373
423,73041
424,72954
425,72710
426,71936
427,71984
428,70743
429,69183
430,72093
431,72843
432,74641
433,74421
434,71180
435,68239
436,61698
437,56538
438,53608
439,52259
440,54836
441,57485
442,57980
443,56493
444,53554
445,51377
446,53887
447,52394
448,52594
449,52665
450,54737
451,55439
452,58692
453,57515
454,57010
455,56645
456,53789
457,52099
458,56242
459,57353
460,57378
461,54734
462,55027
463,51928
464,48237
465,47118
466,49752
467,48212
468,47842
469,43449
470,40995
471,42366
472,42471
473,40089
474,39715
475,37672
476,35076
477,37976
478,39694
479,38176
480,40150
481,40829
482,44769
483,45973
484,46914
485,47362
486,49227
487,47572
488,49796
489,50918
490,49330
491,50722
492,51385
493,52168
494,52381
495,53818
496,53879
497,54891
498,54139
499,55496
500,57797
501,59696
502,60867
503,63275
504,68291
505,73453
506,79743
507,80289
508,80441
509,82299
510,82008
511,79444
512,79887
513,77303
514,80982
515,87863
516,89592
517,87623
518,87923
519,89819
520,89787
521,88029
522,90666
523,90621
524,90395
525,90169
526,86505
527,85672
528,86806
529,83090
530,82707
531,83312
532,74257
533,90546
534,80477
535,82199
536,79627
537,79683
538,85207
539,86436
540,86369
541,87180
542,86647
543,86220
544,84552
545,84120
546,81559
547,78205
548,75484
549,73699
550,73525
551,71239
552,68629
553,69816
554,67986
555,66736
556,69828
557,69891
558,71491
559,75950
560,78755
561,84872
562,88097
563,89597
564,92539
565,94979
566,98246
567,100189
568,103745
569,104915
570,106380
571,106324
572,108057
573,111141
574,110688
575,110160
576,109437
577,107570
578,107159
579,107329
580,106723
581,106708
582,109600
583,108117
584,107964
585,105967
586,104975
587,105661
588,103287
589,103945
590,105730
591,104965
592,105127
593,105847
594,104603
595,105042
596,104891
597,102582
598,100510
599,99928
600,96545
601,95549
602,95365
603,93567
604,93120
605,94174
606,92810
607,93483
608,94771
609,93553
610,94598
611,96248
612,94611
613,93297
614,91755
615,89627
616,87633
617,88310
618,87826
619,91386
620,93959
621,94593
622,94963
623,95671
624,96699
625,98737
626,98749
627,97597
628,96241
629,94188
630,95600
631,94028
632,92320
633,93012
634,90250
635,88960
636,87594
637,87211
638,84066
639,80351
640,74818
641,71911
642,64861
643,60523
644,60004
645,55916
646,57550
647,57778
648,56456
649,60782
650,59228
651,58835
652,59027
653,56480
654,55539
655,55325
656,57920
657,68681
658,73203
659,75123
660,66384
661,54589
662,50176
663,45707
664,42975
665,40726
666,38297
667,45434
668,48797
669,50495
670,59344
671,70036
672,72503
673,77623
674,83287
675,83870
676,83499
677,79208
678,75315
679,67532
680,77403
681,75887
682,68684
683,65632
684,64425
685,69621
686,74055
687,73301
688,69763
689,71233
690,69703
691,77080
692,83016
693,83994
694,83486
695,79397
696,77739
697,75049
698,72508
699,70951
700,70537
701,71431
702,71263
703,69094
704,67806
705,66636
706,66996
707,67737
708,70721
709,70259
710,69875
711,67787
712,69703
713,72876
714,77645
715,79725
716,78115
717,78223
718,82137
719,82716
720,81632
721,80270
722,75122
723,72294
724,70274
725,70325
726,68758
727,68628
728,67723
729,68422
730,68326
731,67101
732,65578
733,67359
734,66297
735,67089
736,66099
737,63786
738,63041
739,61141
740,58732
741,59894
742,58841
743,56827
744,58162
745,55713
746,54337
747,55755
748,51789
749,49697
750,46285
751,41484
752,36176
753,37407
754,33437
755,34271
756,38340
757,40493
758,44774
759,51958
760,53134
761,52527
762,55044
763,53534
764,55774
765,58301
766,57425
767,57281
768,59562
769,58207
770,59514
771,62250
772,62722
773,63071
774,66522
775,65697
776,65433
777,66263
778,69598
779,71048
780,73500
781,72115
782,70408
783,68477
784,68849
785,69639
786,70345
787,70269
788,69149
789,72699
790,68095
791,64447
792,65482
793,65999
794,71174
795,75647
796,74606
797,71982
798,67663
799,62593
800,60105
801,60691
802,57942
803,57475
804,52962
805,49557
806,50136
807,44609
808,43750
809,46182
810,43262
811,52451
812,59014
813,54834
814,52825
815,50867
816,50038
817,52773
818,56681
819,52589
820,54923
821,53892
822,50122
823,50821
824,50694
825,47480
826,47453
827,45612
828,46944
829,47753
830,47933
831,48655
832,49513
833,50291
834,49440
835,51714
836,55986
837,56843
838,64574
839,68917
840,72260
841,72027
842,72389
843,69465
844,70397
845,69271
846,71919
847,76279
848,76471
849,72595
850,70742
851,69704
852,68231
853,67899
854,64116
855,62439
856,64815
857,65543
858,64600
859,62069
860,55615
861,61117
862,47831
863,44768
864,48890
865,60782
866,61045
867,64750
868,67632
869,65001
870,69540
871,72645
872,78317
873,65986
874,63718
875,65653
876,69766
877,70755
878,69744
879,76205
880,79659
881,80299
882,83084
883,81997
884,71545
885,64392
886,67080
887,72879
888,72353
889,63923
890,60476
891,62932
892,45539
893,41279
894,41103
895,44505
896,46791
897,48261
898,45002
899,47164
900,51585
901,45906
902,43855
903,46204
904,40739
905,36605
906,38913
907,36461
908,36759
909,35162
910,37238
911,44164
912,42730
913,49321
914,50744
915,54300
916,62326
917,60857
918,58567
919,55939
920,59010
921,57931
922,52639
923,52212
924,52770
925,49992
926,50288
927,55389
928,60083
929,60424
930,59475
931,56893
932,54214
933,51077
934,51303
935,50099
936,49871
937,50552
938,50298
939,49733
940,53009
941,50004
942,48544
943,49145
944,48192
945,48607
946,49753
947,48277
948,47503
949,46590
950,44467
951,46320
952,46551
953,51977
954,53237
955,50251
956,50825
957,50902
958,54320
959,55087
960,50275
961,60870
962,58747
963,56492
964,59277
965,61415
966,64456
967,66684
968,69059
969,69354
970,63745
971,71673
972,73997
973,77214
974,77879
975,78575
976,80320
977,77718
978,74895
979,77233
980,71545
981,69361
982,67329
983,63085
984,62984
985,64478
986,60060
987,64686
988,74928
989,69907
990,72395
991,74784
992,69602
993,67700
994,63901
995,64407
996,73126
997,72262
998,69656
999,68699
1000,66726
1001,64245
1002,62280
1003,63245
1004,67673
1005,69173
1006,70195
1007,70556
1008,69267
1009,69048
1010,70235
1011,69204
1012,66328
1013,63244
1014,54532
1015,62839
1016,58691
1017,55841
1018,57791
1019,60521
1020,62934
1021,61100
1022,63720
1023,64578
1024,60643
1025,58416
1026,56547
1027,54730
1028,52046
1029,52936
1030,51103
1031,44615
1032,45049
1033,52278
1034,52724
1035,55782
1036,53313
1037,57942
1038,58081
1039,56090
1040,57271
1041,54988
1042,49111
1043,46513
1044,46883
1045,46076
1046,48127
1047,52043
1048,50304
1049,49550
1050,48486
1051,48981
1052,45579
1053,45991
1054,48193
1055,46899
1056,47734
1057,46204
1058,46085
1059,45177
1060,48124
1061,48720
1062,49590
1063,49537
1064,46169
1065,43250
1066,42088
1067,43960
1068,44667
1069,46099
1070,49593
1071,52603
1072,54371
1073,54417
1074,55959
1075,57761
1076,60910
1077,62774
1078,64496
1079,68926
1080,74747
1081,79912
1082,82035
1083,83459
1084,87245
1085,88985
1086,90140
1087,92305
1088,99402
1089,98180
1090,102723
1091,88950
1092,83895
1093,82966
1094,84487
1095,86385
1096,85050
1097,79936
1098,72633
1099,70417
1100,67978
1101,64201
1102,63278
1103,60908
1104,61623
1105,66424
1106,62926
1107,58350
1108,58324
1109,56903
1110,56834
1111,54235
1112,53098
1113,55197
1114,53187
1115,46534
1116,58655
1117,65237
1118,52729
1119,52498
1120,53282
1121,47978
1122,46301
1123,45094
1124,43312
1125,43256
1126,54966
1127,54274
1128,55156
1129,56159
1130,56659
1131,56359
1132,54989
1133,54604
1134,53488
1135,53275
1136,51765
1137,52735
1138,51526
1139,51399
1140,51300
1141,51507
1142,51772
1143,51163
1144,50170
1145,48480
1146,48592
1147,47860
1148,49176
1149,46391
1150,44826
1151,42527
1152,41336
1153,39360
1154,40384
1155,39615
1156,39404
1157,39042
1158,38181
1159,37987
1160,37411
1161,35269
1162,33988
1163,31077
1164,30007
1165,29702
1166,33133
1167,33598
1168,35251
1169,36245
1170,38435
1171,38916
1172,41889
1173,43409
1174,46923
1175,46152
1176,48295
1177,50260
1178,53844
1179,55675
1180,57154
1181,56289
1182,56589
1183,54916
1184,53831
1185,51643
1186,52547
1187,51470
1188,51256
1189,50996
1190,52137
1191,53019
1192,53803
1193,54789
1194,54865
1195,53223
1196,51564
1197,50329
1198,50078
1199,49279
1200,46937
1201,43505
1202,40445
1203,36309
1204,34424
1205,34713
1206,34068
1207,34014
1208,36588
1209,40566
1210,40071
1211,39866
1212,40149
1213,39596
1214,39352
1215,38054
1216,37845
1217,37647
1218,35847
1219,35768
1220,34595
1221,33395
1222,37777
1223,41937
1224,44095
1225,44547
1226,46926
1227,47633
1228,45368
1229,43019
1230,41616
1231,37946
1232,35517
1233,33408
1234,33070
1235,32958
1236,32870
1237,33118
1238,32259
1239,32890
1240,32115
1241,32449
1242,38709
1243,42607
1244,45051
1245,49231
1246,46626
1247,38898
1248,37832
1249,35806
