start,end,mid,start_t,end_t
0,1124,562,0.0,62.45320982949413
1125,1163,1144,62.508773183434954,64.62018063318654
1165,1722,1443,64.7313073410682,95.6800954861111
1723,2671,2197,95.73565884005194,148.40971837595978
2672,2678,2675,148.46528172990062,148.7986618535456
2679,2712,2695,148.85422520748645,150.68781588753387
2713,2752,2732,150.74337924147468,152.91035004516712
2757,2773,2765,153.18816681487127,154.07718047792457
2775,2794,2784,154.18830718580622,155.24401091068202
2802,2940,2871,155.68851774220866,163.35626058604336
2946,4927,3936,163.68964070968835,273.7606448664747
4928,5470,5199,273.81620822041555,303.93154605634595
5473,5485,5479,304.0982361181685,304.76499636545844
5486,5494,5490,304.8205597193993,305.2650665509259
5496,5828,5662,305.3761932588076,323.8232267671635
5829,6611,6220,323.8787901211043,367.3293329028342
6612,6941,6776,367.38489625677505,385.6652397033085
6942,7178,7060,385.7208030572493,398.83375458728545
7179,8332,7755,398.88931794122624,462.95386503500447
8333,8852,8592,463.0094283889453,491.84680908423667
8853,8987,8920,491.90237243817745,499.3478618662488
8988,9633,9310,499.40342522018966,535.2417885120257
9634,11061,10347,535.2973518659666,614.5862579395325
11062,11771,11416,614.6418212934733,654.0362392375225
11772,12242,12007,654.0918025914634,680.206578943654
12243,12299,12271,680.2621422975948,683.3736901182814
