shot,shot_type
shot_0018.jpg,detail
shot_0021.jpg,extremeLongShot
shot_0004.jpg,detail
shot_0003.jpg,longShot
shot_0011.jpg,mediumCloseUp
shot_0014.jpg,ambiguous
shot_0002.jpg,ambiguous
shot_0016.jpg,closeUp
shot_0017.jpg,extremeLongShot
shot_0005.jpg,mediumShot
shot_0015.jpg,ambiguous
shot_0013.jpg,extremeLongShot
shot_0009.jpg,closeUp
shot_0000.jpg,mediumCloseUp
shot_0008.jpg,ambiguous
shot_0001.jpg,longShot
shot_0020.jpg,closeUp
shot_0010.jpg,mediumShot
shot_0006.jpg,mediumCloseUp
shot_0019.jpg,ambiguous
shot_0024.jpg,mediumCloseUp
shot_0012.jpg,extremeLongShot
shot_0022.jpg,mediumShot
shot_0023.jpg,ambiguous
shot_0007.jpg,detail
