frame,movement
1,230400
2,116610
3,79839
4,75617
5,57818
6,60604
7,87967
8,67379
9,62120
10,57065
11,59264
12,65603
13,65518
14,58691
15,57748
16,60414
17,109658
18,141044
19,166303
20,198671
21,189871
22,190269
23,187052
24,199013
25,200466
26,204010
27,204238
28,197532
29,190938
30,190239
31,184238
32,181250
33,193491
34,180824
35,117593
36,156561
37,188357
38,189675
39,187994
40,188317
41,178586
42,179260
43,174695
44,166141
45,165333
46,166616
47,168493
48,151081
49,103297
50,88013
51,89104
52,97031
53,126508
54,91908
55,91591
56,87713
57,85020
58,91884
59,94540
60,92995
61,97971
62,105402
63,119627
64,122244
65,122658
66,128109
67,148256
68,160169
69,144694
70,105618
71,91809
72,92549
73,93014
74,100154
75,91516
76,80989
77,77443
78,70441
79,66187
80,69506
81,98667
82,96774
83,82627
84,88351
85,106564
86,98435
87,93295
88,98995
89,121092
90,132712
91,112948
92,87451
93,90133
94,102484
95,116390
96,132248
97,109811
98,85388
99,82165
100,81277
101,88553
102,92501
103,94290
104,88232
105,84897
106,80278
107,80350
108,84328
109,85865
110,93412
111,103234
112,108396
113,108660
114,95494
115,109802
116,144070
117,172577
118,194512
119,187289
120,174706
121,150252
122,154172
123,171533
124,182826
125,186399
126,178642
127,188703
128,192909
129,196443
130,199720
131,198361
132,186225
133,185230
134,181589
135,159778
136,134659
137,106225
138,88003
139,90290
140,90748
141,92837
142,79040
143,71690
144,82060
145,89386
146,86488
147,84885
148,86923
149,84183
150,81393
151,92924
152,100082
153,107221
154,111279
155,120783
156,128276
157,134097
158,137424
159,141789
160,132148
161,137925
162,140410
163,131538
164,134494
165,136550
166,138016
167,137806
168,131859
169,127882
170,126361
171,123986
172,120873
173,119240
174,118424
175,120133
176,124722
177,130702
178,136399
179,142772
180,136860
181,123498
182,127048
183,130887
184,127879
185,121339
186,105493
187,95906
188,80927
189,77069
190,78318
191,78244
192,76590
193,75401
194,73259
195,67044
196,60337
197,57630
198,61162
199,64320
200,72435
201,73242
202,70515
203,71748
204,71264
205,73055
206,94232
207,147116
208,164884
209,154426
210,141219
211,141794
212,110263
213,125554
214,116857
215,111311
216,148137
217,154547
218,149147
219,141523
220,138410
221,126626
222,163261
223,189607
224,197573
225,179940
226,143258
227,163714
228,129207
229,185285
230,184455
231,186956
232,195290
233,184818
234,176659
235,159340
236,174870
237,189311
238,186900
239,189378
240,189876
241,190760
242,194734
243,193261
244,193958
245,194122
246,197114
247,200851
248,204825
249,201687
250,176547
251,158438
252,180635
253,173304
254,155220
255,131519
256,121092
257,99903
258,113849
259,101484
260,134112
261,134355
262,141608
263,125099
264,101422
265,100753
266,89454
267,97536
268,97201
269,89259
270,109960
271,97374
272,93294
273,74573
274,74199
275,78782
276,79695
277,101473
278,126009
279,105034
280,88575
281,87903
282,92401
283,101407
284,93239
285,86428
286,93415
287,103679
288,130037
289,128739
290,139090
291,145458
292,144905
293,147031
294,151951
295,141709
296,130573
297,132555
298,108197
299,118584
300,133948
301,118606
302,141219
303,112868
304,100025
305,104723
306,104030
307,114242
308,153463
309,123716
310,134902
311,164012
312,157374
313,135603
314,117585
315,134420
316,134594
317,123405
318,142497
319,124546
320,136256
321,146295
322,142285
323,144508
324,167051
325,165746
326,158632
327,146605
328,148504
329,174436
330,166272
331,184751
332,198347
333,198163
334,201576
335,194616
336,175927
337,157048
338,130763
339,135775
340,132954
341,164510
342,187667
343,186736
344,196366
345,195161
346,191782
347,194574
348,194806
349,204759
350,198248
351,191262
352,185604
353,170235
354,160988
355,160102
356,146691
357,134393
358,131493
359,107285
360,119486
361,117964
362,139122
363,118886
364,111840
365,122732
366,108132
367,108800
368,101114
369,100370
370,106468
371,114257
372,108586
373,109963
374,98912
375,88270
376,83230
377,80778
378,83232
379,84973
380,85667
381,94741
382,97137
383,105999
384,103015
385,106602
386,106037
387,115385
388,115182
389,132782
390,130538
391,133299
392,138615
393,126080
394,111367
395,94749
396,90791
397,85313
398,80566
399,80839
400,88251
401,104572
402,93647
403,94909
404,108730
405,104130
406,103252
407,108791
408,110209
409,119534
410,101277
411,112434
412,122350
413,109793
414,111495
415,101698
416,97636
417,106112
418,103867
419,127593
420,148632
421,143763
422,158543
423,152027
424,131191
425,122628
426,118910
427,141108
428,145085
429,113854
430,93543
431,99587
432,105144
433,122558
434,127246
435,122966
436,121313
437,125028
438,136709
439,129239
440,125073
441,98120
442,92590
443,116872
444,120976
445,128329
446,157611
447,159552
448,155178
449,141864
450,128770
451,110616
452,119195
453,139506
454,146578
455,151885
456,148548
457,152884
458,153069
459,146310
460,150781
461,169852
462,175697
463,174303
464,184136
465,192725
466,195903
467,187865
468,187139
469,180141
470,182948
471,182027
472,181427
473,154022
474,142178
475,126712
476,121370
477,121158
478,113584
479,114522
480,118841
481,108942
482,109054
483,119650
484,124455
485,120248
486,125701
487,112941
488,108663
489,127445
490,115813
491,108753
492,101118
493,94648
494,92743
495,85134
496,83053
497,84536
498,84176
499,85754
500,78288
501,82117
502,92746
503,89883
504,111620
505,109707
506,106309
507,107071
508,112624
509,119178
510,116708
511,100098
512,101233
513,112907
514,137425
515,134696
516,129538
517,132432
518,136056
519,118556
520,110050
521,124411
522,130329
523,110086
524,103104
525,101224
526,97348
527,86661
528,85265
529,88381
530,84764
531,92519
532,94350
533,103667
534,92929
535,95842
536,116288
537,106053
538,129570
539,138355
540,137561
541,144718
542,145850
543,128821
544,120279
545,126299
546,126030
547,131278
548,140687
549,148775
550,140496
551,153468
552,153530
553,153257
554,156472
555,169730
556,165712
557,158962
558,156388
559,151654
560,155585
561,141520
562,145573
563,151061
564,164083
565,166962
566,159183
567,147389
568,163268
569,177109
570,175384
571,174574
572,178298
573,186757
574,189018
575,182184
576,177951
577,168395
578,154585
579,146306
580,139573
581,149070
582,157924
583,161215
584,165877
585,173192
586,177873
587,176855
588,174607
589,170097
590,166116
591,170184
592,176638
593,176327
594,178921
595,177038
596,166649
597,162966
598,162622
599,160375
600,156722
601,151774
602,147849
603,143290
604,144929
605,150488
606,152960
607,154825
608,149546
609,146349
610,130247
611,108239
612,106798
613,112904
614,109694
615,110018
616,103420
617,101112
618,99201
619,96997
620,98267
621,99007
622,94645
623,93825
624,92614
625,99490
626,109292
627,120585
628,127046
629,134232
630,140276
631,139144
632,142091
633,144499
634,147302
635,146502
636,142004
637,140841
638,145078
639,148620
640,153109
641,154898
642,150677
643,145983
644,149780
645,145602
646,147264
647,151259
648,154769
649,158574
650,160604
651,168013
652,184239
653,192320
654,192504
655,184413
656,168887
657,158898
658,150110
659,140624
660,144720
661,135169
662,134349
663,150260
664,145559
665,148946
666,132751
667,136904
668,146396
669,138609
670,153631
671,164581
672,162332
673,160234
674,152416
675,156341
676,142981
677,143834
678,156484
679,156337
680,163615
681,155945
682,143974
683,144286
684,145036
685,149369
686,145780
687,159351
688,152779
689,157017
690,156279
691,157655
692,157426
693,155514
694,158897
695,159650
696,150463
697,154140
698,153235
699,159064
700,155418
701,149365
702,134617
703,143031
704,141567
705,133266
706,138487
707,141905
708,137667
709,138423
710,138931
711,135474
712,141000
713,143715
714,155918
715,161834
716,167165
717,170056
718,170181
719,165712
720,156921
721,149078
722,144687
723,142870
724,143473
725,140160
726,137803
727,138305
728,138943
729,140932
730,134242
731,134336
732,134443
733,129783
734,135014
735,143156
736,125024
737,109557
738,99059
739,94806
740,94907
741,94953
742,95412
743,94887
744,84721
745,104207
746,101585
747,97167
748,90967
749,88899
750,90822
751,101261
752,112491
753,113353
754,116889
755,129739
756,129982
757,118852
758,121910
759,117787
760,128644
761,131895
762,129951
763,126852
764,123258
765,119415
766,123029
767,124514
768,131606
769,129908
770,128442
771,135673
772,130254
773,131576
774,127879
775,132016
776,140931
777,150706
778,153829
779,153604
780,154777
781,162755
782,168334
783,170693
784,163584
785,158311
786,156403
787,143765
788,131513
789,124991
790,116717
791,114830
792,122860
793,143032
794,169590
795,191347
796,206723
797,207101
798,189155
799,169571
800,168427
801,159346
802,141026
803,126406
804,128098
805,129512
806,120763
807,122209
808,132584
809,137504
810,142617
811,145693
812,150862
813,148551
814,146774
815,149555
816,152389
817,148049
818,137523
819,135301
820,132247
821,136041
822,133782
823,125596
824,122804
825,121727
826,127796
827,133531
828,131362
829,124190
830,99904
831,94167
832,103441
833,107644
834,105948
835,108302
836,111683
837,114018
838,110420
839,125621
840,138811
841,139239
842,137630
843,136813
844,138397
845,134750
846,134859
847,133071
848,128954
849,123620
850,125135
851,126726
852,121556
853,119628
854,122919
855,127909
856,129478
857,132979
858,137659
859,136177
860,126370
861,114798
862,108824
863,106509
864,133545
865,115609
866,107023
867,100211
868,92380
869,91653
870,93304
871,91236
872,84185
873,87527
874,86441
875,78901
876,65431
877,69901
878,69211
879,66106
880,61894
881,65404
882,77654
883,75430
884,76609
885,78352
886,77810
887,77283
888,89603
889,80024
890,63342
891,62945
892,70353
893,64662
894,63990
895,64503
896,74518
897,85372
898,87854
899,101446
900,115752
901,117277
902,103810
903,98555
904,96985
905,90011
906,79349
907,69629
908,57064
909,63314
910,53665
911,40018
912,50927
913,72932
914,77458
915,74484
916,74029
917,74750
918,82061
919,94390
