start,end,mid,start_t,end_t
0,261,130,0.0,10.90407282890473
262,629,445,10.945850885720457,26.278397737092245
630,876,753,26.32017579390797,36.5975777705768
877,911,894,36.63935582739252,38.05980975912724
912,932,922,38.10158781594297,38.93714895225751
933,967,950,38.97892700907323,40.39938094080795
968,1417,1192,40.441158997623674,59.19950650788507
1419,1422,1420,59.28306262151652,59.4083967919637
1425,1457,1441,59.533730962410885,60.870628780514146
1460,1724,1592,60.99596295096133,72.02536995031323
1725,2029,1877,72.06714800712896,84.76767727910996
2030,2227,2128,84.80945533592568,93.03973252862389
2228,2348,2288,93.08151058543962,98.09487740332685
2349,2631,2490,98.13665546014258,109.91806748217758
2632,2980,2806,109.9598455389933,124.49860931086627
2981,3498,3239,124.540387367682,146.1396427414128
3499,3651,3575,146.18142079822854,152.53168543421904
3652,4032,3842,152.57346349103477,168.449125081011
4034,4066,4050,168.53268119464246,169.86957901274573
4071,4151,4111,170.07846929682435,173.4207138420825
4152,4185,4168,173.46249189889824,174.84116777381723
4186,5241,4713,174.88294583063296,218.95879577122489
5242,5316,5279,219.00057382804061,222.0921500324044
5317,5521,5419,222.13392808922012,230.65665167962842
5522,5792,5657,230.69842973644415,241.97850507669042
5793,6197,5995,242.02028313350615,258.89861808705984
6198,6588,6393,258.94039614387555,275.2338383020091
6589,6888,6738,275.2756163588248,287.76725534672715
6889,6995,6942,287.80903340354286,292.2375074260099
6996,7252,7124,292.2792854828256,302.97446802765177
7253,7275,7264,303.01624608446747,303.93536333441347
7276,7389,7332,303.9771413912292,308.6980618114063
7390,7497,7443,308.7398398682221,313.21009194750485
7498,7659,7578,313.25187000432055,319.9781371516526
7660,7861,7760,320.0199152084683,328.41730462842946
7862,8026,7944,328.45908268524516,335.3106840030244
8028,8032,8030,335.39424011665585,335.56135234391877
8033,8244,8138,335.60313040073447,344.41830038885286
8248,8258,8253,344.5854126161158,345.0031931842731
8259,9015,8637,345.0449712410888,376.6291821937783
9016,9748,9382,376.6709602505941,407.25249783970617
9749,10005,9877,407.2942758965219,417.989458441348
10006,10545,10275,418.03123649816376,440.54960912184055
10546,10716,10631,440.5913871786563,447.69365683732985
10717,11462,11089,447.7354348941456,478.86008722186216
11463,11928,11695,478.90186527867786,498.3286616979909
11929,12096,12012,498.3704397548066,505.347375243033
12097,12343,12220,505.3891532998488,515.6665552765176
