shot,shot_type
shot_0028.jpg,ambiguous
shot_0036.jpg,detail
shot_0031.jpg,mediumShot
shot_0041.jpg,ambiguous
shot_0016.jpg,longShot
shot_0029.jpg,longShot
shot_0045.jpg,longShot
shot_0042.jpg,mediumCloseUp
shot_0047.jpg,mediumShot
shot_0019.jpg,ambiguous
shot_0046.jpg,longShot
shot_0043.jpg,mediumCloseUp
shot_0013.jpg,mediumCloseUp
shot_0011.jpg,mediumShot
shot_0002.jpg,mediumShot
shot_0022.jpg,mediumShot
shot_0027.jpg,mediumShot
shot_0014.jpg,longShot
shot_0008.jpg,mediumShot
shot_0025.jpg,mediumShot
shot_0006.jpg,mediumCloseUp
shot_0001.jpg,mediumShot
shot_0024.jpg,mediumShot
shot_0018.jpg,ambiguous
shot_0012.jpg,mediumShot
shot_0033.jpg,closeUp
shot_0035.jpg,mediumShot
shot_0034.jpg,mediumShot
shot_0032.jpg,ambiguous
shot_0020.jpg,extremeLongShot
shot_0015.jpg,longShot
shot_0009.jpg,mediumShot
shot_0037.jpg,ambiguous
shot_0038.jpg,mediumShot
shot_0010.jpg,mediumShot
shot_0004.jpg,mediumShot
shot_0005.jpg,mediumCloseUp
shot_0026.jpg,mediumCloseUp
shot_0017.jpg,longShot
shot_0040.jpg,detail
shot_0030.jpg,longShot
shot_0039.jpg,mediumShot
shot_0007.jpg,detail
shot_0023.jpg,mediumShot
shot_0044.jpg,longShot
shot_0021.jpg,mediumShot
shot_0000.jpg,detail
shot_0003.jpg,ambiguous
