frame,movement
1,230400
2,113
3,21
4,0
5,0
6,0
7,0
8,0
9,0
10,110
11,0
12,0
13,5
14,0
15,0
16,85
17,81
18,0
19,13
20,0
21,0
22,0
23,1569
24,0
25,0
26,0
27,0
28,0
29,10
30,0
31,13
32,773
33,385
34,0
35,14
36,1091
37,199970
38,201346
39,184232
40,185851
41,184237
42,189153
43,195467
44,196022
45,178551
46,118553
47,100035
48,83909
49,77278
50,67589
51,53708
52,46538
53,42177
54,38613
55,34149
56,31943
57,33050
58,28854
59,26363
60,27180
61,27394
62,27933
63,30637
64,31852
65,35260
66,33131
67,33877
68,31340
69,29273
70,27688
71,27510
72,26866
73,29345
74,29950
75,30104
76,29130
77,27900
78,29784
79,30883
80,29165
81,30169
82,29164
83,28812
84,31654
85,33926
86,35394
87,35449
88,35532
89,35518
90,35195
91,35172
92,35709
93,38266
94,40092
95,41691
96,42696
97,46459
98,50920
99,51273
100,48361
101,47970
102,46498
103,47472
104,48428
105,51519
106,55213
107,56273
108,54166
109,49269
110,43051
111,40391
112,41863
113,47219
114,46168
115,43370
116,40244
117,39811
118,38564
119,35513
120,33689
121,36123
122,38274
123,38513
124,40944
125,38680
126,32961
127,27933
128,27839
129,27571
130,26817
131,28894
132,29419
133,29366
134,29419
135,28768
136,28098
137,26788
138,26667
139,29059
140,32270
141,29337
142,25414
143,23451
144,21745
145,21773
146,23394
147,23306
148,23650
149,22978
150,22473
151,22278
152,22118
153,23226
154,25869
155,25701
156,24981
157,26875
158,25786
159,27080
160,25950
161,24141
162,23193
163,22685
164,22936
165,23911
166,23572
167,25741
168,28836
169,31520
170,31973
171,33444
172,34741
173,34630
174,34236
175,32822
176,35558
177,37326
178,37642
179,38988
180,40063
181,39907
182,37833
183,37690
184,37937
185,42311
186,43890
187,44526
188,44270
189,41719
190,40823
191,43302
192,39757
193,39793
194,38108
195,37907
196,39766
197,39188
198,37776
199,39108
200,41201
201,48688
202,55178
203,53112
204,52404
205,51362
206,46272
207,43527
208,42529
209,44513
210,45609
211,42436
212,40765
213,44031
214,46380
215,46654
216,47192
217,45870
218,46077
219,48997
220,49530
221,48802
222,49398
223,48038
224,48729
225,47804
226,46679
227,47355
228,47656
229,46367
230,46129
231,45652
232,45984
233,47094
234,49573
235,46836
236,40616
237,38964
238,38067
239,38228
240,39426
241,44173
242,54394
243,56677
244,48221
245,43370
246,14851
247,17769
248,19090
249,21934
250,21725
251,20518
252,21519
253,20593
254,18654
255,19847
256,19582
257,18874
258,19682
259,20134
260,18884
261,16550
262,17114
263,15465
264,16094
265,15208
266,15081
267,14132
268,14366
269,14303
270,14614
271,18290
272,22433
273,23144
274,26238
275,24435
276,18678
277,14829
278,13670
279,15104
280,15387
281,12635
282,13361
283,13423
284,14490
285,17818
286,18430
287,16121
288,13368
289,12196
290,14175
291,13902
292,13244
293,18374
294,18543
295,13916
296,14505
297,15855
298,13692
299,12868
300,14638
301,13356
302,18249
303,14359
304,14376
305,21847
306,32109
307,25269
308,45492
309,42903
310,54938
311,77186
312,71227
313,70169
314,96449
315,107108
316,92776
317,75631
318,71059
319,68217
320,158497
321,193582
322,203771
323,181408
324,107758
325,44121
326,26998
327,23098
328,22883
329,28298
330,37546
331,47831
332,45186
333,49094
334,53496
335,57736
336,58276
337,61330
338,66271
339,62535
340,61508
341,65101
342,69731
343,73126
344,81020
345,82507
346,82856
347,83240
348,87703
349,85046
350,86554
351,86387
352,85131
353,83323
354,87211
355,90921
356,79249
357,75625
358,75487
359,76243
360,76997
361,73203
362,75290
363,77781
364,91980
365,104077
366,112796
367,172236
368,161176
369,113655
370,94280
371,79537
372,67423
373,58019
374,50767
375,35884
376,34932
377,42067
378,44012
379,50428
380,52367
381,53955
382,51468
383,54504
384,62600
385,76029
386,80505
387,65463
388,63711
389,52977
390,47692
391,60293
392,66603
393,62988
394,50128
395,39420
396,28799
397,23752
398,21544
399,23935
400,21981
401,21307
402,22451
403,21276
404,21547
405,26467
406,28880
407,26519
408,27224
409,27319
410,24549
411,26058
412,24279
413,19707
414,11069
415,26606
416,32645
417,35474
418,29927
419,16977
420,25210
421,32581
422,37823
423,46279
424,52016
425,56093
426,60108
427,65629
428,65643
429,63979
430,58358
431,58683
432,1813
433,3656
434,560
435,1269
436,5097
437,3642
438,1621
439,872
440,14634
441,59637
442,61445
443,53184
444,44869
445,42708
446,39108
447,35521
448,25995
449,12429
450,4745
451,10534
452,15459
453,22711
454,21544
455,18028
456,22694
457,32591
458,39810
459,39419
460,36659
461,30169
462,26913
463,20016
464,17510
465,17145
466,17204
467,17535
468,20772
469,24364
470,32714
471,36167
472,28095
473,34149
474,24704
475,24807
476,24412
477,24862
478,25074
479,24696
480,23686
481,26668
482,26906
483,27397
484,25785
485,25827
486,24123
487,22320
488,31300
489,21667
490,21593
491,23813
492,21674
493,22452
494,22011
495,21959
496,25738
497,85076
498,150424
499,72180
500,29282
501,23800
502,23036
503,25285
504,19687
505,20880
506,22823
507,24620
508,21634
509,16670
510,17406
511,12779
512,14461
513,17005
514,23989
515,70994
516,148821
517,185336
518,187203
519,112722
520,43317
521,29471
522,29205
523,32660
524,28375
525,32154
526,27458
527,24533
528,16757
529,14955
530,13958
531,15105
532,33515
533,33671
534,38087
535,45270
536,48247
537,51172
538,52711
539,49708
540,46622
541,41303
542,43112
543,36643
544,34703
545,28230
546,20194
547,19069
548,16898
549,14155
550,13068
551,15106
552,26403
553,30472
554,38736
555,79881
556,43990
557,48507
558,53309
559,57720
560,60651
561,60374
562,62420
563,54111
564,12224
565,9634
566,5507
567,247
568,1634
569,578
570,468
571,1879
572,483
573,116
574,124
575,328
576,269
577,160
578,227
579,320
580,429
581,137
582,353
583,382
584,818
585,840
586,1577
587,1642
588,4060
589,2894
590,480
591,333
592,332
593,1180
594,1372
595,494
596,282
597,289
598,173
599,112
600,117
601,65
602,238
603,192
604,499
605,763
606,576
607,523
608,1870
609,2284
610,751
611,197
612,156
613,237
614,3788
615,2667
616,1049
617,6925
618,31728
619,42989
620,78083
621,105958
622,121997
623,133751
624,133847
625,34908
626,8689
627,6398
628,6915
629,8021
630,19181
631,56772
632,63303
633,55086
634,32017
635,23364
636,17933
637,7865
638,7386
639,8120
640,8193
641,7622
642,6740
643,6200
644,7479
645,7236
646,8185
647,10556
648,15996
649,97434
650,150525
651,184196
652,173720
653,126717
654,95169
655,75440
656,61483
657,48314
658,36497
659,52993
660,35177
661,26900
662,38285
663,7639
664,2555
665,984
666,602
667,45
668,2941
669,34890
670,69397
671,60034
672,35992
673,19645
674,672
675,590
676,108
677,0
678,100
679,87
680,45
681,32
682,98
683,498
684,257
685,338
686,537
687,128
688,0
689,0
690,15
691,0
692,0
693,0
694,0
695,0
696,0
697,45
698,10
699,26
700,118
701,67
702,145
703,26
704,142
705,94
706,20
707,23
708,0
709,0
710,8
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,5
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,8
739,13
740,8
741,26
742,28
743,2240
744,12969
745,4028
746,0
747,0
748,0
749,0
750,0
751,0
752,32
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,5
761,243
762,7751
763,15347
764,20274
765,19549
766,19604
767,22146
768,20438
769,26147
770,20457
771,19081
772,18395
773,23639
774,29827
775,14264
776,5126
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,22
789,139
790,326
791,9157
792,817
793,2518
794,3656
795,3912
796,4843
797,9388
798,18545
799,8855
800,0
801,70
802,228
803,2257
804,8628
805,33999
806,39909
807,15611
808,4369
809,18706
810,8676
811,1145
812,570
813,101
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,6686
822,12335
823,1484
824,0
825,0
826,124
827,2701
828,35266
829,61184
830,33873
831,10044
832,5551
833,6483
834,10595
835,9507
836,6827
837,4177
838,2911
839,6157
840,524
841,469
842,451
843,264
844,828
845,4387
846,1860
847,714
848,1991
849,497
850,1903
851,886
852,135
853,109
854,5
855,0
856,0
857,0
858,249
859,1752
860,7423
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,14
927,29
928,0
929,0
930,0
931,0
932,0
933,0
934,3027
935,0
936,68
937,348
938,4449
939,3118
940,0
941,0
942,694
943,10312
944,8979
945,11170
946,10045
947,16218
948,22353
949,18325
950,4352
951,42651
952,40644
953,36377
954,79168
955,54254
956,54062
957,55507
958,70963
959,97430
960,102061
961,79086
962,39103
963,26030
964,13199
965,4816
966,0
967,0
968,0
969,0
970,38
971,0
972,0
973,7533
974,35313
975,11047
976,37243
977,16460
978,0
979,0
980,198
981,3649
982,15730
983,47513
984,56889
985,59664
986,36997
987,20994
988,38235
989,58686
990,51585
991,15417
992,12378
993,3895
994,783
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,11
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,36
1049,11137
1050,3991
1051,6049
1052,15835
1053,27624
1054,9749
1055,21160
1056,22457
1057,21322
1058,7656
1059,14912
1060,13628
1061,8488
1062,4674
1063,1577
1064,2941
1065,993
1066,195
1067,267
1068,20
1069,1001
1070,862
1071,654
1072,269
1073,694
1074,1861
1075,5671
1076,6305
1077,9491
1078,12278
1079,908
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,682
1099,573
1100,166
1101,1404
1102,3075
1103,2873
1104,4266
1105,8874
1106,11450
1107,50692
1108,75606
1109,78336
1110,85996
1111,51998
1112,25455
1113,22679
1114,17958
1115,64
1116,0
1117,0
1118,10124
1119,27258
1120,20768
1121,29100
1122,24441
1123,22430
1124,17915
1125,19517
1126,42
1127,0
1128,0
1129,0
1130,0
1131,2189
1132,4646
1133,1072
1134,584
1135,5549
1136,27475
1137,22259
1138,10258
1139,3533
1140,2281
1141,2407
1142,486
1143,5
1144,91
1145,264
1146,54
1147,899
1148,346
1149,234
1150,0
1151,0
1152,0
1153,0
1154,0
1155,18
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,702
1164,1507
1165,2090
1166,1616
1167,1370
1168,2431
1169,3631
1170,615
1171,79
1172,118
1173,104
1174,53
1175,134
1176,782
1177,625
1178,457
1179,33
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,63
1207,0
1208,0
1209,0
1210,0
1211,0
1212,10
1213,3764
1214,36192
1215,45066
1216,788
1217,115
1218,129
1219,123
1220,5
1221,5
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,10
1230,5
1231,8
1232,0
1233,0
1234,0
1235,5
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,16
1276,0
1277,0
1278,0
1279,0
1280,0
1281,112
1282,211
1283,0
1284,0
1285,0
1286,16
1287,0
1288,33
1289,0
1290,0
1291,116
1292,0
1293,79
1294,182
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,374
1302,5
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,9
1346,0
1347,0
1348,0
1349,184
1350,225
1351,15182
1352,16803
1353,17289
1354,22318
1355,10249
1356,1282
1357,789
1358,884
1359,1834
1360,5622
1361,70
1362,0
1363,485
1364,4578
1365,11104
1366,9794
1367,742
1368,0
1369,116
1370,0
1371,117
1372,0
1373,0
1374,23
1375,229
1376,12
1377,0
1378,0
1379,39
1380,936
1381,4693
1382,42719
1383,37086
1384,26071
1385,25982
1386,26250
1387,24692
1388,24754
1389,25447
1390,27936
1391,30959
1392,28858
1393,15046
1394,19492
1395,35581
1396,30670
1397,29154
1398,24519
1399,11951
1400,198
1401,59
1402,0
1403,0
1404,190
1405,8968
1406,12055
1407,15977
1408,6348
1409,15882
1410,13113
1411,389
1412,0
1413,36
1414,0
1415,0
1416,396
1417,37611
1418,65670
1419,73163
1420,78998
1421,81931
1422,77817
1423,63731
1424,50124
1425,7029
1426,82584
1427,68385
1428,71003
1429,69756
1430,69838
1431,69639
1432,69526
1433,70286
1434,69266
1435,67933
1436,67593
1437,66988
1438,67439
1439,67126
1440,70047
1441,70602
1442,68693
1443,62170
1444,55429
1445,52543
1446,55219
1447,57380
1448,61708
1449,65854
1450,68634
1451,62837
1452,51659
1453,49208
1454,44694
1455,41405
1456,39156
1457,38865
1458,38515
1459,38954
1460,40546
1461,40969
1462,40739
1463,40084
1464,42773
1465,43531
1466,44627
1467,42576
1468,41603
1469,42400
1470,40889
1471,35891
1472,36151
1473,29440
1474,24033
1475,21113
1476,19894
1477,19308
1478,18438
1479,14653
1480,9207
1481,7828
1482,7101
1483,7629
1484,6856
1485,5832
1486,6254
1487,9162
1488,11930
1489,9963
1490,9549
1491,6084
1492,6066
1493,5862
1494,4725
1495,4669
1496,3950
1497,3866
1498,4109
1499,4393
1500,4833
1501,5555
1502,6318
1503,7308
1504,9512
1505,11800
1506,16932
1507,32320
1508,38659
1509,28519
1510,22021
1511,17768
1512,16269
1513,15085
1514,16175
1515,17523
1516,19221
1517,20052
1518,20102
1519,17918
1520,28555
1521,22423
1522,22310
1523,21431
1524,22670
1525,22932
1526,22051
1527,30875
1528,33247
1529,32297
1530,24461
1531,20356
1532,19030
1533,17795
1534,18351
1535,24695
1536,20922
1537,21505
1538,20518
1539,15965
1540,20236
1541,21673
1542,22079
1543,21557
1544,18665
1545,16228
1546,16436
1547,26551
1548,26981
1549,26842
1550,27498
1551,19743
1552,13255
1553,10622
1554,11257
1555,12741
1556,12393
1557,12758
1558,11958
1559,11796
1560,12676
1561,14049
1562,16524
1563,20160
1564,23816
1565,23930
1566,21613
1567,23344
1568,25625
1569,24062
1570,23437
1571,22484
1572,23460
1573,20644
1574,21740
1575,22839
1576,22491
1577,24467
1578,26032
1579,28341
1580,31454
1581,34219
1582,36511
1583,37244
1584,37322
1585,38147
1586,37913
1587,37717
1588,38926
1589,40312
1590,41153
1591,39390
1592,40615
1593,38636
1594,38559
1595,40059
1596,41083
1597,41612
1598,41922
1599,43169
1600,44912
1601,42118
1602,39969
1603,39811
1604,38279
1605,37828
1606,35915
1607,38754
1608,41990
1609,45520
1610,42613
1611,38196
1612,35215
1613,32777
1614,34480
1615,32978
1616,33832
1617,36607
1618,37263
1619,39799
1620,40191
1621,36834
1622,34610
1623,36702
1624,41137
1625,45831
1626,46265
1627,45675
1628,42927
1629,44674
1630,44694
1631,38524
1632,37189
1633,31743
1634,25501
1635,25113
1636,23900
1637,23781
1638,20984
1639,18937
1640,17744
1641,16167
1642,15168
1643,16288
1644,18908
1645,19491
1646,21520
1647,22921
1648,25906
1649,25817
1650,27492
1651,27908
1652,26081
1653,27563
1654,29348
1655,29187
1656,33141
1657,35077
1658,37344
1659,39585
1660,40565
1661,42197
1662,43848
1663,44411
1664,47572
1665,48201
1666,49452
1667,59286
1668,83640
1669,82681
1670,66090
1671,57231
1672,54071
1673,52564
1674,52325
1675,49724
1676,45741
1677,44422
1678,42279
1679,40800
1680,38184
1681,39137
1682,38227
1683,37324
1684,33783
1685,35130
1686,41834
1687,48308
1688,62156
1689,73355
1690,73465
1691,70312
1692,68002
1693,64653
1694,61967
1695,58782
1696,57495
1697,57673
1698,53776
1699,52499
1700,49332
1701,54225
1702,56377
1703,58311
1704,58242
1705,58407
1706,59147
1707,60514
1708,67135
1709,69445
1710,68556
1711,67439
1712,67657
1713,67424
1714,66559
1715,67106
1716,67771
1717,65608
1718,62620
1719,60821
1720,57098
1721,53155
1722,50196
1723,46827
1724,46418
1725,47686
1726,48270
1727,45978
1728,45578
1729,45182
1730,44767
1731,45059
1732,45576
1733,44181
1734,42563
1735,38620
1736,35857
1737,34035
1738,33159
1739,33087
1740,31470
1741,32602
1742,33582
1743,36491
1744,39317
1745,42261
1746,44773
1747,46175
1748,46817
1749,48551
1750,50215
1751,53521
1752,56465
1753,58529
1754,60129
1755,60379
1756,59386
1757,61360
1758,61086
1759,34537
1760,36514
1761,39329
1762,40731
1763,39625
1764,36943
1765,33799
1766,27124
1767,34820
1768,39068
1769,40626
1770,36185
1771,34004
1772,32993
1773,29565
1774,20378
1775,15587
1776,13780
1777,13011
1778,17295
1779,11724
1780,10345
1781,10565
1782,10076
1783,9865
1784,9694
1785,8895
1786,8785
1787,8364
1788,8584
1789,7305
1790,5959
1791,5264
1792,3904
1793,3129
1794,2287
1795,2277
1796,2195
1797,1880
1798,2383
1799,2341
1800,3595
1801,4769
1802,8311
1803,10049
1804,5391
1805,3720
1806,3076
1807,1789
1808,766
1809,1962
1810,11363
1811,14799
1812,19931
1813,26091
1814,19655
1815,19551
1816,17883
1817,17843
1818,15325
1819,14405
1820,14752
1821,19913
1822,35650
1823,34233
1824,26743
1825,24914
1826,23416
1827,24065
1828,26126
1829,26314
1830,27168
1831,25497
1832,24006
1833,20391
1834,16311
1835,14190
1836,12796
1837,14630
1838,13984
1839,14500
1840,16084
1841,20877
1842,24818
1843,26170
1844,25338
1845,24287
1846,24688
1847,23319
1848,25184
1849,27501
1850,28656
1851,30010
1852,32049
1853,36882
1854,33372
1855,29291
1856,26710
1857,24981
1858,24788
1859,20653
1860,19910
1861,17963
1862,18539
1863,21044
1864,22998
1865,26283
1866,26776
1867,26052
1868,25514
1869,25452
1870,25941
1871,25343
1872,23950
1873,21480
1874,20021
1875,20804
1876,21526
1877,21088
1878,22102
1879,25216
1880,28338
1881,29824
1882,32506
1883,32548
1884,33974
1885,38738
1886,41400
1887,43278
1888,40683
1889,36602
1890,33709
1891,35134
1892,39976
1893,43373
1894,45976
1895,42917
1896,46156
1897,49418
1898,56243
1899,63410
1900,67885
1901,72565
1902,79438
1903,85586
1904,93416
1905,95859
1906,93938
1907,97191
1908,100510
1909,106311
1910,109635
1911,112807
1912,122411
1913,132813
1914,142062
1915,141825
1916,136197
1917,134168
1918,134850
1919,137605
1920,134893
1921,132946
1922,132347
1923,133660
1924,132826
1925,131426
1926,129473
1927,127346
1928,123664
1929,120618
1930,108133
1931,96567
1932,82462
1933,72647
1934,67655
1935,64626
1936,60398
1937,52603
1938,43665
1939,36524
1940,27269
1941,24064
1942,25666
1943,16191
1944,16803
1945,22666
1946,29134
1947,31517
1948,33538
1949,41826
1950,49531
1951,61156
1952,71571
1953,76476
1954,73385
1955,71341
1956,74606
1957,82837
1958,102289
1959,115361
1960,116908
1961,103273
1962,86588
1963,76521
1964,77148
1965,98613
1966,108046
1967,98972
1968,84861
1969,74469
1970,75016
1971,74410
1972,69012
1973,56586
1974,33984
1975,12167
1976,1663
1977,0
1978,25
1979,2131
1980,4214
1981,2114
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,14954
1997,62400
1998,113255
1999,171925
2000,180153
2001,169884
2002,155933
2003,155088
2004,149638
2005,134865
2006,118029
2007,114569
2008,113233
2009,117688
2010,120537
2011,118206
2012,117441
2013,118394
2014,131688
2015,118834
2016,116340
2017,115293
2018,111553
2019,108202
2020,105702
2021,102700
2022,99590
2023,94904
2024,96057
2025,98014
2026,103719
2027,104126
2028,100023
2029,99550
2030,107808
2031,107040
2032,105434
2033,104883
2034,98022
2035,93095
2036,90582
2037,87663
2038,86560
2039,87956
2040,79155
2041,74104
2042,69901
2043,54073
2044,43932
2045,52177
2046,52833
2047,63846
2048,54015
2049,59071
2050,56661
2051,65671
2052,75333
2053,85046
2054,87479
2055,86111
2056,87342
2057,86843
2058,90274
2059,96778
2060,108171
2061,113537
2062,114015
2063,112454
2064,112441
2065,113328
2066,114603
2067,118241
2068,120666
2069,123458
2070,125758
2071,128603
2072,134953
2073,140293
2074,146563
2075,151311
