start,end,mid,start_t,end_t
0,35,17,0.0,1.944671177679936
36,243,139,2.000233211327934,13.501574176463555
244,562,403,13.557136210111553,31.22586291017497
563,565,564,31.28142494382297,31.392549011118966
566,675,620,31.448111044766964,37.50437271239876
677,810,743,37.61549677969476,45.00524725487852
811,838,824,45.060809288526514,46.560984197022464
840,941,890,46.67210826431846,52.283873662766275
942,1203,1072,52.33943569641428,66.8411264785418
1204,1343,1273,66.8966885121898,74.61981118926154
1344,1380,1362,74.67537322290954,76.67560643423747
1381,1424,1402,76.73116846788547,79.12033591474939
1425,2103,1764,79.17589794839739,116.84695676174015
2105,2209,2157,116.95808082903615,122.73653232842796
2217,2869,2543,123.18102859761194,159.40747453610675
2870,2907,2888,159.46303656975473,161.51883181473067
2910,3057,2983,161.68551791567467,169.8531368619304
3058,3104,3081,169.9086988955784,172.4645524433863
3105,3209,3157,172.52011447703433,178.29856597642612
3210,3248,3229,178.35412801007413,180.46548528869806
3249,3345,3297,180.52104732234605,185.85500255255388
3346,3367,3356,185.91056458620187,187.07736729280984
3368,3393,3380,187.13292932645783,188.52198016765777
3397,3403,3400,188.74422830224978,189.07760050413776
3408,3617,3512,189.35541067237776,200.9678757048094
3623,3696,3659,201.30124790669737,205.35727636300123
3701,3721,3711,205.63508653124123,206.74632720420118
3722,3957,3839,206.8018892378492,219.85896714512876
3958,4425,4191,219.91452917877675,245.8619988923919
4426,4869,4647,245.9175609260399,270.5315418321031
4881,5127,5004,271.19828623587904,284.8665465132866
5128,5129,5128,284.9221085469346,284.9776705805826
5131,5276,5203,285.0887946478786,293.1452895268383
5277,5278,5277,293.20085156048634,293.25641359413436
5283,5599,5441,293.5342237623743,311.09182639514177
5600,5873,5736,311.1473884287897,326.3158236146933
5874,5945,5909,326.37138564834123,330.3162900373491
5946,6173,6059,330.37185207099714,342.9844337090927
6174,6350,6262,343.0399957427407,352.8189136647884
6351,6768,6559,352.87447569843636,376.0438437296516
6769,6770,6769,376.0994057632996,376.1549677969476
6771,6927,6849,376.2105298305956,384.8782070796833
6932,6934,6933,385.15601724792333,385.2671413152193
6936,6937,6936,385.3782653825153,385.4338274161633
6938,6940,6939,385.4893894498113,385.6005135171073
6942,7180,7061,385.71163758440326,398.9354015926269
7181,7926,7553,398.99096362627483,440.3846786940335
7927,7960,7943,440.4402407276815,442.2737878380654
7961,8143,8052,442.3293498717134,452.4416399956491
8144,8348,8246,452.49720202929706,463.8318568934887
8349,8578,8463,463.8874189271367,476.6111246325283
8579,8585,8582,476.6666866661763,477.0000588680643
8594,8624,8609,477.50011717089626,479.16697818033623
8626,8847,8736,479.2781022476322,491.55731168383977
8848,10424,9636,491.6128737174878,579.1786387467329
10425,10426,10425,579.2342007803809,579.2897628140289
10432,10613,10522,579.6231350159169,589.6798631062046
10615,10624,10619,589.7909871735005,590.2910454763326
10626,11067,10846,590.4021695436286,614.9050263823957
11068,11525,11296,614.9605884160437,640.3524377931789
11531,11536,11533,640.6858099950668,640.9636201633069
11537,11892,11714,641.0191821969548,660.7437041419943
11898,12184,12041,661.0770763438823,676.9678179672097
12185,12239,12212,677.0233800008576,680.0237298178496
12240,12285,12262,680.0792918514976,682.5795833656575
