shot,shot_type
shot_0018.jpg,ambiguous
shot_0021.jpg,longShot
shot_0004.jpg,ambiguous
shot_0003.jpg,closeUp
shot_0011.jpg,extremeLongShot
shot_0025.jpg,ambiguous
shot_0045.jpg,detail
shot_0014.jpg,ambiguous
shot_0002.jpg,longShot
shot_0016.jpg,longShot
shot_0017.jpg,longShot
shot_0005.jpg,detail
shot_0048.jpg,longShot
shot_0015.jpg,mediumShot
shot_0035.jpg,closeUp
shot_0041.jpg,mediumShot
shot_0063.jpg,detail
shot_0058.jpg,detail
shot_0029.jpg,ambiguous
shot_0028.jpg,ambiguous
shot_0013.jpg,longShot
shot_0036.jpg,mediumShot
shot_0009.jpg,closeUp
shot_0042.jpg,ambiguous
shot_0056.jpg,longShot
shot_0039.jpg,ambiguous
shot_0049.jpg,mediumShot
shot_0000.jpg,closeUp
shot_0034.jpg,mediumShot
shot_0053.jpg,ambiguous
shot_0031.jpg,mediumShot
shot_0008.jpg,mediumCloseUp
shot_0050.jpg,mediumShot
shot_0001.jpg,longShot
shot_0051.jpg,ambiguous
shot_0062.jpg,closeUp
shot_0046.jpg,mediumShot
shot_0057.jpg,ambiguous
shot_0030.jpg,longShot
shot_0055.jpg,longShot
shot_0052.jpg,ambiguous
shot_0059.jpg,longShot
shot_0020.jpg,longShot
shot_0033.jpg,mediumShot
shot_0032.jpg,mediumShot
shot_0010.jpg,mediumCloseUp
shot_0006.jpg,closeUp
shot_0044.jpg,ambiguous
shot_0019.jpg,longShot
shot_0047.jpg,mediumShot
shot_0043.jpg,ambiguous
shot_0024.jpg,ambiguous
shot_0012.jpg,ambiguous
shot_0022.jpg,longShot
shot_0023.jpg,longShot
shot_0040.jpg,ambiguous
shot_0037.jpg,closeUp
shot_0060.jpg,ambiguous
shot_0026.jpg,extremeLongShot
shot_0061.jpg,mediumShot
shot_0038.jpg,ambiguous
shot_0054.jpg,mediumShot
shot_0027.jpg,ambiguous
shot_0007.jpg,closeUp
