frame,movement
1,230400
2,66309
3,10053
4,11171
5,9996
6,8379
7,4886
8,145790
9,107635
10,54
11,0
12,0
13,0
14,0
15,20
16,0
17,0
18,0
19,8
20,0
21,17
22,0
23,5
24,14
25,8
26,88
27,713
28,530
29,200
30,172
31,628
32,216
33,5
34,0
35,0
36,5
37,0
38,0
39,114
40,0
41,5
42,0
43,0
44,0
45,0
46,29
47,0
48,556
49,5
50,5
51,9
52,17
53,17
54,49
55,199
56,17205
57,285
58,5408
59,188967
60,190262
61,190568
62,190988
63,88031
64,207859
65,207566
66,207869
67,207911
68,207913
69,207462
70,205035
71,203447
72,197253
73,163385
74,11352
75,7875
76,4725
77,3709
78,637
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,151131
114,154482
115,160132
116,159591
117,157869
118,157637
119,159180
120,158733
121,160489
122,159248
123,156167
124,155269
125,155091
126,154617
127,155110
128,154910
129,152486
130,154496
131,151177
132,149517
133,147017
134,141556
135,138908
136,133445
137,125611
138,108871
139,89117
140,62697
141,43265
142,30218
143,22816
144,19368
145,15899
146,12348
147,10580
148,8793
149,7887
150,6922
151,5873
152,5038
153,4534
154,4164
155,4021
156,3883
157,3625
158,3365
159,3276
160,2869
161,2752
162,2355
163,2209
164,2140
165,2179
166,1949
167,1972
168,2044
169,2404
170,2673
171,2385
172,2663
173,2764
174,2481
175,2463
176,2453
177,2307
178,2447
179,2555
180,2192
181,2147
182,2270
183,2435
184,2466
185,2150
186,1795
187,1758
188,1616
189,1583
190,1751
191,1311
192,1465
193,1556
194,1631
195,1389
196,1615
197,1339
198,1472
199,1245
200,1159
201,1128
202,968
203,980
204,1138
205,1886
206,2009
207,2220
208,3701
209,6602
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,37910
241,38162
242,32944
243,35530
244,34742
245,34150
246,37539
247,36191
248,34541
249,33906
250,38833
251,37906
252,37301
253,37426
254,36741
255,34749
256,34120
257,30781
258,30974
259,28886
260,27714
261,24622
262,24669
263,28088
264,28509
265,26948
266,29317
267,28833
268,26023
269,26580
270,29729
271,31626
272,28655
273,29307
274,27134
275,27232
276,27004
277,27185
278,24733
279,22364
280,20452
281,17693
282,16509
283,16229
284,17011
285,17880
286,16410
287,16782
288,15778
289,14104
290,13865
291,12310
292,10998
293,10431
294,7542
295,6584
296,5035
297,3900
298,3330
299,3155
300,2693
301,2620
302,2324
303,2209
304,2072
305,2016
306,2006
307,1904
308,1879
309,1868
310,1806
311,1709
312,1670
313,1722
314,1542
315,1685
316,1670
317,1557
318,1623
319,1758
320,1613
321,1677
322,1707
323,1666
324,1747
325,1890
326,1843
327,1986
328,1842
329,1778
330,1549
331,1572
332,1495
333,1636
334,1515
335,1907
336,3187
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,12359
387,12096
388,12311
389,13398
390,14596
391,11388
392,10575
393,10075
394,9870
395,10581
396,10144
397,8422
398,8461
399,7792
400,8161
401,8859
402,9906
403,9480
404,8503
405,8374
406,8776
407,8738
408,8965
409,8781
410,7891
411,8028
412,7462
413,6993
414,6399
415,6282
416,6278
417,5922
418,5535
419,5427
420,5357
421,5759
422,5738
423,5244
424,4557
425,4420
426,4514
427,4364
428,4485
429,4509
430,4270
431,4001
432,3752
433,3363
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,134965
465,194673
466,192331
467,191981
468,177474
469,178652
470,148766
471,148429
472,136444
473,136362
474,128383
475,128602
476,131651
477,131490
478,121003
479,121066
480,132204
481,133663
482,156470
483,160085
484,176442
485,181184
486,157720
487,160399
488,142001
489,144463
490,152079
491,150923
492,181725
493,181278
494,184445
495,184049
496,167879
497,167289
498,168591
499,167287
500,167121
501,171581
502,166416
503,166862
504,171208
505,171322
506,153903
507,153865
508,157910
509,157833
510,136910
511,136258
512,140350
513,140780
514,133526
515,135070
516,150133
517,152644
518,162919
519,164144
520,170087
521,170726
522,155874
523,156382
524,149319
525,149867
526,170215
527,170663
528,176807
529,176343
530,176622
531,174639
532,151015
533,149955
534,152219
535,153620
536,153481
537,154380
538,136102
539,135355
540,151931
541,151798
542,159559
543,159255
544,142184
545,140968
546,120109
547,118952
548,138519
549,139375
550,143141
551,143924
552,143353
553,141927
554,140628
555,140071
556,135279
557,135046
558,125320
559,125868
560,117820
561,116748
562,127669
563,127014
564,122744
565,121666
566,120983
567,119793
568,101506
569,101609
570,110408
571,109545
572,130121
573,129489
574,120912
575,118086
576,126067
577,125016
578,110838
579,111337
580,107750
581,107217
582,102395
583,101831
584,104239
585,104080
586,99953
587,99817
588,88433
589,88911
590,106383
591,106677
592,102679
593,102659
594,116966
595,117030
596,105723
597,107068
598,122327
599,120286
600,143832
601,145252
602,145786
603,144729
604,137115
605,136496
606,129887
607,130218
608,137536
609,137865
610,141698
611,142220
612,144125
613,143832
614,151091
615,151457
616,156951
617,157130
618,163233
619,162277
620,161471
621,160785
622,166465
623,165657
624,164943
625,163807
626,163607
627,162970
628,157547
629,157558
630,166710
631,167494
632,163014
633,162221
634,165258
635,164297
636,172523
637,173394
638,173699
639,175772
640,188539
641,188400
642,192195
643,191709
644,180937
645,180727
646,180736
647,180503
648,181059
649,180450
650,179164
651,178901
652,175906
653,175912
654,172102
655,172129
656,160923
657,160312
658,159585
659,159454
660,165979
661,165005
662,160428
663,160516
664,163460
665,163876
666,104498
667,104854
668,40114
669,40340
670,34663
671,34870
672,45478
673,45507
674,83072
675,83674
676,160752
677,159110
678,156262
679,156087
680,158445
681,158276
682,162459
683,161850
684,166420
685,165441
686,174141
687,173907
688,174033
689,174776
690,170790
691,170693
692,179834
693,179385
694,176722
695,176211
696,174502
697,174439
698,174582
699,174709
700,177230
701,176814
702,172779
703,172787
704,174840
705,174377
706,170327
707,170044
708,173644
709,173718
710,171631
711,169332
712,152553
713,149292
714,148428
715,148015
716,139495
717,139061
718,102354
719,107445
720,100635
721,100673
722,115806
723,116754
724,112828
725,112657
726,115735
727,112756
728,140473
729,139452
730,122693
731,125488
732,133833
733,133383
734,120114
735,120155
736,132648
737,132396
738,130405
739,129565
740,110513
741,109297
742,111197
743,114814
744,135239
745,136420
746,127706
747,126221
748,91466
749,90632
750,141363
751,142807
752,145966
753,145490
754,159927
755,159147
756,164165
757,163882
758,166465
759,166586
760,170274
761,170017
762,167269
763,166935
764,160131
765,159675
766,161496
767,160661
768,164248
769,165147
770,166109
771,165803
772,166472
773,166603
774,164168
775,164146
776,162991
777,162499
778,162258
779,162080
780,160724
781,160427
782,161622
783,162102
784,161928
785,162188
786,154112
787,154535
788,139246
789,140971
790,129974
791,130441
792,127175
793,124992
794,159883
795,159477
796,160392
797,159930
798,162154
799,161656
800,164694
801,163077
802,163531
803,163174
804,163562
805,163215
806,157145
807,156171
808,159701
809,160087
810,146991
811,146802
812,97895
813,101421
814,81771
815,81611
816,41508
817,41807
818,39824
819,39718
820,37689
821,37685
822,75582
823,76626
824,130418
825,130418
826,153885
827,153950
828,144599
829,144445
830,110457
831,110096
832,113777
833,112757
834,131498
835,130344
836,124439
837,123609
838,128558
839,127617
840,130378
841,129958
842,131582
843,130515
844,131298
845,130605
846,121446
847,121891
848,128377
849,127650
850,95012
851,91634
852,119300
853,121456
854,134067
855,133817
856,131482
857,131748
858,136767
859,138767
860,139766
861,140522
862,141078
863,141586
864,125715
865,126850
866,106074
867,104099
868,122907
869,120953
870,126036
871,124760
872,130219
873,129309
874,99292
875,96591
876,78365
877,77992
878,77323
879,78400
880,117075
881,116552
882,105107
883,103341
884,103718
885,106359
886,80391
887,80071
888,103289
889,104008
890,118283
891,119570
892,124135
893,122887
894,127565
895,126397
896,132789
897,132913
898,126787
899,127608
900,145848
901,146605
902,164788
903,165936
904,173589
905,173976
906,175658
907,175824
908,152254
909,153179
910,158507
911,159474
912,153834
913,152627
914,155811
915,156147
916,176071
917,175578
918,179917
919,179823
920,182783
921,182267
922,182158
923,182505
924,182964
925,182210
926,181532
927,181553
928,181132
929,180898
930,182952
931,182663
932,184267
933,184071
934,184856
935,184444
936,182389
937,182063
938,179387
939,178953
940,179278
941,178243
942,177828
943,177180
944,176759
945,175846
946,180072
947,180919
948,180511
949,180794
950,179758
951,180013
952,177633
953,177177
954,187967
955,187178
956,188111
957,187512
958,184583
959,184945
960,185773
961,186203
962,188208
963,187890
964,187007
965,186596
966,185683
967,185508
968,189996
969,189766
970,175650
971,174893
972,181569
973,181338
974,191475
975,191061
976,189617
977,189025
978,184831
979,183980
980,186001
981,185363
982,185953
983,185334
984,182654
985,181556
986,178001
987,176978
988,180846
989,179658
990,180678
991,180050
992,181085
993,180236
994,179033
995,177982
996,179016
997,178197
998,175585
999,174789
1000,170673
1001,169457
1002,169681
1003,168648
1004,170498
1005,170014
1006,168916
1007,171858
1008,167885
1009,167943
1010,165315
1011,165263
1012,161194
1013,160250
1014,156420
1015,155707
1016,164201
1017,163596
1018,154769
1019,154878
1020,163988
1021,162902
1022,171430
1023,170588
1024,171388
1025,170595
1026,170838
1027,170043
1028,169644
1029,168838
1030,165527
1031,164415
1032,164034
1033,162790
1034,157662
1035,132749
1036,93635
1037,89831
1038,89772
1039,90201
1040,81518
1041,81615
1042,78066
1043,77060
1044,85170
1045,84618
1046,68732
1047,69401
1048,77145
1049,75267
1050,74481
1051,75191
1052,79671
1053,79105
1054,86958
1055,86488
1056,74152
1057,73618
1058,84415
1059,85220
1060,61833
1061,60563
1062,75357
1063,74863
1064,53347
1065,53364
1066,41944
1067,42023
1068,47505
1069,48390
1070,78494
1071,78683
1072,85402
1073,85171
1074,82178
1075,82602
1076,82041
1077,80519
1078,68014
1079,67174
1080,78870
1081,78964
1082,90136
1083,90064
1084,77618
1085,77681
1086,56503
1087,56072
1088,37252
1089,37199
1090,76085
1091,75287
1092,76922
1093,75999
1094,77770
1095,77860
1096,75082
1097,76068
1098,79861
1099,80996
1100,122314
1101,123268
1102,130011
1103,130043
1104,132685
1105,131492
1106,131874
1107,131323
1108,128250
1109,128455
1110,129933
1111,129526
1112,124411
1113,123753
1114,129852
1115,129437
1116,114048
1117,112784
1118,74547
1119,75177
1120,59044
1121,59896
1122,82833
1123,82743
1124,81511
1125,80686
1126,101005
1127,100894
1128,135890
1129,135583
1130,127614
1131,129066
1132,112501
1133,112731
1134,44707
1135,45760
1136,18174
1137,17484
1138,14787
1139,14881
1140,13507
1141,13607
1142,14795
1143,14889
1144,15037
1145,14931
1146,14551
1147,14550
1148,14284
1149,14262
1150,14380
1151,14337
1152,14163
1153,14214
1154,13942
1155,13885
1156,13505
1157,13521
1158,12409
1159,12423
1160,12432
1161,12512
1162,13962
1163,14003
1164,15897
1165,15814
1166,14908
1167,14862
1168,15987
1169,15970
1170,20723
1171,20352
1172,16822
1173,16531
1174,17053
1175,16872
1176,16839
1177,16849
1178,16981
