start,end,mid,start_t,end_t
0,7,3,0.0,0.2916666666666667
8,111,59,0.3333333333333333,4.625
112,208,160,4.666666666666667,8.666666666666666
209,238,223,8.708333333333334,9.916666666666666
239,335,287,9.958333333333334,13.958333333333334
336,384,360,14.0,16.0
385,432,408,16.041666666666668,18.0
433,462,447,18.041666666666668,19.25
463,666,564,19.291666666666668,27.75
667,674,670,27.791666666666668,28.083333333333332
675,812,743,28.125,33.833333333333336
813,822,817,33.875,34.25
823,1034,928,34.291666666666664,43.083333333333336
1035,1248,1141,43.125,52.0
1249,1477,1363,52.041666666666664,61.541666666666664
1478,1519,1498,61.583333333333336,63.291666666666664
1520,1561,1540,63.333333333333336,65.04166666666667
1562,1761,1661,65.08333333333333,73.375
1762,1763,1762,73.41666666666667,73.45833333333333
1764,1870,1817,73.5,77.91666666666667
1871,1875,1873,77.95833333333333,78.125
1878,1967,1922,78.25,81.95833333333333
1968,2009,1988,82.0,83.70833333333333
2010,2140,2075,83.75,89.16666666666667
2141,2200,2170,89.20833333333333,91.66666666666667
2201,2314,2257,91.70833333333333,96.41666666666667
2317,2405,2361,96.54166666666667,100.20833333333333
2406,2447,2426,100.25,101.95833333333333
2448,2992,2720,102.0,124.66666666666667
2993,3341,3167,124.70833333333333,139.20833333333334
3342,3613,3477,139.25,150.54166666666666
3614,3695,3654,150.58333333333334,153.95833333333334
3696,4051,3873,154.0,168.79166666666666
4052,4309,4180,168.83333333333334,179.54166666666666
4310,4753,4531,179.58333333333334,198.04166666666666
4754,4974,4864,198.08333333333334,207.25
4975,5274,5124,207.29166666666666,219.75
5275,5575,5425,219.79166666666666,232.29166666666666
5576,5821,5698,232.33333333333334,242.54166666666666
5822,6077,5949,242.58333333333334,253.20833333333334
6078,6105,6091,253.25,254.375
6106,6228,6167,254.41666666666666,259.5
6229,6365,6297,259.5416666666667,265.2083333333333
6366,6409,6387,265.25,267.0416666666667
6410,6419,6414,267.0833333333333,267.4583333333333
6420,6421,6420,267.5,267.5416666666667
6422,6533,6477,267.5833333333333,272.2083333333333
6534,6566,6550,272.25,273.5833333333333
6578,6652,6615,274.0833333333333,277.1666666666667
6654,6714,6684,277.25,279.75
6715,6846,6780,279.7916666666667,285.25
6847,7097,6972,285.2916666666667,295.7083333333333
7098,7420,7259,295.75,309.1666666666667
7421,7638,7529,309.2083333333333,318.25
7639,7747,7693,318.2916666666667,322.7916666666667
7748,7749,7748,322.8333333333333,322.875
7750,7786,7768,322.9166666666667,324.4166666666667
7787,7868,7827,324.4583333333333,327.8333333333333
7869,7917,7893,327.875,329.875
7918,7956,7937,329.9166666666667,331.5
7957,8187,8072,331.5416666666667,341.125
8188,8876,8532,341.1666666666667,369.8333333333333
8877,9004,8940,369.875,375.1666666666667
9005,9317,9161,375.2083333333333,388.2083333333333
9318,9443,9380,388.25,393.4583333333333
9444,9702,9573,393.5,404.25
9703,9937,9820,404.2916666666667,414.0416666666667
9938,10095,10016,414.0833333333333,420.625
10096,10216,10156,420.6666666666667,425.6666666666667
10217,10500,10358,425.7083333333333,437.5
10501,10890,10695,437.5416666666667,453.75
10893,10932,10912,453.875,455.5
10936,11150,11043,455.6666666666667,464.5833333333333
11151,11242,11196,464.625,468.4166666666667
11243,11630,11436,468.4583333333333,484.5833333333333
11631,11776,11703,484.625,490.6666666666667
11777,12203,11990,490.7083333333333,508.4583333333333
12204,12569,12386,508.5,523.7083333333334
12570,12607,12588,523.75,525.2916666666666
12608,12636,12622,525.3333333333334,526.5
12637,12685,12661,526.5416666666666,528.5416666666666
12686,12806,12746,528.5833333333334,533.5833333333334
12807,12897,12852,533.625,537.375
12898,12963,12930,537.4166666666666,540.125
12964,13080,13022,540.1666666666666,545.0
13081,13191,13136,545.0416666666666,549.625
13192,13499,13345,549.6666666666666,562.4583333333334
13500,13595,13547,562.5,566.4583333333334
13596,13669,13632,566.5,569.5416666666666
13670,13847,13758,569.5833333333334,576.9583333333334
13848,13867,13857,577.0,577.7916666666666
