shot,shot_type
shot_0018.jpg,ambiguous
shot_0021.jpg,ambiguous
shot_0004.jpg,detail
shot_0003.jpg,mediumCloseUp
shot_0011.jpg,closeUp
shot_0025.jpg,ambiguous
shot_0066.jpg,ambiguous
shot_0045.jpg,mediumShot
shot_0069.jpg,mediumCloseUp
shot_0014.jpg,ambiguous
shot_0002.jpg,detail
shot_0016.jpg,ambiguous
shot_0064.jpg,ambiguous
shot_0017.jpg,ambiguous
shot_0005.jpg,mediumCloseUp
shot_0048.jpg,ambiguous
shot_0075.jpg,longShot
shot_0015.jpg,closeUp
shot_0035.jpg,ambiguous
shot_0041.jpg,ambiguous
shot_0090.jpg,detail
shot_0063.jpg,mediumCloseUp
shot_0076.jpg,longShot
shot_0058.jpg,detail
shot_0085.jpg,longShot
shot_0029.jpg,mediumShot
shot_0028.jpg,ambiguous
shot_0013.jpg,closeUp
shot_0065.jpg,mediumShot
shot_0036.jpg,ambiguous
shot_0009.jpg,closeUp
shot_0042.jpg,detail
shot_0056.jpg,mediumShot
shot_0084.jpg,detail
shot_0039.jpg,detail
shot_0082.jpg,longShot
shot_0088.jpg,detail
shot_0049.jpg,ambiguous
shot_0000.jpg,detail
shot_0068.jpg,extremeLongShot
shot_0034.jpg,mediumShot
shot_0053.jpg,detail
shot_0031.jpg,ambiguous
shot_0071.jpg,longShot
shot_0073.jpg,longShot
shot_0008.jpg,detail
shot_0050.jpg,ambiguous
shot_0074.jpg,longShot
shot_0080.jpg,longShot
shot_0086.jpg,mediumShot
shot_0001.jpg,mediumCloseUp
shot_0051.jpg,longShot
shot_0062.jpg,ambiguous
shot_0046.jpg,mediumShot
shot_0087.jpg,closeUp
shot_0057.jpg,closeUp
shot_0030.jpg,mediumShot
shot_0055.jpg,ambiguous
shot_0052.jpg,ambiguous
shot_0059.jpg,closeUp
shot_0020.jpg,ambiguous
shot_0033.jpg,ambiguous
shot_0032.jpg,mediumShot
shot_0010.jpg,detail
shot_0006.jpg,detail
shot_0044.jpg,ambiguous
shot_0077.jpg,extremeLongShot
shot_0019.jpg,ambiguous
shot_0072.jpg,detail
shot_0047.jpg,mediumShot
shot_0043.jpg,ambiguous
shot_0024.jpg,ambiguous
shot_0012.jpg,ambiguous
shot_0022.jpg,closeUp
shot_0023.jpg,ambiguous
shot_0040.jpg,detail
shot_0067.jpg,longShot
shot_0037.jpg,ambiguous
shot_0060.jpg,ambiguous
shot_0079.jpg,longShot
shot_0026.jpg,ambiguous
shot_0089.jpg,closeUp
shot_0061.jpg,mediumShot
shot_0078.jpg,fullShot
shot_0038.jpg,detail
shot_0070.jpg,ambiguous
shot_0054.jpg,detail
shot_0081.jpg,fullShot
shot_0027.jpg,mediumCloseUp
shot_0007.jpg,closeUp
shot_0083.jpg,extremeLongShot
