frame,movement
1,230400
2,8
3,42
4,16
5,0
6,23
7,165635
8,125239
9,59709
10,52233
11,67078
12,72073
13,74052
14,57491
15,60941
16,51602
17,63253
18,62591
19,63454
20,60732
21,57344
22,66522
23,62570
24,64668
25,67508
26,68989
27,74233
28,50040
29,61919
30,65912
31,58303
32,62316
33,70522
34,64258
35,61372
36,60006
37,59384
38,57047
39,66800
40,84759
41,91253
42,104779
43,103912
44,99085
45,98193
46,85760
47,71402
48,61774
49,59882
50,62034
51,64092
52,74428
53,74269
54,69950
55,73588
56,68699
57,67491
58,69107
59,68136
60,62235
61,59871
62,54930
63,52032
64,54940
65,65319
66,58557
67,52744
68,53454
69,52071
70,56875
71,62729
72,64142
73,53733
74,53555
75,50795
76,50383
77,51808
78,61642
79,55147
80,57606
81,57032
82,56486
83,60171
84,74145
85,68478
86,64864
87,63168
88,63258
89,64934
90,61965
91,97409
92,54633
93,96765
94,117056
95,117432
96,119277
97,120339
98,121024
99,123544
100,121884
101,120797
102,119684
103,116289
104,114114
105,110818
106,114245
107,117288
108,117168
109,115586
110,113384
111,113186
112,112127
113,108522
114,105460
115,100894
116,96899
117,96609
118,95344
119,93064
120,94866
121,93578
122,92114
123,90963
124,93441
125,100226
126,109517
127,113664
128,108774
129,107322
130,101781
131,100042
132,99004
133,96655
134,92516
135,86789
136,80913
137,80804
138,79487
139,74847
140,73412
141,73483
142,73945
143,78411
144,83507
145,83608
146,104803
147,108658
148,109904
149,109376
150,108293
151,107378
152,106788
153,105851
154,105917
155,104961
156,103998
157,104018
158,102688
159,102234
160,100844
161,101262
162,101804
163,102684
164,102820
165,102749
166,102926
167,102918
168,103708
169,104504
170,106587
171,106731
172,106713
173,106635
174,106891
175,105753
176,105418
177,103981
178,104029
179,104281
180,103585
181,100634
182,99170
183,98369
184,97628
185,95837
186,96061
187,95044
188,93323
189,93115
190,93117
191,93165
192,93326
193,93260
194,92918
195,92548
196,92454
197,92988
198,92481
199,92651
200,92416
201,92413
202,92473
203,92383
204,92119
205,94118
206,94636
207,97103
208,99926
209,99927
210,99670
211,99233
212,99897
213,99111
214,97440
215,97064
216,95961
217,94390
218,93756
219,93223
220,92239
221,91368
222,91249
223,91039
224,90654
225,89849
226,89243
227,90125
228,89908
229,91683
230,91685
231,92468
232,92633
233,93399
234,94327
