start,end,mid,start_t,end_t
0,5,2,0.0,0.27787857826309975
7,90,48,0.38903000956833966,5.001814408735796
91,144,117,5.057390124388416,8.002903053977272
145,675,410,8.058478769629893,37.51360806551847
676,764,720,37.569183781171084,42.45984675860164
765,884,824,42.515422474254265,49.12893263691603
886,1598,1242,49.24008406822128,88.80999361288669
1599,2332,1965,88.8655693285393,129.60256890190973
2334,2442,2388,129.71372033321495,135.7158976236979
2445,3315,2880,135.88262477065578,184.23349738843513
3316,3395,3355,184.28907310408775,188.67955464064474
3396,3749,3572,188.73513035629736,208.3533579816722
3750,3752,3751,208.4089336973248,208.52008512863006
3754,3776,3765,208.6312365599353,209.85390230429294
3779,3820,3799,210.02062945125078,212.2992337930082
3821,3828,3824,212.35480950866082,212.74383951822918
3829,4018,3923,212.7994152338818,223.30322549222697
4019,4106,4062,223.3588012078796,228.1938884696575
4107,4466,4286,228.24946418531013,248.2011461046007
4467,4659,4563,248.25672182025332,258.9272592255563
4660,4739,4699,258.982834941209,263.37331647776597
4740,4748,4744,263.42889219341856,263.87349791863954
4749,4835,4792,263.92907363429214,268.70858518041746
4836,5143,4989,268.7641608960701,285.8259056014244
5144,5232,5188,285.88148131707703,290.7721442945076
5246,5279,5262,291.55020431364426,293.3842029301807
