shot,shot_type
shot_0018.jpg,detail
shot_0021.jpg,ambiguous
shot_0004.jpg,mediumCloseUp
shot_0003.jpg,mediumShot
shot_0011.jpg,closeUp
shot_0014.jpg,longShot
shot_0002.jpg,ambiguous
shot_0016.jpg,longShot
shot_0017.jpg,mediumShot
shot_0005.jpg,mediumShot
shot_0015.jpg,mediumShot
shot_0013.jpg,mediumShot
shot_0009.jpg,ambiguous
shot_0000.jpg,ambiguous
shot_0008.jpg,ambiguous
shot_0001.jpg,mediumShot
shot_0020.jpg,detail
shot_0010.jpg,mediumShot
shot_0006.jpg,closeUp
shot_0019.jpg,ambiguous
shot_0024.jpg,mediumShot
shot_0012.jpg,longShot
shot_0022.jpg,detail
shot_0023.jpg,mediumCloseUp
shot_0007.jpg,closeUp
